fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_amodeim,results_ackermanp,results_hansenj,results_absentee_amodeim,results_absentee_ackermanp,results_absentee_hansenj,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,state_aspect_ratio_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
32510,Carson City,29222,0,23,24,Merged into voters' home precincts and released with cumulative results,94,31020,94%,94% reported,edison,4,some,26427,16825,11662,735,0,0,0,2020-11-14T16:39:14Z,17.6682,R+18,Amodei +18,republican,NV-G-H-2-2020-11-03,nv-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nevada-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nevada.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-nevada.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-nevada.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,NV,nevada,Nevada,Nev.,vertical,1.1,"",FALSE,TRUE,winner,AP,FALSE,"",382673,405,1,unknown,Polls closed at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,727,770,94% reporting,94%,94,405000,edison,94%,94% reported,edison,republican,FALSE,2020-11-14T20:08:00Z,TRUE,15.75706,60298,R+16,Amodei +16,republican,"","",7,0,1604472502011
32001,Churchill,12645,0,18,19,Merged into voters' home precincts and released with cumulative results,93,13563,93%,93% reported,edison,4,some,11522,9383,2780,482,0,0,0,2020-11-14T16:39:14Z,52.21827,R+52,Amodei +52,republican,NV-G-H-2-2020-11-03,nv-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nevada-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nevada.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-nevada.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-nevada.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,NV,nevada,Nevada,Nev.,vertical,1.1,"",FALSE,TRUE,winner,AP,FALSE,"",382673,405,1,unknown,Polls closed at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,727,770,94% reporting,94%,94,405000,edison,94%,94% reported,edison,republican,FALSE,2020-11-14T20:08:00Z,TRUE,15.75706,60298,R+16,Amodei +16,republican,"","",7,0,1604472502011
32005,Douglas,33442,0,40,41,Merged into voters' home precincts and released with cumulative results,97,34577,97%,97% reported,edison,4,unknown,27677,22366,10389,687,0,0,0,2020-11-14T16:39:15Z,35.81425,R+36,Amodei +36,republican,NV-G-H-2-2020-11-03,nv-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nevada-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nevada.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-nevada.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-nevada.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,NV,nevada,Nevada,Nev.,vertical,1.1,"",FALSE,TRUE,winner,AP,FALSE,"",382673,405,1,unknown,Polls closed at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,727,770,94% reporting,94%,94,405000,edison,94%,94% reported,edison,republican,FALSE,2020-11-14T20:08:00Z,TRUE,15.75706,60298,R+16,Amodei +16,republican,"","",7,0,1604472502011
32007,Elko,21563,0,38,41,Merged into voters' home precincts and released with cumulative results,94,23013,94%,94% reported,edison,4,some,16878,16258,4175,1130,0,0,0,2020-11-14T16:39:15Z,56.0358,R+56,Amodei +56,republican,NV-G-H-2-2020-11-03,nv-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nevada-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nevada.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-nevada.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-nevada.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,NV,nevada,Nevada,Nev.,vertical,1.1,"",FALSE,TRUE,winner,AP,FALSE,"",382673,405,1,unknown,Polls closed at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,727,770,94% reporting,94%,94,405000,edison,94%,94% reported,edison,republican,FALSE,2020-11-14T20:08:00Z,TRUE,15.75706,60298,R+16,Amodei +16,republican,"","",7,0,1604472502011
32011,Eureka,984,405,4,4,Merged into voters' home precincts and released with cumulative results,100,927,>98%,>98% reported,edison,6,some,565,849,93,42,365,22,18,2020-11-14T16:39:16Z,76.82927,R+77,Amodei +77,republican,NV-G-H-2-2020-11-03,nv-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nevada-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nevada.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-nevada.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-nevada.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,NV,nevada,Nevada,Nev.,vertical,1.1,"",FALSE,TRUE,winner,AP,FALSE,"",382673,405,1,unknown,Polls closed at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,727,770,94% reporting,94%,94,405000,edison,94%,94% reported,edison,republican,FALSE,2020-11-14T20:08:00Z,TRUE,15.75706,60298,R+16,Amodei +16,republican,"","",7,0,1604472502011
32013,Humboldt,7632,0,14,15,Merged into voters' home precincts and released with cumulative results,96,7977,96%,96% reported,edison,4,unknown,5797,5848,1502,282,0,0,0,2020-11-14T16:39:16Z,56.94444,R+57,Amodei +57,republican,NV-G-H-2-2020-11-03,nv-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nevada-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nevada.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-nevada.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-nevada.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,NV,nevada,Nevada,Nev.,vertical,1.1,"",FALSE,TRUE,winner,AP,FALSE,"",382673,405,1,unknown,Polls closed at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,727,770,94% reporting,94%,94,405000,edison,94%,94% reported,edison,republican,FALSE,2020-11-14T20:08:00Z,TRUE,15.75706,60298,R+16,Amodei +16,republican,"","",7,0,1604472502011
32015,Lander,2695,0,8,9,Merged into voters' home precincts and released with cumulative results,90,2992,90%,90% reported,edison,2,unknown,2155,2090,471,134,0,0,0,2020-11-14T16:39:17Z,60.07421,R+60,Amodei +60,republican,NV-G-H-2-2020-11-03,nv-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nevada-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nevada.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-nevada.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-nevada.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,NV,nevada,Nevada,Nev.,vertical,1.1,"",FALSE,TRUE,winner,AP,FALSE,"",382673,405,1,unknown,Polls closed at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,727,770,94% reporting,94%,94,405000,edison,94%,94% reported,edison,republican,FALSE,2020-11-14T20:08:00Z,TRUE,15.75706,60298,R+16,Amodei +16,republican,"","",7,0,1604472502011
32019,Lyon,24524,0,33,33,Merged into voters' home precincts and released with cumulative results,100,24135,>98%,>98% reported,edison,4,some,20256,16993,6737,794,0,0,0,2020-11-14T20:07:56Z,41.82026,R+42,Amodei +42,republican,NV-G-H-2-2020-11-03,nv-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nevada-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nevada.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-nevada.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-nevada.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,NV,nevada,Nevada,Nev.,vertical,1.1,"",FALSE,TRUE,winner,AP,FALSE,"",382673,405,1,unknown,Polls closed at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,727,770,94% reporting,94%,94,405000,edison,94%,94% reported,edison,republican,FALSE,2020-11-14T20:08:00Z,TRUE,15.75706,60298,R+16,Amodei +16,republican,"","",7,0,1604472502011
32027,Pershing,2272,0,6,6,Merged into voters' home precincts and released with cumulative results,92,2458,92%,92% reported,edison,2,unknown,1541,1653,507,112,0,0,0,2020-11-14T16:39:19Z,50.44014,R+50,Amodei +50,republican,NV-G-H-2-2020-11-03,nv-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nevada-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nevada.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-nevada.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-nevada.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,NV,nevada,Nevada,Nev.,vertical,1.1,"",FALSE,TRUE,winner,AP,FALSE,"",382673,405,1,unknown,Polls closed at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,727,770,94% reporting,94%,94,405000,edison,94%,94% reported,edison,republican,FALSE,2020-11-14T20:08:00Z,TRUE,15.75706,60298,R+16,Amodei +16,republican,"","",7,0,1604472502011
32029,Storey,2830,0,13,15,Merged into voters' home precincts and released with cumulative results,89,3172,89%,89% reported,edison,4,some,1990,1934,818,78,0,0,0,2020-11-14T16:39:19Z,39.43463,R+39,Amodei +39,republican,NV-G-H-2-2020-11-03,nv-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nevada-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nevada.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-nevada.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-nevada.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,NV,nevada,Nevada,Nev.,vertical,1.1,"",FALSE,TRUE,winner,AP,FALSE,"",382673,405,1,unknown,Polls closed at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,727,770,94% reporting,94%,94,405000,edison,94%,94% reported,edison,republican,FALSE,2020-11-14T20:08:00Z,TRUE,15.75706,60298,R+16,Amodei +16,republican,"","",7,0,1604472502011
