fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_westk,results_jorgensenj,results_collinsp,results_hawkinsh,results_carrollb,results_blankenshipd,results_pierceb,results_write_ins,results_absentee_trumpd,results_absentee_bidenj,results_absentee_westk,results_absentee_jorgensenj,results_absentee_collinsp,results_absentee_hawkinsh,results_absentee_carrollb,results_absentee_blankenshipd,results_absentee_pierceb,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
28001,Adams,12268,0,19,19,None,100,12268,>98%,>98% reported,edison,6,all,,1098,,,5222,6914,47,42,16,10,8,7,2,0,0,0,0,0,0,0,0,0,0,0,2020-11-04T10:43:54Z,13.79198,D+14,Biden +14,democrat,-13.79198,13836,-13.6,15447,-17.92,mississippi,2020-11-10T20:52:05.183808Z
28003,Alcorn,15639,0,17,17,Merged into voters' home precincts and released with cumulative results,100,14672,>98%,>98% reported,edison,4,unknown,,1390,,,12689,2741,30,117,12,9,6,11,4,20,0,0,0,0,0,0,0,0,0,0,2020-11-04T10:43:55Z,63.61021,R+64,Trump +64,republican,63.61021,14783,61.8,14830,51.25,mississippi,2020-11-10T20:52:05.183808Z
28005,Amite,5974,0,21,21,Merged into voters' home precincts and released with cumulative results,100,5974,>98%,>98% reported,edison,6,all,,466,,,3781,2114,15,19,6,10,10,5,3,11,0,0,0,0,0,0,0,0,0,0,2020-11-04T10:43:56Z,27.90425,R+28,Trump +28,republican,27.90425,7050,22.6,7706,15.21,mississippi,2020-11-10T20:52:05.183808Z
28007,Attala,8832,0,19,20,Merged into voters' home precincts and released with cumulative results,100,8228,>98%,>98% reported,edison,2,unknown,,476,,,5178,3542,22,36,7,11,8,15,4,9,0,0,0,0,0,0,0,0,0,0,2020-11-06T20:35:11Z,18.52355,R+19,Trump +19,republican,18.52355,8256,20,9092,13.19,mississippi,2020-11-10T20:52:05.183808Z
28009,Benton,4257,0,5,5,Merged into voters' home precincts and released with cumulative results,100,3725,>98%,>98% reported,edison,4,all,,442,,,2553,1661,6,12,5,5,6,3,3,3,0,0,0,0,0,0,0,0,0,0,2020-11-04T10:43:57Z,20.95372,R+21,Trump +21,republican,20.95372,4022,13.2,4116,-0.24,mississippi,2020-11-10T20:52:05.183808Z
28011,Bolivar,11631,0,28,28,None,98,11881,98%,98% reported,edison,4,none,,410,,,4260,7203,58,44,10,15,20,7,3,11,0,0,0,0,0,0,0,0,0,0,2020-11-04T10:43:59Z,25.30307,D+25,Biden +25,democrat,-25.30307,13824,-32.2,15428,-38.12,mississippi,2020-11-10T20:52:05.183808Z
28013,Calhoun,6536,0,9,10,Merged into voters' home precincts and released with cumulative results,93,6993,93%,93% reported,edison,4,unknown,,532,,,4592,1878,17,15,9,4,2,9,5,5,0,0,0,0,0,0,0,0,0,0,2020-11-06T18:21:25Z,41.52387,R+42,Trump +42,republican,41.52387,6396,38.8,7068,25.83,mississippi,2020-11-10T20:52:05.183808Z
28015,Carroll,4509,0,14,14,None,83,5423,83%,83% reported,edison,4,none,,342,,,3257,1203,11,12,3,7,2,8,2,4,0,0,0,0,0,0,0,0,0,0,2020-11-04T10:43:59Z,45.55334,R+46,Trump +46,republican,45.55334,5528,38.3,5992,32.59,mississippi,2020-11-10T20:52:05.183808Z
28017,Chickasaw,8143,0,15,15,None,100,7695,>98%,>98% reported,edison,4,all,,476,,,4173,3808,37,74,14,9,8,11,2,7,0,0,0,0,0,0,0,0,0,0,2020-11-04T22:32:40Z,4.48238,R+4,Trump +4,republican,4.48238,7890,6.1,8503,-4.52,mississippi,2020-11-10T20:52:05.183808Z
28019,Choctaw,4175,0,13,13,Merged into voters' home precincts and released with cumulative results,100,4175,>98%,>98% reported,edison,6,all,,246,,,2971,1170,2,16,4,1,3,5,1,2,0,0,0,0,0,0,0,0,0,0,2020-11-04T10:44:00Z,43.13772,R+43,Trump +43,republican,43.13772,4065,38.6,4273,32.39,mississippi,2020-11-10T20:52:05.183808Z
28021,Claiborne,2886,0,11,11,Released as a separate subtotal at the end of tabulation,68,4223,68%,68% reported,edison,4,none,,776,,,479,2337,21,11,5,9,9,6,5,4,0,0,0,0,0,0,0,0,0,0,2020-11-04T10:44:00Z,64.37976,D+64,Biden +64,democrat,-64.37976,4272,-74.2,5484,-76.82,mississippi,2020-11-10T20:52:05.183808Z
28023,Clarke,8277,1240,23,23,None,100,7469,>98%,>98% reported,edison,2,some,,708,,,5372,2815,19,27,6,14,5,7,3,9,734,498,2,4,0,2,0,0,0,0,2020-11-06T20:04:45Z,30.89284,R+31,Trump +31,republican,30.89284,7791,32.8,8253,23.48,mississippi,2020-11-10T20:52:05.183808Z
28025,Clay,10054,1939,14,14,Merged into voters' home precincts and released with cumulative results,100,8526,>98%,>98% reported,edison,4,some,,652,,,4147,5728,33,48,17,12,17,27,8,17,811,1117,3,1,1,0,1,1,2,2,2020-11-04T22:46:21Z,15.72508,D+16,Biden +16,democrat,-15.72508,10003,-15.7,11072,-21.87,mississippi,2020-11-10T20:52:05.183808Z
28027,Coahoma,7136,0,18,18,Merged into voters' home precincts and released with cumulative results,88,8124,88%,88% reported,edison,4,none,,,,,1846,5189,36,16,6,14,11,10,2,6,0,0,0,0,0,0,0,0,0,0,2020-11-04T10:44:01Z,46.84697,D+47,Biden +47,democrat,-46.84697,8912,-44.3,10549,-48.16,mississippi,2020-11-10T20:52:05.183808Z
28029,Copiah,10800,0,19,19,None,99,10876,>98%,>98% reported,edison,4,none,,542,,,5407,5227,40,50,20,10,14,14,4,14,0,0,0,0,0,0,0,0,0,0,2020-11-04T10:44:01Z,1.66667,R+1.7,Trump +1.7,republican,1.66667,12982,-4.9,14123,-10.39,mississippi,2020-11-10T20:52:05.183808Z
28031,Covington,9294,0,14,15,Merged into voters' home precincts and released with cumulative results,100,8460,>98%,>98% reported,edison,2,unknown,,806,,,5811,3382,27,33,7,3,5,13,2,11,0,0,0,0,0,0,0,0,0,0,2020-11-06T18:50:43Z,26.13514,R+26,Trump +26,republican,26.13514,8811,24.5,9348,16.34,mississippi,2020-11-10T20:52:05.183808Z
28033,DeSoto,75013,0,41,41,Merged into voters' home precincts and released with cumulative results,100,72373,>98%,>98% reported,edison,4,unknown,,1400,,,45788,27733,215,706,92,91,78,67,119,124,0,0,0,0,0,0,0,0,0,0,2020-11-05T21:23:28Z,24.06916,R+24,Trump +24,republican,24.06916,66155,34,65794,33.41,mississippi,2020-11-10T20:52:05.183808Z
28035,Forrest,26540,0,34,34,None,97,27365,97%,97% reported,edison,4,unknown,,1294,,,15326,10603,105,299,27,52,32,27,12,57,0,0,0,0,0,0,0,0,0,0,2020-11-04T10:44:02Z,17.79578,R+18,Trump +18,republican,17.79578,28064,13.3,30236,10.92,mississippi,2020-11-10T20:52:05.183808Z
