fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_write_ins,results_hawkinsh,results_la_rivag,results_de_la_fuenter,results_blankenshipd,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_write_ins,results_absentee_hawkinsh,results_absentee_la_rivag,results_absentee_de_la_fuenter,results_absentee_blankenshipd,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
12001,Alachua,142784,127935,64,64,Merged into voters' home precincts and released with cumulative results,100,142784,>98%,>98% reported,edison,6,all,,106798,,,50891,89527,1389,461,301,94,69,52,43725,82315,1118,338,254,77,61,47,2020-11-08T17:18:28Z,27.05905,D+27,Biden +27,democrat,-27.05905,130100,-22.3,120418,-17.36,florida,2020-11-10T20:52:20.275160Z
12003,Baker,14082,9978,9,9,Released as a precinct as first report of the night,100,14059,>98%,>98% reported,edison,6,all,,8770,,,11911,2037,93,23,10,3,4,1,8513,1465,0,0,0,0,0,0,2020-11-09T16:22:58Z,70.11788,R+70,Trump +70,republican,70.11788,12705,64.4,11368,58.62,florida,2020-11-10T20:52:20.275160Z
12005,Bay,93131,28739,38,44,Released as a precinct as first report of the night,88,106100,88%,88% reported,edison,4,unknown,,82646,,,66063,25572,998,205,142,45,54,52,15999,12239,296,85,57,16,16,31,2020-11-08T23:38:18Z,43.47747,R+43,Trump +43,republican,43.47747,88222,45.8,79861,43.61,florida,2020-11-10T20:52:20.275160Z
12007,Bradford,13650,11677,14,14,Released as a separate subtotal as first report of the night,100,13650,>98%,>98% reported,edison,6,all,,9374,,,10334,3160,110,19,11,3,7,6,9164,2416,67,15,3,2,6,4,2020-11-04T10:43:52Z,52.55678,R+53,Trump +53,republican,52.55678,12158,49.3,11635,42.06,florida,2020-11-10T20:52:20.275160Z
12009,Brevard,360666,0,171,174,Released as a separate subtotal as first report of the night,100,356128,>98%,>98% reported,edison,6,all,,228190,,,207857,148479,3176,44,553,164,222,171,0,0,0,0,0,0,0,0,2020-11-07T16:52:44Z,16.46343,R+16,Trump +16,republican,16.46343,318141,19.5,285559,12.71,florida,2020-11-10T20:52:20.275160Z
12011,Broward,959418,831693,577,577,Released as a separate subtotal as first report of the night,99,965000,>98%,>98% reported,edison,4,some,,668379,,,333346,618597,3111,2030,1253,417,426,238,270318,559844,0,0,1005,0,335,191,2020-11-09T16:38:17Z,29.73167,D+30,Biden +30,democrat,-29.73167,837388,-34.9,756422,-34.93,florida,2020-11-10T20:52:20.275160Z
12013,Calhoun,6537,4670,13,15,Released as a precinct as first report of the night,100,6529,>98%,>98% reported,edison,6,all,,5416,,,5274,1209,29,11,4,4,4,2,3710,925,19,7,3,3,2,1,2020-11-08T17:14:47Z,62.18449,R+62,Trump +62,republican,62.18449,6128,55.7,6152,43.92,florida,2020-11-10T20:52:20.275160Z
12015,Charlotte,116481,100876,68,68,Released as a precinct as first report of the night,100,116481,>98%,>98% reported,edison,6,all,,97168,,,73202,42240,564,222,127,32,49,45,61031,39057,396,180,104,27,43,38,2020-11-04T10:43:54Z,26.58116,R+27,Trump +27,republican,26.58116,97187,27.5,84682,14.28,florida,2020-11-10T20:52:20.275160Z
12017,Citrus,93380,72623,31,31,Released as a separate subtotal as first report of the night,97,96694,97%,97% reported,edison,4,some,,76410,,,65348,27088,548,189,86,30,42,49,47888,24071,364,143,63,22,31,41,2020-11-08T17:44:24Z,40.97237,R+41,Trump +41,republican,40.97237,80412,39.4,73935,21.91,florida,2020-11-10T20:52:20.275160Z
12019,Clay,124622,93492,47,47,"Released as first report, then NOT included in cumulative results",96,129188,96%,96% reported,edison,2,some,,97059,,,84470,38294,1285,263,153,55,45,57,61945,30409,777,161,99,34,30,37,2020-11-08T17:52:18Z,37.05285,R+37,Trump +37,republican,37.05285,107317,43.9,96589,45.83,florida,2020-11-10T20:52:20.275160Z
12021,Collier,208238,178938,58,59,Released as a separate subtotal as first report of the night,99,210070,>98%,>98% reported,edison,4,unknown,,162717,,,128936,77595,889,480,186,49,64,39,107535,70113,644,393,136,33,51,33,2020-11-07T16:51:42Z,24.65496,R+25,Trump +25,republican,24.65496,172510,25.7,149112,30.06,florida,2020-11-10T20:52:20.275160Z
12023,Columbia,33039,26079,21,22,"As a subtotal in the FIRST cumulative report, along with regular precincts",97,34000,97%,97% reported,edison,4,some,,28810,,,23835,8912,224,0,28,20,12,8,18461,7474,144,0,0,0,0,0,2020-11-07T16:48:54Z,45.16783,R+45,Trump +45,republican,45.16783,28864,44.2,27163,36.69,florida,2020-11-10T20:52:20.275160Z
12027,DeSoto,12676,9345,15,15,Released as a precinct as first report of the night,100,12645,>98%,>98% reported,edison,6,all,,8368,,,8313,4259,52,17,8,11,12,4,5902,3370,34,14,7,8,8,2,2020-11-08T23:47:50Z,31.9817,R+32,Trump +32,republican,31.9817,10903,27.5,9865,14.32,florida,2020-11-10T20:52:20.275160Z
12029,Dixie,8171,5627,11,12,Released as a separate subtotal as first report of the night,100,8170,>98%,>98% reported,edison,6,some,,5219,,,6758,1364,27,6,5,2,5,4,4523,1104,0,0,0,0,0,0,2020-11-08T17:55:57Z,66.01395,R+66,Trump +66,republican,66.01395,7246,62.8,6941,46.88,florida,2020-11-10T20:52:20.275160Z
12031,Duval,492556,0,199,199,Released as a precinct as first report of the night,100,491584,>98%,>98% reported,edison,6,all,,411733,,,233687,252450,4782,0,772,328,319,218,0,0,0,0,0,0,0,0,2020-11-07T16:48:54Z,3.80931,D+4,Biden +4,democrat,-3.80931,436573,1.4,411848,3.61,florida,2020-11-10T20:52:20.275160Z
12033,Escambia,170311,0,80,80,Released as a precinct as first report of the night,92,184979,92%,92% reported,edison,4,some,,132013,,,96655,70893,2141,33,255,137,105,92,0,0,0,0,0,0,0,0,2020-11-07T16:52:43Z,15.12645,R+15,Trump +15,republican,15.12645,154172,20.3,148502,20.56,florida,2020-11-10T20:52:20.275160Z
12035,Flagler,71846,0,25,25,Released as a precinct as first report of the night,100,69764,>98%,>98% reported,edison,2,unknown,,48915,,,43039,28148,359,152,69,29,30,20,0,0,0,0,0,0,0,0,2020-11-08T18:01:28Z,20.72628,R+21,Trump +21,republican,20.72628,57987,20.4,50595,7.44,florida,2020-11-10T20:52:20.275160Z
12037,Franklin,6857,5127,8,8,Released as a precinct as first report of the night,100,6851,>98%,>98% reported,edison,6,all,,4651,,,4675,2118,27,10,12,8,4,3,3252,1828,18,8,10,5,4,2,2020-11-06T03:45:30Z,37.29036,R+37,Trump +37,republican,37.29036,6059,39.3,5474,31.51,florida,2020-11-10T20:52:20.275160Z
12039,Gadsden,23800,18024,25,25,Released as a precinct as first report of the night,100,23783,>98%,>98% reported,edison,6,all,,21954,,,7465,16152,96,39,21,10,8,9,5144,12772,51,29,14,5,5,4,2020-11-08T18:06:38Z,36.5,D+37,Biden +37,democrat,-36.5,22214,-37.3,22499,-40.62,florida,2020-11-10T20:52:20.275160Z
12041,Gilchrist,9702,6034,10,10,Released as a precinct as first report of the night,100,9212,>98%,>98% reported,edison,2,some,,5958,,,7895,1700,61,20,13,2,6,5,4710,1324,0,0,0,0,0,0,2020-11-09T22:03:07Z,63.85281,R+64,Trump +64,republican,63.85281,8472,62.3,7909,50.98,florida,2020-11-10T20:52:20.275160Z
12043,Glades,5201,0,13,13,Released as a precinct as first report of the night,100,4762,>98%,>98% reported,edison,4,some,,2314,,,3781,1384,21,10,4,1,0,0,0,0,0,0,0,0,0,0,2020-11-04T10:44:02Z,46.08729,R+46,Trump +46,republican,46.08729,4382,39.4,3989,18.58,florida,2020-11-10T20:52:20.275160Z
12045,Gulf,8172,0,10,10,Released as a precinct as first report of the night,100,8170,>98%,>98% reported,edison,6,all,,7363,,,6113,1985,48,9,5,0,6,6,0,0,0,0,0,0,0,0,2020-11-09T00:03:30Z,50.51395,R+51,Trump +51,republican,50.51395,7331,49.2,7108,41.94,florida,2020-11-10T20:52:20.275160Z
12047,Hamilton,5838,4032,8,8,Merged into voters' home precincts and released with cumulative results,100,5832,>98%,>98% reported,edison,6,all,,4475,,,3815,1963,33,9,8,2,6,2,2656,1337,20,7,5,2,5,0,2020-11-08T19:08:14Z,31.72319,R+32,Trump +32,republican,31.72319,5491,28,5407,16.83,florida,2020-11-10T20:52:20.275160Z
12049,Hardee,8493,4925,11,12,"As a precinct in the FIRST cumulative report, along with regular precincts",100,8475,>98%,>98% reported,edison,6,all,,6306,,,6122,2298,40,8,8,6,10,1,3652,1212,40,8,4,3,5,1,2020-11-07T16:51:41Z,45.02531,R+45,Trump +45,republican,45.02531,7645,40.5,7226,30.9,florida,2020-11-10T20:52:20.275160Z
