fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_write_ins,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
42077,Lehigh,180284,0,159,159,Merged into voters' home precincts AFTER election night,100,179770,>98%,>98% reported,edison,4,unknown,,10606,,,95889,82287,2108,0,0,0,0,0,2020-11-10T20:22:46Z,7.54476,D+8,Biden +8,democrat,-7.54476,162733,-4.7,147002,-7.76,pennsylvania,2020-11-10T20:53:04.412711Z
42079,Luzerne,150582,55913,178,186,None,100,151000,>98%,>98% reported,edison,4,none,,10448,,,63669,85425,1488,0,38025,17393,495,0,2020-11-09T23:31:36Z,14.44794,R+14,Trump +14,republican,14.44794,135901,19.3,124439,-4.81,pennsylvania,2020-11-10T20:53:04.412711Z
42081,Lycoming,58476,0,80,81,Merged into voters' home precincts and released with cumulative results,99,59000,>98%,>98% reported,edison,4,some,,3546,,,16722,40888,810,56,0,0,0,0,2020-11-09T15:50:38Z,41.32636,R+41,Trump +41,republican,41.32636,51131,44.2,46493,33.24,pennsylvania,2020-11-10T20:53:04.412711Z
42083,McKean,19195,0,42,42,Released separately AFTER election night,100,18456,>98%,>98% reported,edison,4,unknown,,1194,,,5024,13892,279,0,0,0,0,0,2020-11-04T22:18:51Z,46.19953,R+46,Trump +46,republican,46.19953,16464,46.2,15108,28.12,pennsylvania,2020-11-10T20:53:04.412711Z
42085,Mercer,56420,0,83,90,Released separately AFTER election night,99,57000,>98%,>98% reported,edison,4,unknown,,4235,,,20426,35282,712,0,0,0,0,0,2020-11-06T23:24:38Z,26.33109,R+26,Trump +26,republican,26.33109,52839,24.2,50863,3.33,pennsylvania,2020-11-10T20:53:04.412711Z
42087,Mifflin,21491,0,25,26,Merged into voters' home precincts and released with cumulative results,100,21067,>98%,>98% reported,edison,4,unknown,,1134,,,4599,16663,229,0,0,0,0,0,2020-11-10T18:16:46Z,56.13513,R+56,Trump +56,republican,56.13513,18721,54.6,16371,46.83,pennsylvania,2020-11-10T20:53:04.412711Z
42089,Monroe,81866,0,52,52,Merged into voters' home precincts and released with cumulative results,100,80912,>98%,>98% reported,edison,4,none,,5680,,,42860,37913,1014,79,0,0,0,0,2020-11-09T21:28:42Z,6.0428,D+6,Biden +6,democrat,-6.0428,70008,-0.8,62917,-13.28,pennsylvania,2020-11-10T20:53:04.412711Z
42091,Montgomery,501561,238122,424,426,Merged into voters' home precincts and released with cumulative results,99,504237,>98%,>98% reported,edison,4,all,,32850,,,313543,182907,5111,0,196801,39490,1831,0,2020-11-05T14:09:54Z,26.04588,D+26,Biden +26,democrat,-26.04588,438652,-21.3,412200,-14.31,pennsylvania,2020-11-10T20:53:04.412711Z
42093,Montour,9812,0,15,15,Merged into voters' home precincts and released with cumulative results,99,9925,>98%,>98% reported,edison,4,none,,1008,,,3768,5842,156,46,0,0,0,0,2020-11-06T00:12:09Z,21.13738,R+21,Trump +21,republican,21.13738,8556,28.4,7831,20.42,pennsylvania,2020-11-10T20:53:04.412711Z
42095,Northampton,169403,73523,154,154,Merged into voters' home precincts AFTER election night,100,170000,>98%,>98% reported,edison,4,some,,9456,,,84145,82830,1977,451,53392,19164,760,207,2020-11-06T23:40:50Z,0.77626,D+0.78,Biden +0.78,democrat,-0.77626,144566,3.8,130735,-4.71,pennsylvania,2020-11-10T20:53:04.412711Z
42097,Northumberland,42431,0,73,74,None,100,41478,>98%,>98% reported,edison,4,some,,2466,,,12703,28975,657,96,0,0,0,0,2020-11-10T17:16:47Z,38.34932,R+38,Trump +38,republican,38.34932,36888,42.4,33212,19.41,pennsylvania,2020-11-10T20:53:04.412711Z
42099,Perry,24623,650,31,31,Merged into voters' home precincts and released with cumulative results,100,23963,>98%,>98% reported,edison,4,some,,1426,,,5911,18252,408,52,378,258,10,4,2020-11-10T19:40:46Z,50.11981,R+50,Trump +50,republican,50.11981,21371,51.4,19128,38.87,pennsylvania,2020-11-10T20:53:04.412711Z
42101,Philadelphia,708535,75220,1686,1703,Merged into voters' home precincts and released with cumulative results,99,715000,>98%,>98% reported,edison,4,all,,23992,,,573785,128123,4661,1966,70573,4279,245,123,2020-11-10T18:12:45Z,62.89908,D+63,Biden +63,democrat,-62.89908,709618,-67,690327,-71.32,pennsylvania,2020-11-10T20:53:04.412711Z
42103,Pike,32616,13058,18,18,None,100,32179,>98%,>98% reported,edison,4,unknown,,3176,,,13052,19241,323,0,8500,4421,137,0,2020-11-10T17:28:46Z,18.97535,R+19,Trump +19,republican,18.97535,26284,25.9,23279,11.07,pennsylvania,2020-11-10T20:53:04.412711Z
42105,Potter,8901,0,30,30,Merged into voters' home precincts and released with cumulative results,100,8816,>98%,>98% reported,edison,4,unknown,,790,,,1686,7117,98,0,0,0,0,0,2020-11-04T10:43:43Z,61.01562,R+61,Trump +61,republican,61.01562,7864,62.9,7242,46.04,pennsylvania,2020-11-10T20:53:04.412711Z
42107,Schuylkill,69649,0,119,125,Merged into voters' home precincts and released with cumulative results,98,71205,98%,98% reported,edison,4,unknown,,5456,,,20425,48100,997,127,0,0,0,0,2020-11-04T16:30:51Z,39.73496,R+40,Trump +40,republican,39.73496,63385,43,57727,13.39,pennsylvania,2020-11-10T20:53:04.412711Z
