fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_westk,results_hawkinsh,results_blankenshipd,results_la_rivag,results_mchughj,results_pierceb,results_write_ins,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_westk,results_absentee_hawkinsh,results_absentee_blankenshipd,results_absentee_la_rivag,results_absentee_mchughj,results_absentee_pierceb,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
49001,Beaver,3076,0,9,9,"As a subtotal in the FIRST cumulative report, along with regular precincts",100,3021,>98%,>98% reported,edison,2,unknown,,2092,,,2673,356,23,7,6,4,3,3,1,0,0,0,0,0,0,0,0,0,0,0,2020-11-09T18:58:28Z,75.3251,R+75,Trump +75,republican,75.3251,2505,60.5,2560,71.41,utah,2020-11-10T20:53:41.176648Z
49003,Box Elder,26449,14856,53,53,Released as a separate subtotal as first report of the night,100,23287,>98%,>98% reported,edison,4,unknown,,21942,,,20984,4362,590,110,53,130,16,31,36,137,11361,2883,285,56,22,64,10,20,18,137,2020-11-09T22:04:42Z,62.84548,R+63,Trump +63,republican,62.84548,19878,40.1,19408,77.89,utah,2020-11-10T20:53:41.176648Z
49005,Cache,52792,0,87,91,Merged into voters' home precincts and released with cumulative results,96,54465,96%,96% reported,edison,4,all,,32212,,,34377,15246,1627,202,198,333,51,91,97,570,0,0,0,0,0,0,0,0,0,0,2020-11-05T22:10:38Z,36.23845,R+36,Trump +36,republican,36.23845,46718,15.9,42293,68.08,utah,2020-11-10T20:53:41.176648Z
49007,Carbon,8822,0,19,20,Released as a separate subtotal as first report of the night,94,9383,94%,94% reported,edison,2,unknown,,7692,,,6255,2306,138,42,17,21,3,18,22,0,0,0,0,0,0,0,0,0,0,0,2020-11-04T10:44:12Z,44.76309,R+45,Trump +45,republican,44.76309,7999,44.5,7567,37.2,utah,2020-11-10T20:53:41.176648Z
49009,Daggett,590,0,3,3,Released as a separate subtotal at the end of tabulation,96,614,96%,96% reported,edison,2,unknown,,562,,,473,105,7,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2020-11-04T10:44:13Z,62.37288,R+62,Trump +62,republican,62.37288,477,53.2,520,60,utah,2020-11-10T20:53:41.176648Z
49011,Davis,157164,0,215,224,Merged into voters' home precincts and released with cumulative results,96,163325,96%,96% reported,edison,2,unknown,,123145,,,95709,53970,4522,911,527,767,106,310,342,0,0,0,0,0,0,0,0,0,0,0,2020-11-09T22:05:42Z,26.55761,R+27,Trump +27,republican,26.55761,140288,16,121069,61.93,utah,2020-11-10T20:53:41.176648Z
49013,Duchesne,8476,0,34,34,Released with cumulative results periodically election night,100,8192,>98%,>98% reported,edison,2,unknown,,2795,,,7445,830,106,18,9,21,3,4,6,34,0,0,0,0,0,0,0,0,0,0,2020-11-05T22:13:39Z,78.04389,R+78,Trump +78,republican,78.04389,6988,68.4,6379,80.22,utah,2020-11-10T20:53:41.176648Z
49015,Emery,4816,0,11,12,Merged into voters' home precincts and released with cumulative results,92,5250,92%,92% reported,edison,2,unknown,,2072,,,4166,566,45,15,8,4,2,4,6,0,0,0,0,0,0,0,0,0,0,0,2020-11-04T10:44:13Z,74.75083,R+75,Trump +75,republican,74.75083,4315,70.6,4449,72.11,utah,2020-11-10T20:53:41.176648Z
49017,Garfield,2722,0,11,11,Merged into voters' home precincts and released with cumulative results,98,2766,98%,98% reported,edison,2,unknown,,1560,,,2149,513,37,2,11,3,1,3,3,0,0,0,0,0,0,0,0,0,0,0,2020-11-04T10:44:13Z,60.10287,R+60,Trump +60,republican,60.10287,2344,53.2,2182,69.84,utah,2020-11-10T20:53:41.176648Z
49019,Grand,5027,0,17,18,Merged into voters' home precincts and released with cumulative results,94,5349,94%,94% reported,edison,2,unknown,,3890,,,2168,2733,61,18,22,5,1,6,13,0,0,0,0,0,0,0,0,0,0,0,2020-11-04T10:44:14Z,11.23931,D+11,Biden +11,democrat,-11.23931,4601,0.3,3950,6.81,utah,2020-11-10T20:53:41.176648Z
