fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_venturaj,results_pierceb,results_blankenshipd,results_de_la_fuenter,results_write_ins,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_venturaj,results_absentee_pierceb,results_absentee_blankenshipd,results_absentee_de_la_fuenter,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,state,retrieved_time
02929,ED 29,1865,1,2,11,Released as a separate subtotal as first report of the night,17,10803,17%,17% reported,edison,2,unknown,,4000,,,1511,295,43,11,2,2,1,0,0,1,0,0,0,0,0,0,2020-11-04T10:43:33Z,65.20107,R+65,Trump +65,republican,65.20107,alaska,2020-11-10T20:51:42.609151Z
02903,ED 3,4697,757,3,5,Released as a separate subtotal as first report of the night,54,8755,54%,54% reported,edison,2,unknown,,4000,,,3664,811,171,24,8,17,2,0,482,245,26,3,0,1,0,0,2020-11-04T10:43:54Z,60.7409,R+61,Trump +61,republican,60.7409,alaska,2020-11-10T20:51:42.609151Z
02930,ED 30,1637,0,1,6,Released as a separate subtotal as first report of the night,16,10293,16%,16% reported,edison,2,unknown,,4000,,,1334,245,47,6,2,3,0,0,0,0,0,0,0,0,0,0,2020-11-04T10:43:34Z,66.52413,R+67,Trump +67,republican,66.52413,alaska,2020-11-10T20:51:42.609151Z
02931,ED 31,2856,1,2,9,Released as a separate subtotal as first report of the night,24,11709,24%,24% reported,edison,2,unknown,,4000,,,2123,616,81,23,6,5,2,0,0,1,0,0,0,0,0,0,2020-11-04T10:43:35Z,52.76611,R+53,Trump +53,republican,52.76611,alaska,2020-11-10T20:51:42.609151Z
02932,ED 32,711,0,1,14,Released as a separate subtotal as first report of the night,8,8593,8%,8% reported,edison,2,unknown,,4000,,,448,233,17,9,2,2,0,0,0,0,0,0,0,0,0,0,2020-11-04T10:43:36Z,30.2391,R+30,Trump +30,republican,30.2391,alaska,2020-11-10T20:51:42.609151Z
02933,ED 33,4595,2053,4,11,Released as a separate subtotal as first report of the night,40,11424,40%,40% reported,edison,2,unknown,,4000,,,1607,2828,93,39,13,12,3,0,454,1564,19,11,2,1,2,0,2020-11-04T10:43:36Z,26.57236,D+27,Biden +27,democrat,-26.57236,alaska,2020-11-10T20:51:42.609151Z
02934,ED 34,5360,2908,3,7,Released as a separate subtotal as first report of the night,49,10846,49%,49% reported,edison,2,unknown,,4000,,,2668,2480,153,28,12,15,4,0,1162,1668,53,13,6,6,0,0,2020-11-04T10:43:37Z,3.50746,R+4,Trump +4,republican,3.50746,alaska,2020-11-10T20:51:42.609151Z
02935,ED 35,1216,15,2,14,Released as a separate subtotal as first report of the night,12,10398,12%,12% reported,edison,2,unknown,,4000,,,787,398,9,13,2,3,4,0,10,5,0,0,0,0,0,0,2020-11-04T10:43:38Z,31.99013,R+32,Trump +32,republican,31.99013,alaska,2020-11-10T20:51:42.609151Z
02936,ED 36,4263,1,4,10,Released as a separate subtotal as first report of the night,45,9504,45%,45% reported,edison,2,unknown,,4000,,,2731,1344,107,50,9,17,5,0,0,1,0,0,0,0,0,0,2020-11-04T10:43:39Z,32.53577,R+33,Trump +33,republican,32.53577,alaska,2020-11-10T20:51:42.609151Z
02937,ED 37,173,0,1,35,Released as a separate subtotal as first report of the night,3,5821,3%,3% reported,edison,2,unknown,,4000,,,80,83,0,5,2,3,0,0,0,0,0,0,0,0,0,0,2020-11-04T10:43:40Z,1.7341,D+1.7,Biden +1.7,democrat,-1.7341,alaska,2020-11-10T20:51:42.609151Z
02938,ED 38,249,0,1,31,Released as a separate subtotal as first report of the night,4,5859,4%,4% reported,edison,2,unknown,,4000,,,117,118,5,3,1,3,2,0,0,0,0,0,0,0,0,0,2020-11-04T10:43:41Z,0.40161,D+0.40,Biden +0.40,democrat,-0.40161,alaska,2020-11-10T20:51:42.609151Z
02939,ED 39,1013,282,5,33,Released as a separate subtotal as first report of the night,16,6485,16%,16% reported,edison,2,unknown,,4000,,,363,594,21,13,12,8,2,0,93,176,6,2,3,2,0,0,2020-11-04T10:43:43Z,22.80355,D+23,Biden +23,democrat,-22.80355,alaska,2020-11-10T20:51:42.609151Z
02904,ED 4,4134,1766,3,7,Released as a separate subtotal as first report of the night,38,10949,38%,38% reported,edison,2,unknown,,4000,,,1718,2243,112,39,12,8,2,0,604,1125,28,5,3,1,0,0,2020-11-04T10:43:54Z,12.69956,D+13,Biden +13,democrat,-12.69956,alaska,2020-11-10T20:51:42.609151Z
02940,ED 40,82,0,1,23,Released as a separate subtotal as first report of the night,2,5302,2%,2% reported,edison,2,unknown,,4000,,,25,45,2,4,2,2,2,0,0,0,0,0,0,0,0,0,2020-11-04T10:43:43Z,24.39024,D+24,Biden +24,democrat,-24.39024,alaska,2020-11-10T20:51:42.609151Z
02905,ED 5,3834,1362,4,9,Released as a separate subtotal as first report of the night,42,9092,42%,42% reported,edison,2,unknown,,4000,,,2042,1645,98,29,8,6,6,0,494,842,16,7,0,1,2,0,2020-11-04T10:43:56Z,10.35472,R+10,Trump +10,republican,10.35472,alaska,2020-11-10T20:51:42.609151Z
02906,ED 6,3859,5,13,33,Released as a separate subtotal as first report of the night,40,9729,40%,40% reported,edison,2,unknown,,4000,,,2711,942,139,37,13,14,3,0,2,2,0,1,0,0,0,0,2020-11-04T10:43:57Z,45.84089,R+46,Trump +46,republican,45.84089,alaska,2020-11-10T20:51:42.609151Z
02907,ED 7,5377,2237,4,7,Released as a separate subtotal as first report of the night,56,9538,56%,56% reported,edison,2,unknown,,4000,,,4239,950,129,34,3,21,1,0,1667,518,31,10,1,10,0,0,2020-11-04T10:43:59Z,61.16794,R+61,Trump +61,republican,61.16794,alaska,2020-11-10T20:51:42.609151Z
02908,ED 8,2866,1563,2,6,Released as a separate subtotal as first report of the night,31,9284,31%,31% reported,edison,2,unknown,,4000,,,2271,512,61,9,2,11,0,0,1157,383,17,3,0,3,0,0,2020-11-04T10:43:59Z,61.37474,R+61,Trump +61,republican,61.37474,alaska,2020-11-10T20:51:42.609151Z
02909,ED 9,1913,4,2,11,Released as a separate subtotal as first report of the night,19,10297,19%,19% reported,edison,2,unknown,,4000,,,1413,405,67,14,8,6,0,0,2,2,0,0,0,0,0,0,2020-11-04T10:44:00Z,52.69211,R+53,Trump +53,republican,52.69211,alaska,2020-11-10T20:51:42.609151Z
