fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_hawkinsh,results_segalj,results_write_ins,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_segalj,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
24001,Allegany,29130,0,22,26,"As a subtotal in the FIRST cumulative report, along with regular precincts",85,34332,85%,85% reported,edison,2,unknown,,4312,,,8464,20213,300,114,39,0,0,0,0,0,0,0,2020-11-10T19:18:43Z,40.33299,R+40,Trump +40,republican,40.33299,30654,43.7,29850,31.57,maryland,2020-11-10T20:52:30.050624Z
24003,Anne Arundel,273050,0,182,202,Released as a precinct as first report of the night,90,302491,90%,90% reported,edison,2,none,,61018,,,150240,117534,3903,1051,322,0,0,0,0,0,0,0,2020-11-10T00:26:38Z,11.97803,D+12,Biden +12,democrat,-11.97803,270081,-2.2,260155,0.08,maryland,2020-11-10T20:52:30.050624Z
24005,Baltimore,316908,0,170,236,Released separately AFTER election night,72,437564,72%,72% reported,edison,2,none,,89978,,,189100,122520,3568,1302,418,0,0,0,0,0,0,0,2020-11-09T21:07:43Z,21.00925,D+21,Biden +21,democrat,-21.00925,390682,-17.6,384782,-17,maryland,2020-11-10T20:52:30.050624Z
24510,Baltimore City,221181,0,243,296,Other,79,279607,79%,79% reported,edison,2,none,,72816,,,193130,23872,1628,1247,419,885,0,0,0,0,0,0,2020-11-10T01:24:39Z,76.52466,D+77,Biden +77,democrat,-76.52466,239402,-74.1,254005,-76.1,maryland,2020-11-10T20:52:30.050624Z
24009,Calvert,48023,0,21,24,"As a precinct in the FIRST cumulative report, along with regular precincts",90,53097,90%,90% reported,edison,2,unknown,,11262,,,22185,24957,719,124,38,0,0,0,0,0,0,0,2020-11-09T21:07:42Z,5.77223,R+6,Trump +6,republican,5.77223,47408,16.8,45518,7.52,maryland,2020-11-10T20:52:30.050624Z
24011,Caroline,13110,0,6,8,Released as a precinct as first report of the night,83,15807,83%,83% reported,edison,2,unknown,,3784,,,3572,9237,189,81,31,0,0,0,0,0,0,0,2020-11-04T10:44:00Z,43.21129,R+43,Trump +43,republican,43.21129,14113,38,13357,23.42,maryland,2020-11-10T20:52:30.050624Z
24013,Carroll,97527,58627,33,36,Released separately AFTER election night,94,102870,94%,94% reported,edison,4,some,,16653,,,35316,58883,1961,522,166,679,24488,32426,898,283,90,442,2020-11-09T23:28:36Z,24.16459,R+24,Trump +24,republican,24.16459,91848,34.5,87536,32.93,maryland,2020-11-10T20:52:30.050624Z
24015,Cecil,44673,0,24,28,Other,88,50701,88%,88% reported,edison,2,none,,9424,,,15459,28258,651,219,86,0,0,0,0,0,0,0,2020-11-10T19:18:42Z,28.65042,R+29,Trump +29,republican,28.65042,45269,33.6,42480,19.42,maryland,2020-11-10T20:52:30.050624Z
24017,Charles,64714,0,44,44,Released as a precinct as first report of the night,74,87699,74%,74% reported,edison,2,unknown,,19179,,,42306,21419,556,321,112,0,0,0,0,0,0,0,2020-11-07T02:57:37Z,32.27586,D+32,Biden +32,democrat,-32.27586,78303,-30.3,75222,-31.37,maryland,2020-11-10T20:52:30.050624Z
24019,Dorchester,13371,0,31,39,Other,78,17061,78%,78% reported,edison,2,none,,3944,,,5295,7804,143,90,39,0,0,0,0,0,0,0,2020-11-04T10:44:01Z,18.76449,R+19,Trump +19,republican,18.76449,15225,14.2,15444,4.66,maryland,2020-11-10T20:52:30.050624Z
