fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_sullivand,results_grossa,results_howej,results_absentee_sullivand,results_absentee_grossa,results_absentee_howej,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
02901,ED 1,7096,3498,8,9,Released as a separate subtotal as first report of the night,93,7634,93%,93% reported,edison,2,unknown,,4000,,,3438,3253,405,1374,1970,154,2020-11-16T15:47:52Z,2.6071,R+3,Sullivan +3,republican,alaska,2020-11-17T00:43:46.643976Z
02910,ED 10,10781,5367,11,11,Released as a separate subtotal as first report of the night,100,10396,>98%,>98% reported,edison,2,unknown,,4000,,,7499,2699,583,3325,1828,214,2020-11-16T15:48:00Z,44.52277,R+45,Sullivan +45,republican,alaska,2020-11-17T00:43:46.643976Z
02911,ED 11,10416,5771,8,9,Released as a separate subtotal as first report of the night,93,11142,93%,93% reported,edison,2,unknown,,4000,,,6944,3005,467,3412,2142,217,2020-11-16T15:48:01Z,37.81682,R+38,Sullivan +38,republican,alaska,2020-11-17T00:43:46.643976Z
02912,ED 12,10919,5483,7,7,Released as a separate subtotal as first report of the night,99,10974,>98%,>98% reported,edison,2,unknown,,4000,,,7730,2774,415,3335,1972,176,2020-11-16T15:48:01Z,45.38877,R+45,Sullivan +45,republican,alaska,2020-11-17T00:43:46.643976Z
02913,ED 13,7342,4246,5,6,Released as a separate subtotal as first report of the night,98,7513,98%,98% reported,edison,2,unknown,,4000,,,4616,2362,364,2352,1711,183,2020-11-16T17:01:03Z,30.70008,R+31,Sullivan +31,republican,alaska,2020-11-17T00:43:46.643976Z
02914,ED 14,11312,7070,6,7,Released as a separate subtotal as first report of the night,94,11983,94%,94% reported,edison,2,unknown,,4000,,,7049,3856,407,3886,2975,209,2020-11-16T17:01:01Z,28.22666,R+28,Sullivan +28,republican,alaska,2020-11-17T00:43:46.643976Z
02915,ED 15,5243,3019,4,5,Released as a separate subtotal as first report of the night,92,5729,92%,92% reported,edison,2,unknown,,4000,,,2559,2385,299,1316,1556,147,2020-11-16T17:00:58Z,3.31871,R+3,Sullivan +3,republican,alaska,2020-11-17T00:43:46.643976Z
02916,ED 16,7938,4478,6,7,Released as a separate subtotal as first report of the night,93,8551,93%,93% reported,edison,2,unknown,,4000,,,3495,4042,401,1525,2774,179,2020-11-16T17:00:56Z,6.8909,D+7,Gross +7,democrat,alaska,2020-11-17T00:43:46.643976Z
02917,ED 17,6912,4234,6,7,Released as a separate subtotal as first report of the night,89,7806,89%,89% reported,edison,2,unknown,,4000,,,2801,3818,293,1347,2766,121,2020-11-16T17:00:53Z,14.71354,D+15,Gross +15,democrat,alaska,2020-11-17T00:43:46.643976Z
02918,ED 18,7462,4906,8,10,Released as a separate subtotal as first report of the night,88,8512,88%,88% reported,edison,2,unknown,,4000,,,2728,4460,274,1451,3335,120,2020-11-16T17:00:51Z,23.21094,D+23,Gross +23,democrat,alaska,2020-11-17T00:43:46.643976Z
02919,ED 19,5133,2776,5,6,Released as a separate subtotal as first report of the night,93,5511,93%,93% reported,edison,2,unknown,,4000,,,1836,2991,306,733,1930,113,2020-11-16T17:00:48Z,22.50146,D+23,Gross +23,democrat,alaska,2020-11-17T00:43:46.643976Z
02902,ED 2,5564,2552,4,4,Released as a separate subtotal as first report of the night,88,6316,88%,88% reported,edison,2,unknown,,4000,,,3326,1871,367,1264,1168,120,2020-11-16T15:47:53Z,26.15025,R+26,Sullivan +26,republican,alaska,2020-11-17T00:43:46.643976Z
02920,ED 20,7176,5001,8,9,Released as a separate subtotal as first report of the night,87,8211,87%,87% reported,edison,2,unknown,,4000,,,2426,4522,228,1394,3493,114,2020-11-16T17:00:45Z,29.20847,D+29,Gross +29,democrat,alaska,2020-11-17T00:43:46.643976Z
02921,ED 21,9301,5678,7,8,Released as a separate subtotal as first report of the night,94,9944,94%,94% reported,edison,2,unknown,,4000,,,3926,5084,291,1804,3754,120,2020-11-16T17:00:42Z,12.45027,D+12,Gross +12,democrat,alaska,2020-11-17T00:43:46.643976Z
02922,ED 22,9362,5185,6,7,Released as a separate subtotal as first report of the night,97,9628,97%,97% reported,edison,2,unknown,,4000,,,4883,4150,329,2090,2949,146,2020-11-16T17:01:28Z,7.82952,R+8,Sullivan +8,republican,alaska,2020-11-17T00:43:46.643976Z
02923,ED 23,7515,4017,7,8,Released as a separate subtotal as first report of the night,94,7963,94%,94% reported,edison,2,unknown,,4000,,,3635,3554,326,1500,2393,124,2020-11-16T17:01:26Z,1.07784,R+1.1,Sullivan +1.1,republican,alaska,2020-11-17T00:43:46.643976Z
