fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_hyde_smithc,results_espym,results_edwardsj,results_write_ins,results_absentee_hyde_smithc,results_absentee_espym,results_absentee_edwardsj,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
28001,Adams,12242,0,19,19,None,100,12268,>98%,>98% reported,edison,6,all,,1098,,,4969,7133,140,0,0,0,0,0,2020-11-16T15:47:44Z,17.67685,D+18,Espy +18,democrat,mississippi,2020-11-17T00:44:24.287895Z
28003,Alcorn,15644,0,17,17,Merged into voters' home precincts and released with cumulative results,99,15811,>98%,>98% reported,edison,10,unknown,,1390,,,11616,3641,378,9,0,0,0,0,2020-11-16T15:47:44Z,50.97801,R+51,Hyde-Smith +51,republican,mississippi,2020-11-17T00:44:24.287895Z
28005,Amite,7172,0,21,21,Merged into voters' home precincts and released with cumulative results,100,7207,>98%,>98% reported,edison,10,all,,466,,,4347,2750,74,1,0,0,0,0,2020-11-16T15:47:45Z,22.26715,R+22,Hyde-Smith +22,republican,mississippi,2020-11-17T00:44:24.287895Z
28007,Attala,8825,0,20,20,Merged into voters' home precincts and released with cumulative results,100,8832,>98%,>98% reported,edison,10,unknown,,476,,,4888,3824,108,5,0,0,0,0,2020-11-16T15:47:45Z,12.05666,R+12,Hyde-Smith +12,republican,mississippi,2020-11-17T00:44:24.287895Z
28009,Benton,4282,0,5,5,Merged into voters' home precincts and released with cumulative results,100,4292,>98%,>98% reported,edison,10,unknown,,442,,,2320,1868,92,2,0,0,0,0,2020-11-16T15:47:45Z,10.55582,R+11,Hyde-Smith +11,republican,mississippi,2020-11-17T00:44:24.287895Z
28011,Bolivar,13751,0,28,28,None,100,13755,>98%,>98% reported,edison,10,unknown,,410,,,4317,9330,102,2,0,0,0,0,2020-11-16T19:25:10Z,36.45553,D+36,Espy +36,democrat,mississippi,2020-11-17T00:44:24.287895Z
28013,Calhoun,6593,0,10,10,Merged into voters' home precincts and released with cumulative results,100,6595,>98%,>98% reported,edison,10,unknown,,532,,,4341,2138,112,2,0,0,0,0,2020-11-16T15:47:46Z,33.41423,R+33,Hyde-Smith +33,republican,mississippi,2020-11-17T00:44:24.287895Z
28015,Carroll,4494,0,14,14,None,77,5852,77%,77% reported,edison,4,none,,342,,,3069,1354,71,0,0,0,0,0,2020-11-16T15:47:47Z,38.16199,R+38,Hyde-Smith +38,republican,mississippi,2020-11-17T00:44:24.287895Z
28017,Chickasaw,8160,0,15,15,None,100,8160,>98%,>98% reported,edison,10,unknown,,476,,,3913,4134,112,1,0,0,0,0,2020-11-16T15:47:47Z,2.70833,D+3,Espy +3,democrat,mississippi,2020-11-17T00:44:24.287895Z
28019,Choctaw,4209,0,13,13,Merged into voters' home precincts and released with cumulative results,100,4225,>98%,>98% reported,edison,10,unknown,,246,,,2811,1320,78,0,0,0,0,0,2020-11-16T15:47:48Z,35.42409,R+35,Hyde-Smith +35,republican,mississippi,2020-11-17T00:44:24.287895Z
28021,Claiborne,4489,0,11,11,Released as a separate subtotal at the end of tabulation,100,4489,>98%,>98% reported,edison,10,unknown,,776,,,555,3907,26,1,0,0,0,0,2020-11-16T15:47:49Z,74.67142,D+75,Espy +75,democrat,mississippi,2020-11-17T00:44:24.287895Z
28023,Clarke,8348,1260,23,23,None,100,8348,>98%,>98% reported,edison,10,some,,708,,,5169,3053,125,1,717,529,14,0,2020-11-16T17:34:58Z,25.34739,R+25,Hyde-Smith +25,republican,mississippi,2020-11-17T00:44:24.287895Z
28025,Clay,10296,2007,14,14,Merged into voters' home precincts and released with cumulative results,100,10296,>98%,>98% reported,edison,10,unknown,,652,,,4006,6171,109,10,822,1164,17,4,2020-11-16T15:47:50Z,21.02758,D+21,Espy +21,democrat,mississippi,2020-11-17T00:44:24.287895Z
28027,Coahoma,8660,0,18,18,Merged into voters' home precincts and released with cumulative results,100,8660,>98%,>98% reported,edison,10,unknown,,,,,2161,6452,46,1,0,0,0,0,2020-11-16T15:47:51Z,49.54965,D+50,Espy +50,democrat,mississippi,2020-11-17T00:44:24.287895Z
28029,Copiah,12915,0,19,19,None,100,12915,>98%,>98% reported,edison,10,unknown,,542,,,6062,6730,118,5,0,0,0,0,2020-11-16T15:47:51Z,5.17228,D+5,Espy +5,democrat,mississippi,2020-11-17T00:44:24.287895Z
28031,Covington,9382,0,15,15,Merged into voters' home precincts and released with cumulative results,100,9382,>98%,>98% reported,edison,10,unknown,,806,,,5604,3637,131,10,0,0,0,0,2020-11-16T17:37:01Z,20.96568,R+21,Hyde-Smith +21,republican,mississippi,2020-11-17T00:44:24.287895Z
28033,DeSoto,74860,0,41,41,Merged into voters' home precincts and released with cumulative results,100,72373,>98%,>98% reported,edison,4,unknown,,1400,,,42559,30508,1738,55,0,0,0,0,2020-11-16T15:47:52Z,16.09805,R+16,Hyde-Smith +16,republican,mississippi,2020-11-17T00:44:24.287895Z
28035,Forrest,31676,0,34,34,None,100,31726,>98%,>98% reported,edison,10,unknown,,1294,,,16079,14871,695,31,0,0,0,0,2020-11-16T15:47:53Z,3.81361,R+4,Hyde-Smith +4,republican,mississippi,2020-11-17T00:44:24.287895Z
28037,Franklin,4464,0,14,14,None,100,4464,>98%,>98% reported,edison,10,unknown,,530,,,2833,1570,54,7,0,0,0,0,2020-11-16T15:47:53Z,28.29301,R+28,Hyde-Smith +28,republican,mississippi,2020-11-17T00:44:24.287895Z
28039,George,10922,0,22,22,Released as a separate subtotal at the end of tabulation,99,11064,>98%,>98% reported,edison,10,unknown,,208,,,8811,1844,260,7,0,0,0,0,2020-11-16T15:47:53Z,63.78868,R+64,Hyde-Smith +64,republican,mississippi,2020-11-17T00:44:24.287895Z
28041,Greene,5726,0,13,13,Released as a precinct at the end of tabulation,98,5816,98%,98% reported,edison,10,unknown,,700,,,4395,1196,129,6,0,0,0,0,2020-11-16T15:47:54Z,55.86797,R+56,Hyde-Smith +56,republican,mississippi,2020-11-17T00:44:24.287895Z
28043,Grenada,7805,0,13,13,None,70,11072,70%,70% reported,edison,2,unknown,,1570,,,4531,3145,125,4,0,0,0,0,2020-11-16T15:47:55Z,17.75785,R+18,Hyde-Smith +18,republican,mississippi,2020-11-17T00:44:24.287895Z
28045,Hancock,20761,0,25,25,None,99,20957,>98%,>98% reported,edison,10,unknown,,860,,,14537,5651,573,0,0,0,0,0,2020-11-16T15:47:56Z,42.80141,R+43,Hyde-Smith +43,republican,mississippi,2020-11-17T00:44:24.287895Z
