fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_allenr,results_johnsonl,results_absentee_allenr,results_absentee_johnsonl,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,results_write_ins,results_absentee_write_ins,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,state_aspect_ratio_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,edison_certified_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
13001,Appling,8025,6016,9,9,None,100,8025,>98%,>98% reported,edison,10,unknown,4621,6335,1690,4651,1365,2020-11-24T13:26:18Z,57.88162,R+58,Allen +58,republican,,,GA-G-H-12-2020-11-03,ga-house-general-district-012-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-12.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 12,U.S. House,H,solid-rep,12,District 12,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",310099,228390,19,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,240,240,100% reporting,100%,100,310099,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-24T13:23:45Z,TRUE,16.76142,51977,R+17,Allen +17,republican,TRUE,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604460889706
13031,Bulloch,29502,20402,16,16,Other,100,29502,>98%,>98% reported,edison,10,unknown,19275,18813,10689,12081,8321,2020-11-24T13:26:17Z,27.53712,R+28,Allen +28,republican,,,GA-G-H-12-2020-11-03,ga-house-general-district-012-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-12.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 12,U.S. House,H,solid-rep,12,District 12,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",310099,228390,19,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,240,240,100% reporting,100%,100,310099,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-24T13:23:45Z,TRUE,16.76142,51977,R+17,Allen +17,republican,TRUE,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604460889706
13033,Burke,10432,7079,16,16,None,100,10432,>98%,>98% reported,edison,10,unknown,6829,5473,4959,3522,3557,2020-11-24T13:26:17Z,4.92715,R+5,Allen +5,republican,,,GA-G-H-12-2020-11-03,ga-house-general-district-012-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-12.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 12,U.S. House,H,solid-rep,12,District 12,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",310099,228390,19,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,240,240,100% reporting,100%,100,310099,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-24T13:23:45Z,TRUE,16.76142,51977,R+17,Allen +17,republican,TRUE,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604460889706
13043,Candler,4319,2231,1,1,Other,100,4319,>98%,>98% reported,edison,10,all,3010,3144,1175,1546,685,2020-11-24T13:26:17Z,45.58926,R+46,Allen +46,republican,0,0,GA-G-H-12-2020-11-03,ga-house-general-district-012-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-12.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 12,U.S. House,H,solid-rep,12,District 12,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",310099,228390,19,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,240,240,100% reporting,100%,100,310099,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-24T13:23:45Z,TRUE,16.76142,51977,R+17,Allen +17,republican,TRUE,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604460889706
13069,Coffee,14558,11010,6,6,Other,100,14558,>98%,>98% reported,edison,10,all,13390,10315,4243,7825,3185,2020-11-24T13:26:18Z,41.70903,R+42,Allen +42,republican,,,GA-G-H-12-2020-11-03,ga-house-general-district-012-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-12.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 12,U.S. House,H,solid-rep,12,District 12,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",310099,228390,19,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,240,240,100% reporting,100%,100,310099,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-24T13:23:45Z,TRUE,16.76142,51977,R+17,Allen +17,republican,TRUE,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604460889706
13073,Columbia,67970,52541,41,41,Merged into voters' home precincts and released with cumulative results,100,67970,>98%,>98% reported,edison,10,unknown,44339,43999,23971,32625,19916,2020-11-24T13:26:19Z,29.46594,R+29,Allen +29,republican,,,GA-G-H-12-2020-11-03,ga-house-general-district-012-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-12.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 12,U.S. House,H,solid-rep,12,District 12,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",310099,228390,19,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,240,240,100% reporting,100%,100,310099,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-24T13:23:45Z,TRUE,16.76142,51977,R+17,Allen +17,republican,TRUE,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604460889706
13103,Effingham,11711,8493,7,7,Merged into voters' home precincts and released with cumulative results,100,11711,>98%,>98% reported,edison,10,unknown,15051,9148,2563,6569,1924,2020-11-24T13:26:17Z,56.22919,R+56,Allen +56,republican,,,GA-G-H-12-2020-11-03,ga-house-general-district-012-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-12.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 12,U.S. House,H,solid-rep,12,District 12,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",310099,228390,19,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,240,240,100% reporting,100%,100,310099,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-24T13:23:45Z,TRUE,16.76142,51977,R+17,Allen +17,republican,TRUE,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604460889706
13107,Emanuel,9180,5890,11,11,Released as a precinct as first report of the night,100,9180,>98%,>98% reported,edison,10,some,5450,6566,2614,4039,1851,2020-11-24T13:26:17Z,43.05011,R+43,Allen +43,republican,,,GA-G-H-12-2020-11-03,ga-house-general-district-012-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-12.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 12,U.S. House,H,solid-rep,12,District 12,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",310099,228390,19,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,240,240,100% reporting,100%,100,310099,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-24T13:23:45Z,TRUE,16.76142,51977,R+17,Allen +17,republican,TRUE,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604460889706
13109,Evans,4116,3425,1,1,Released as a precinct as first report of the night,100,4116,>98%,>98% reported,edison,10,unknown,3528,2899,1217,2425,1000,2020-11-24T13:26:18Z,40.86492,R+41,Allen +41,republican,,,GA-G-H-12-2020-11-03,ga-house-general-district-012-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-12.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 12,U.S. House,H,solid-rep,12,District 12,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",310099,228390,19,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,240,240,100% reporting,100%,100,310099,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-24T13:23:45Z,TRUE,16.76142,51977,R+17,Allen +17,republican,TRUE,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604460889706
13161,Jeff Davis,5524,3918,7,7,Other,100,5524,>98%,>98% reported,edison,10,some,3910,4529,995,3176,742,2020-11-24T13:26:19Z,63.97538,R+64,Allen +64,republican,,,GA-G-H-12-2020-11-03,ga-house-general-district-012-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-12.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 12,U.S. House,H,solid-rep,12,District 12,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",310099,228390,19,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,240,240,100% reporting,100%,100,310099,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-24T13:23:45Z,TRUE,16.76142,51977,R+17,Allen +17,republican,TRUE,"Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.","Because of the small margin between the candidates, the secretary of state authorized a hand recount of the presidential election in the state.",0,0,1604460889706
