fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_fallonp,results_fosterr,results_antonellil,results_write_ins,results_absentee_fallonp,results_absentee_fosterr,results_absentee_antonellil,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,edison_certified_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
48037,Bowie,37816,29737,43,43,Released as a precinct as first report of the night,85,44491,85%,85% reported,edison,4,all,32487,26416,10257,573,570,20115,8746,413,463,2020-11-28T14:28:05Z,42.73059,R+43,Fallon +43,republican,TX-G-H-4-2020-11-03,tx-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",337803,276784,18,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,335,335,100% reporting,100%,95,361000,edison,95%,95% reported,edison,republican,FALSE,2020-11-28T14:38:23Z,FALSE,52.54867,177511,R+53,Fallon +53,republican,FALSE,"","",1,0,1604458451049
48063,Camp,4973,4225,5,5,Released as a precinct as first report of the night,85,5859,85%,85% reported,edison,2,all,4295,3575,1315,69,14,3082,1092,40,11,2020-11-28T14:37:44Z,45.44541,R+45,Fallon +45,republican,TX-G-H-4-2020-11-03,tx-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",337803,276784,18,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,335,335,100% reporting,100%,95,361000,edison,95%,95% reported,edison,republican,FALSE,2020-11-28T14:38:23Z,FALSE,52.54867,177511,R+53,Fallon +53,republican,FALSE,"","",1,0,1604458451049
48067,Cass,13530,10511,19,19,Released as a precinct as first report of the night,85,15862,85%,85% reported,edison,2,all,8478,10575,2623,171,161,8113,2155,101,142,2020-11-28T14:29:08Z,58.7731,R+59,Fallon +59,republican,TX-G-H-4-2020-11-03,tx-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",337803,276784,18,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,335,335,100% reporting,100%,95,361000,edison,95%,95% reported,edison,republican,FALSE,2020-11-28T14:38:23Z,FALSE,52.54867,177511,R+53,Fallon +53,republican,FALSE,"","",1,0,1604458451049
48085,Collin,29063,26111,13,13,Released as a precinct as first report of the night,100,28855,>98%,>98% reported,edison,6,all,368567,21582,6808,671,2,19332,6213,564,2,2020-11-28T14:29:46Z,50.83439,R+51,Fallon +51,republican,TX-G-H-4-2020-11-03,tx-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",337803,276784,18,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,335,335,100% reporting,100%,95,361000,edison,95%,95% reported,edison,republican,FALSE,2020-11-28T14:38:23Z,FALSE,52.54867,177511,R+53,Fallon +53,republican,FALSE,"","",1,0,1604458451049
48119,Delta,2470,1748,8,8,Released as a precinct as first report of the night,84,2940,84%,84% reported,edison,2,all,1505,2065,366,36,3,1423,299,23,3,2020-11-28T14:38:22Z,68.78543,R+69,Fallon +69,republican,TX-G-H-4-2020-11-03,tx-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",337803,276784,18,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,335,335,100% reporting,100%,95,361000,edison,95%,95% reported,edison,republican,FALSE,2020-11-28T14:38:23Z,FALSE,52.54867,177511,R+53,Fallon +53,republican,FALSE,"","",1,0,1604458451049
48147,Fannin,14524,10744,17,17,Released as a precinct as first report of the night,94,15474,94%,94% reported,edison,2,all,8408,11825,2398,287,14,8624,1934,173,13,2020-11-28T14:30:42Z,64.90636,R+65,Fallon +65,republican,TX-G-H-4-2020-11-03,tx-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",337803,276784,18,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,335,335,100% reporting,100%,95,361000,edison,95%,95% reported,edison,republican,FALSE,2020-11-28T14:38:23Z,FALSE,52.54867,177511,R+53,Fallon +53,republican,FALSE,"","",1,0,1604458451049
48159,Franklin,4875,3830,9,9,Released as a precinct as first report of the night,87,5622,87%,87% reported,edison,2,all,3878,4049,723,68,35,3157,599,45,29,2020-11-28T14:31:16Z,68.22564,R+68,Fallon +68,republican,TX-G-H-4-2020-11-03,tx-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",337803,276784,18,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,335,335,100% reporting,100%,95,361000,edison,95%,95% reported,edison,republican,FALSE,2020-11-28T14:38:23Z,FALSE,52.54867,177511,R+53,Fallon +53,republican,FALSE,"","",1,0,1604458451049
48181,Grayson,58609,50221,37,37,Released as a precinct as first report of the night,96,60821,96%,96% reported,edison,2,all,43337,44475,13031,1085,18,37935,11489,781,16,2020-11-28T14:31:56Z,53.65046,R+54,Fallon +54,republican,TX-G-H-4-2020-11-03,tx-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",337803,276784,18,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,335,335,100% reporting,100%,95,361000,edison,95%,95% reported,edison,republican,FALSE,2020-11-28T14:38:23Z,FALSE,52.54867,177511,R+53,Fallon +53,republican,FALSE,"","",1,0,1604458451049
48223,Hopkins,15380,12515,22,22,Released as a precinct as first report of the night,88,17390,88%,88% reported,edison,2,all,12167,12323,2768,284,5,10011,2297,203,4,2020-11-28T14:32:31Z,62.12614,R+62,Fallon +62,republican,TX-G-H-4-2020-11-03,tx-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",337803,276784,18,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,335,335,100% reporting,100%,95,361000,edison,95%,95% reported,edison,republican,FALSE,2020-11-28T14:38:23Z,FALSE,52.54867,177511,R+53,Fallon +53,republican,FALSE,"","",1,0,1604458451049
48231,Hunt,37368,27514,34,34,Released as a precinct as first report of the night,92,40416,92%,92% reported,edison,2,all,22277,28593,7994,768,13,20829,6188,485,12,2020-11-28T14:33:04Z,55.12471,R+55,Fallon +55,republican,TX-G-H-4-2020-11-03,tx-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",337803,276784,18,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,335,335,100% reporting,100%,95,361000,edison,95%,95% reported,edison,republican,FALSE,2020-11-28T14:38:23Z,FALSE,52.54867,177511,R+53,Fallon +53,republican,FALSE,"","",1,0,1604458451049
