fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_arringtonj,results_watsont,results_burnesj,results_absentee_arringtonj,results_absentee_watsont,results_absentee_burnesj,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,edison_certified_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
48207,Haskell,2200,1373,5,5,Released as a precinct as first report of the night,97,2277,97%,97% reported,edison,2,unknown,1208,1853,324,23,1142,222,9,2020-11-24T13:26:43Z,69.5,R+70,Arrington +70,republican,TX-G-H-19-2020-11-03,tx-house-general-district-019-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-19.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 19,U.S. House,H,solid-rep,19,District 19,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",265060,219096,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,343,391,88% reporting,88%,90,295000,edison,90%,90% reported,edison,republican,FALSE,2020-11-24T13:26:25Z,TRUE,51.92447,137631,R+52,Arrington +52,republican,FALSE,"","",1,0,1604459431237
48219,Hockley,8022,6268,13,15,Released as a precinct as first report of the night,85,9418,85%,85% reported,edison,2,unknown,6866,6623,1264,135,5181,1002,85,2020-11-24T13:26:58Z,66.80379,R+67,Arrington +67,republican,TX-G-H-19-2020-11-03,tx-house-general-district-019-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-19.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 19,U.S. House,H,solid-rep,19,District 19,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",265060,219096,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,343,391,88% reporting,88%,90,295000,edison,90%,90% reported,edison,republican,FALSE,2020-11-24T13:26:25Z,TRUE,51.92447,137631,R+52,Arrington +52,republican,FALSE,"","",1,0,1604459431237
48227,Howard,9932,8083,24,27,Released as a precinct as first report of the night,89,11217,89%,89% reported,edison,2,unknown,8479,7853,1871,208,6402,1536,145,2020-11-24T13:26:58Z,60.22956,R+60,Arrington +60,republican,TX-G-H-19-2020-11-03,tx-house-general-district-019-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-19.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 19,U.S. House,H,solid-rep,19,District 19,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",265060,219096,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,343,391,88% reporting,88%,90,295000,edison,90%,90% reported,edison,republican,FALSE,2020-11-24T13:26:25Z,TRUE,51.92447,137631,R+52,Arrington +52,republican,FALSE,"","",1,0,1604459431237
48253,Jones,6617,4312,10,12,Released as a precinct as first report of the night,86,7660,86%,86% reported,edison,2,unknown,3234,5650,866,101,3636,625,51,2020-11-24T13:26:43Z,72.29862,R+72,Arrington +72,republican,TX-G-H-19-2020-11-03,tx-house-general-district-019-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-19.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 19,U.S. House,H,solid-rep,19,District 19,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",265060,219096,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,343,391,88% reporting,88%,90,295000,edison,90%,90% reported,edison,republican,FALSE,2020-11-24T13:26:25Z,TRUE,51.92447,137631,R+52,Arrington +52,republican,FALSE,"","",1,0,1604459431237
48263,Kent,446,310,6,7,Released as a precinct as first report of the night,80,559,80%,80% reported,edison,2,unknown,353,395,47,4,264,44,2,2020-11-24T13:26:58Z,78.02691,R+78,Arrington +78,republican,TX-G-H-19-2020-11-03,tx-house-general-district-019-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-19.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 19,U.S. House,H,solid-rep,19,District 19,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",265060,219096,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,343,391,88% reporting,88%,90,295000,edison,90%,90% reported,edison,republican,FALSE,2020-11-24T13:26:25Z,TRUE,51.92447,137631,R+52,Arrington +52,republican,FALSE,"","",1,0,1604459431237
48279,Lamb,4385,3075,10,12,Released as a precinct as first report of the night,86,5128,86%,86% reported,edison,2,unknown,2723,3580,735,70,2511,528,36,2020-11-24T13:26:58Z,64.88027,R+65,Arrington +65,republican,TX-G-H-19-2020-11-03,tx-house-general-district-019-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-19.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 19,U.S. House,H,solid-rep,19,District 19,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",265060,219096,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,343,391,88% reporting,88%,90,295000,edison,90%,90% reported,edison,republican,FALSE,2020-11-24T13:26:25Z,TRUE,51.92447,137631,R+52,Arrington +52,republican,FALSE,"","",1,0,1604459431237
48303,Lubbock,118023,103768,91,98,Released as a precinct as first report of the night,100,117473,>98%,>98% reported,edison,6,all,108791,80707,33956,3360,71304,29907,2557,2020-11-24T13:26:41Z,39.61177,R+40,Arrington +40,republican,TX-G-H-19-2020-11-03,tx-house-general-district-019-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-19.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 19,U.S. House,H,solid-rep,19,District 19,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",265060,219096,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,343,391,88% reporting,88%,90,295000,edison,90%,90% reported,edison,republican,FALSE,2020-11-24T13:26:25Z,TRUE,51.92447,137631,R+52,Arrington +52,republican,FALSE,"","",1,0,1604459431237
48305,Lynn,2269,2269,13,15,Released as a precinct as first report of the night,88,2576,88%,88% reported,edison,2,unknown,1615,1905,364,0,1905,364,0,2020-11-24T13:26:42Z,67.91538,R+68,Arrington +68,republican,TX-G-H-19-2020-11-03,tx-house-general-district-019-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-19.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 19,U.S. House,H,solid-rep,19,District 19,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",265060,219096,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,343,391,88% reporting,88%,90,295000,edison,90%,90% reported,edison,republican,FALSE,2020-11-24T13:26:25Z,TRUE,51.92447,137631,R+52,Arrington +52,republican,FALSE,"","",1,0,1604459431237
48353,Nolan,5286,3512,9,10,Released as a precinct as first report of the night,86,6121,86%,86% reported,edison,2,unknown,3284,4185,1027,74,2730,749,33,2020-11-24T13:26:42Z,59.74272,R+60,Arrington +60,republican,TX-G-H-19-2020-11-03,tx-house-general-district-019-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-19.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 19,U.S. House,H,solid-rep,19,District 19,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",265060,219096,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,343,391,88% reporting,88%,90,295000,edison,90%,90% reported,edison,republican,FALSE,2020-11-24T13:26:25Z,TRUE,51.92447,137631,R+52,Arrington +52,republican,FALSE,"","",1,0,1604459431237
48369,Parmer,2618,1295,8,10,Released as a precinct as first report of the night,83,3172,83%,83% reported,edison,2,unknown,1526,2140,433,45,1110,179,6,2020-11-24T13:26:42Z,65.20244,R+65,Arrington +65,republican,TX-G-H-19-2020-11-03,tx-house-general-district-019-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-19.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 19,U.S. House,H,solid-rep,19,District 19,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",265060,219096,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,343,391,88% reporting,88%,90,295000,edison,90%,90% reported,edison,republican,FALSE,2020-11-24T13:26:25Z,TRUE,51.92447,137631,R+52,Arrington +52,republican,FALSE,"","",1,0,1604459431237
48415,Scurry,5804,4590,10,12,Released as a precinct as first report of the night,85,6796,85%,85% reported,edison,2,unknown,4983,4957,731,116,3950,572,68,2020-11-24T13:26:43Z,72.81185,R+73,Arrington +73,republican,TX-G-H-19-2020-11-03,tx-house-general-district-019-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-19.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 19,U.S. House,H,solid-rep,19,District 19,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",265060,219096,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,343,391,88% reporting,88%,90,295000,edison,90%,90% reported,edison,republican,FALSE,2020-11-24T13:26:25Z,TRUE,51.92447,137631,R+52,Arrington +52,republican,FALSE,"","",1,0,1604459431237
48417,Shackelford,1607,1231,7,8,Released as a precinct as first report of the night,83,1938,83%,83% reported,edison,2,unknown,1206,1492,104,11,1145,83,3,2020-11-24T13:26:42Z,86.37212,R+86,Arrington +86,republican,TX-G-H-19-2020-11-03,tx-house-general-district-019-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-19.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 19,U.S. House,H,solid-rep,19,District 19,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",265060,219096,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,343,391,88% reporting,88%,90,295000,edison,90%,90% reported,edison,republican,FALSE,2020-11-24T13:26:25Z,TRUE,51.92447,137631,R+52,Arrington +52,republican,FALSE,"","",1,0,1604459431237
48429,Stephens,1141,961,3,3,Released as a precinct as first report of the night,91,1249,91%,91% reported,edison,2,unknown,3737,1052,78,11,886,68,7,2020-11-28T14:50:30Z,85.36372,R+85,Arrington +85,republican,TX-G-H-19-2020-11-03,tx-house-general-district-019-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-19.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 19,U.S. House,H,solid-rep,19,District 19,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",265060,219096,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,343,391,88% reporting,88%,90,295000,edison,90%,90% reported,edison,republican,FALSE,2020-11-24T13:26:25Z,TRUE,51.92447,137631,R+52,Arrington +52,republican,FALSE,"","",1,0,1604459431237
