fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_kahelek,results_akanaj,results_tippensm,results_hoomanawanuij,results_burrusr,results_giuffrej,results_absentee_kahelek,results_absentee_akanaj,results_absentee_tippensm,results_absentee_hoomanawanuij,results_absentee_burrusr,results_absentee_giuffrej,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,edison_certified_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
15001,Hawaii,82072,4344,43,43,Released as a separate subtotal as first report of the night,100,82072,>98%,>98% reported,edison,10,unknown,65965,55774,20897,2471,1752,935,243,1450,2536,150,114,59,35,2020-11-24T13:25:46Z,42.49561,D+42,Kahele +42,democrat,HI-G-H-2-2020-11-03,hi-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-hawaii-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-hawaii.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-hawaii.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,HI,hawaii,Hawaii,Hawaii,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",272102,15413,4,unknown,Polls close at 12 a.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T05:00:00.000Z,12 a.m.,136,136,100% reporting,100%,100,272102,edison,>98%,>98% reported,edison,democrat,FALSE,2020-11-24T13:23:50Z,FALSE,32.15338,87490,D+32,Kahele +32,democrat,TRUE,"","",0,0,1604483744594
15003,Honolulu,95239,4715,42,42,Released as a separate subtotal as first report of the night,100,95239,>98%,>98% reported,edison,10,unknown,256989,53723,35777,2181,2421,918,219,931,3481,129,102,51,21,2020-11-24T13:25:47Z,18.84312,D+19,Kahele +19,democrat,HI-G-H-2-2020-11-03,hi-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-hawaii-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-hawaii.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-hawaii.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,HI,hawaii,Hawaii,Hawaii,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",272102,15413,4,unknown,Polls close at 12 a.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T05:00:00.000Z,12 a.m.,136,136,100% reporting,100%,100,272102,edison,>98%,>98% reported,edison,democrat,FALSE,2020-11-24T13:23:50Z,FALSE,32.15338,87490,D+32,Kahele +32,democrat,TRUE,"","",0,0,1604483744594
15007,Kauai,29724,2114,16,16,Released as a separate subtotal as first report of the night,100,29724,>98%,>98% reported,edison,10,unknown,26194,19880,8233,582,812,182,35,723,1222,75,71,17,6,2020-11-24T13:25:47Z,39.18382,D+39,Kahele +39,democrat,HI-G-H-2-2020-11-03,hi-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-hawaii-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-hawaii.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-hawaii.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,HI,hawaii,Hawaii,Hawaii,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",272102,15413,4,unknown,Polls close at 12 a.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T05:00:00.000Z,12 a.m.,136,136,100% reporting,100%,100,272102,edison,>98%,>98% reported,edison,democrat,FALSE,2020-11-24T13:23:50Z,FALSE,32.15338,87490,D+32,Kahele +32,democrat,TRUE,"","",0,0,1604483744594
15009,Maui,65067,4240,35,35,Released as a separate subtotal as first report of the night,100,65067,>98%,>98% reported,edison,10,unknown,35440,42140,19120,1551,1468,624,164,1189,2713,154,125,42,17,2020-11-24T13:25:46Z,35.37892,D+35,Kahele +35,democrat,HI-G-H-2-2020-11-03,hi-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-hawaii-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-hawaii.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-hawaii.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,HI,hawaii,Hawaii,Hawaii,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",272102,15413,4,unknown,Polls close at 12 a.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T05:00:00.000Z,12 a.m.,136,136,100% reporting,100%,100,272102,edison,>98%,>98% reported,edison,democrat,FALSE,2020-11-24T13:23:50Z,FALSE,32.15338,87490,D+32,Kahele +32,democrat,TRUE,"","",0,0,1604483744594
