fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_merkleyj,results_perkinsj,results_dyeg,results_taheri,results_write_ins,results_absentee_merkleyj,results_absentee_perkinsj,results_absentee_dyeg,results_absentee_taheri,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
41001,Baker,9750,0,16,17,Other,98,9932,98%,98% reported,edison,8,unknown,,,,,2633,6863,176,71,7,0,0,0,0,0,2020-11-19T02:01:00Z,43.38462,R+43,Perkins +43,republican,oregon,2020-11-21T00:45:57.028897Z
41003,Benton,52043,0,22,24,Other,99,52719,>98%,>98% reported,edison,8,some,,,,,35021,14811,1041,1118,52,0,0,0,0,0,2020-11-20T02:00:48Z,38.83327,D+39,Merkley +39,democrat,oregon,2020-11-21T00:45:57.028897Z
41005,Clackamas,250354,0,120,120,Other,98,255664,98%,98% reported,edison,8,some,,,,,134784,106811,4764,3995,,0,0,0,0,,2020-11-16T15:47:52Z,11.17338,D+11,Merkley +11,democrat,oregon,2020-11-21T00:45:57.028897Z
41007,Clatsop,23504,0,33,33,Other,99,23764,>98%,>98% reported,edison,8,some,,,,,13052,9623,438,391,,0,0,0,0,,2020-11-19T02:01:03Z,14.58901,D+15,Merkley +15,democrat,oregon,2020-11-21T00:45:57.028897Z
41009,Columbia,30954,0,33,33,Other,98,31518,98%,98% reported,edison,8,unknown,,,,,14076,15610,739,490,39,0,0,0,0,0,2020-11-16T15:47:53Z,4.95574,R+5,Perkins +5,republican,oregon,2020-11-21T00:45:57.028897Z
41011,Coos,36106,0,18,18,Other,99,36484,>98%,>98% reported,edison,8,some,,,,,14885,20051,676,470,24,0,0,0,0,0,2020-11-20T20:00:50Z,14.30787,R+14,Perkins +14,republican,oregon,2020-11-21T00:45:57.028897Z
41013,Crook,14875,0,17,17,Other,98,15165,98%,98% reported,edison,8,unknown,,,,,4046,10454,237,114,24,0,0,0,0,0,2020-11-16T15:47:55Z,43.07899,R+43,Perkins +43,republican,oregon,2020-11-21T00:45:57.028897Z
41015,Curry,29216,0,27,27,Other,100,14925,>98%,>98% reported,edison,8,unknown,,,,,12340,15986,536,340,14,0,0,0,0,0,2020-11-20T15:05:06Z,12.47946,R+12,Perkins +12,republican,oregon,2020-11-21T00:45:57.028897Z
41017,Deschutes,119378,0,50,50,Other,98,121732,98%,98% reported,edison,8,unknown,,,,,63512,51938,2129,1679,120,0,0,0,0,0,2020-11-16T15:47:57Z,9.69525,D+10,Merkley +10,democrat,oregon,2020-11-21T00:45:57.028897Z
41019,Douglas,62685,0,28,28,Other,99,63107,>98%,>98% reported,edison,8,some,,,,,20707,40036,1217,660,65,0,0,0,0,0,2020-11-20T20:00:49Z,30.83513,R+31,Perkins +31,republican,oregon,2020-11-21T00:45:57.028897Z
