fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_sasseb,results_janicekc,results_siadekg,results_write_ins,results_absentee_sasseb,results_absentee_janicekc,results_absentee_siadekg,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
31151,Saline,5465,0,12,13,Merged into voters' home precincts and released with cumulative results,95,5752,95%,95% reported,edison,2,unknown,,1309,,,3675,1410,380,,0,0,0,,2020-11-16T15:48:04Z,41.44556,R+41,Sasse +41,republican,nebraska,2020-11-21T00:45:42.185439Z
31153,Sarpy,93221,0,52,52,Merged into voters' home precincts and released with cumulative results,100,90250,>98%,>98% reported,edison,2,unknown,,41779,,,57315,23309,5763,6834,0,0,0,0,2020-11-16T15:48:05Z,36.4789,R+36,Sasse +36,republican,nebraska,2020-11-21T00:45:42.185439Z
31155,Saunders,11975,0,19,19,"As a precinct in the FIRST cumulative report, along with regular precincts",98,12163,98%,98% reported,edison,2,unknown,,3181,,,9210,1997,768,,0,0,0,,2020-11-16T15:48:06Z,60.23382,R+60,Sasse +60,republican,nebraska,2020-11-21T00:45:42.185439Z
31157,Scotts Bluff,14906,0,30,30,Released as a precinct as first report of the night,93,16035,93%,93% reported,edison,2,some,,6589,,,10689,2987,943,287,0,0,0,0,2020-11-16T15:48:06Z,51.67047,R+52,Sasse +52,republican,nebraska,2020-11-21T00:45:42.185439Z
31159,Seward,8637,0,16,16,Released as a precinct as first report of the night,97,8873,97%,97% reported,edison,2,unknown,,2013,,,6718,1464,455,,0,0,0,,2020-11-16T15:48:07Z,60.83131,R+61,Sasse +61,republican,nebraska,2020-11-21T00:45:42.185439Z
31161,Sheridan,2541,0,8,9,Released as a precinct as first report of the night,87,2921,87%,87% reported,edison,2,unknown,,739,,,2042,290,209,,0,0,0,,2020-11-16T15:48:07Z,68.94923,R+69,Sasse +69,republican,nebraska,2020-11-21T00:45:42.185439Z
31163,Sherman,1608,0,6,7,Released separately AFTER election night,91,1762,91%,91% reported,edison,2,unknown,,421,,,1233,247,128,,0,0,0,,2020-11-16T15:48:08Z,61.31841,R+61,Sasse +61,republican,nebraska,2020-11-21T00:45:42.185439Z
31165,Sioux,696,0,3,3,Released separately AFTER election night,84,824,84%,84% reported,edison,2,unknown,,291,,,597,52,47,,0,0,0,,2020-11-16T15:48:09Z,78.3046,R+78,Sasse +78,republican,nebraska,2020-11-21T00:45:42.185439Z
31167,Stanton,2920,0,15,16,Released as a precinct as first report of the night,93,3137,93%,93% reported,edison,2,unknown,,1576,,,2304,374,242,,0,0,0,,2020-11-16T15:48:09Z,66.09589,R+66,Sasse +66,republican,nebraska,2020-11-21T00:45:42.185439Z
31169,Thayer,2851,0,8,8,Released as a precinct as first report of the night,95,3013,95%,95% reported,edison,2,unknown,,773,,,2356,372,123,,0,0,0,,2020-11-16T15:48:10Z,69.58962,R+70,Sasse +70,republican,nebraska,2020-11-21T00:45:42.185439Z
31171,Thomas,390,0,1,1,Released as a separate subtotal at the end of tabulation,85,457,85%,85% reported,edison,2,unknown,,242,,,329,40,21,,0,0,0,,2020-11-16T15:48:10Z,74.10256,R+74,Sasse +74,republican,nebraska,2020-11-21T00:45:42.185439Z
31173,Thurston,2177,0,8,9,"As a precinct in the FIRST cumulative report, along with regular precincts",88,2472,88%,88% reported,edison,2,unknown,,363,,,1218,885,74,,0,0,0,,2020-11-16T15:48:11Z,15.29628,R+15,Sasse +15,republican,nebraska,2020-11-21T00:45:42.185439Z
31175,Valley,2252,0,7,8,"As a precinct in the FIRST cumulative report, along with regular precincts",91,2470,91%,91% reported,edison,2,unknown,,581,,,1812,278,122,40,0,0,0,0,2020-11-16T15:48:11Z,68.11723,R+68,Sasse +68,republican,nebraska,2020-11-21T00:45:42.185439Z
31177,Washington,11550,0,15,16,Released as a precinct as first report of the night,95,12132,95%,95% reported,edison,2,unknown,,4096,,,8808,1981,761,,0,0,0,,2020-11-16T15:48:12Z,59.10823,R+59,Sasse +59,republican,nebraska,2020-11-21T00:45:42.185439Z
31179,Wayne,3914,0,10,11,Released as a precinct as first report of the night,93,4229,93%,93% reported,edison,2,unknown,,1347,,,3000,638,276,,0,0,0,,2020-11-16T15:48:12Z,60.34747,R+60,Sasse +60,republican,nebraska,2020-11-21T00:45:42.185439Z
31181,Webster,1762,0,6,6,Released separately AFTER election night,91,1945,91%,91% reported,edison,2,unknown,,499,,,1443,230,89,,0,0,0,,2020-11-16T15:48:13Z,68.84222,R+69,Sasse +69,republican,nebraska,2020-11-21T00:45:42.185439Z
31183,Wheeler,472,0,2,2,Released separately AFTER election night,91,521,91%,91% reported,edison,2,unknown,,160,,,387,49,36,,0,0,0,,2020-11-16T15:48:13Z,71.61017,R+72,Sasse +72,republican,nebraska,2020-11-21T00:45:42.185439Z
31185,York,6802,0,12,13,Released as a precinct as first report of the night,95,7147,95%,95% reported,edison,2,unknown,,2483,,,5406,1017,379,,0,0,0,,2020-11-21T00:00:42Z,64.52514,R+65,Sasse +65,republican,nebraska,2020-11-21T00:45:42.185439Z
