fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_perdued,results_ossoffj,results_hazels,results_write_ins,results_absentee_perdued,results_absentee_ossoffj,results_absentee_hazels,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
13221,Oglethorpe,8057,6556,3,3,Merged into voters' home precincts and released with cumulative results,99,8131,>98%,>98% reported,edison,10,some,,4622,,,5500,2323,234,,4452,1916,188,,2020-11-20T21:32:44Z,39.43155,R+39,Perdue +39,republican,georgia,2020-11-21T00:45:09.985364Z
13223,Paulding,84548,70685,19,19,Released as a precinct as first report of the night,99,85385,>98%,>98% reported,edison,10,unknown,,61685,,,53485,28755,2308,,44010,24975,1700,,2020-11-20T21:32:28Z,29.24966,R+29,Perdue +29,republican,georgia,2020-11-21T00:45:09.985364Z
13225,Peach,12432,10610,7,7,Other,99,12545,>98%,>98% reported,edison,10,some,,12557,,,6483,5702,247,,5517,4897,196,,2020-11-20T21:32:10Z,6.28218,R+6,Perdue +6,republican,georgia,2020-11-21T00:45:09.985364Z
13227,Pickens,16969,10216,11,12,"As a precinct in the FIRST cumulative report, along with regular precincts",99,17116,>98%,>98% reported,edison,10,unknown,,10978,,,13860,2678,431,,7985,2023,208,,2020-11-20T21:31:54Z,65.89664,R+66,Perdue +66,republican,georgia,2020-11-21T00:45:09.985364Z
13229,Pierce,8941,7605,8,8,Released as a separate subtotal as first report of the night,99,9048,>98%,>98% reported,edison,10,some,,6190,,,7810,1002,129,,6626,878,101,,2020-11-20T21:31:41Z,76.14361,R+76,Perdue +76,republican,georgia,2020-11-21T00:45:09.985364Z
13231,Pike,10649,7999,8,8,Released as a precinct at the end of tabulation,99,10720,>98%,>98% reported,edison,10,some,,7038,,,9045,1430,174,,6727,1158,114,,2020-11-20T01:42:36Z,71.50906,R+72,Perdue +72,republican,georgia,2020-11-21T00:45:09.985364Z
13233,Polk,17235,13728,7,7,Released as a precinct as first report of the night,99,17399,>98%,>98% reported,edison,10,unknown,,13243,,,13282,3537,416,,10507,2918,303,,2020-11-20T21:31:22Z,56.54192,R+57,Perdue +57,republican,georgia,2020-11-21T00:45:09.985364Z
13235,Pulaski,4005,3503,1,1,None,99,4059,>98%,>98% reported,edison,10,some,,3709,,,2787,1139,79,,2455,986,62,,2020-11-20T21:31:08Z,41.14856,R+41,Perdue +41,republican,georgia,2020-11-21T00:45:09.985364Z
13237,Putnam,11767,9713,5,5,"As a precinct in the FIRST cumulative report, along with regular precincts",99,11855,>98%,>98% reported,edison,10,some,,8776,,,8279,3299,189,,6742,2838,133,,2020-11-20T21:30:41Z,42.32175,R+42,Perdue +42,republican,georgia,2020-11-21T00:45:09.985364Z
13239,Quitman,1086,762,2,2,None,98,1106,98%,98% reported,edison,10,some,,990,,,600,470,15,1,442,313,7,0,2020-11-20T21:30:25Z,11.97053,R+12,Perdue +12,republican,georgia,2020-11-21T00:45:09.985364Z
