fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_perdued,results_ossoffj,results_hazels,results_write_ins,results_absentee_perdued,results_absentee_ossoffj,results_absentee_hazels,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
13047,Catoosa,32212,25882,11,11,None,99,32692,>98%,>98% reported,edison,10,unknown,,21358,,,24571,6599,1004,38,19535,5629,698,20,2020-11-20T23:05:46Z,55.79287,R+56,Perdue +56,republican,georgia,2020-11-21T00:45:09.985364Z
13049,Charlton,4477,3126,8,8,Merged into voters' home precincts and released with cumulative results,98,4566,98%,98% reported,edison,10,unknown,,2992,,,3357,1016,104,,2259,794,73,,2020-11-20T21:34:18Z,52.28948,R+52,Perdue +52,republican,georgia,2020-11-21T00:45:09.985364Z
13051,Chatham,131847,94558,92,92,Released as a precinct as first report of the night,99,133420,>98%,>98% reported,edison,10,all,,63578,,,52988,75873,2986,0,34750,58082,1726,0,2020-11-20T23:06:23Z,17.35724,D+17,Ossoff +17,democrat,georgia,2020-11-21T00:45:09.985364Z
13053,Chattahoochee,1548,1094,1,1,None,97,1590,97%,97% reported,edison,10,unknown,,126,,,850,636,60,2,569,485,40,0,2020-11-20T23:06:38Z,13.82429,R+14,Perdue +14,republican,georgia,2020-11-21T00:45:09.985364Z
13055,Chattooga,9938,7077,13,13,Released with cumulative results periodically election night,99,10050,>98%,>98% reported,edison,10,unknown,,5234,,,7777,1886,275,,5395,1493,189,,2020-11-20T21:36:11Z,59.27752,R+59,Perdue +59,republican,georgia,2020-11-21T00:45:09.985364Z
13057,Cherokee,143526,112262,42,42,Released as a separate subtotal as first report of the night,99,144830,>98%,>98% reported,edison,10,unknown,,90723,,,99384,39928,4214,,75911,33576,2775,,2020-11-20T01:42:45Z,41.42525,R+41,Perdue +41,republican,georgia,2020-11-21T00:45:09.985364Z
13059,Clarke,50950,41876,24,24,None,99,51218,>98%,>98% reported,edison,10,unknown,,31528,,,15078,34549,1323,,11596,29392,888,,2020-11-20T01:43:20Z,38.2159,D+38,Ossoff +38,democrat,georgia,2020-11-21T00:45:09.985364Z
13061,Clay,1416,1117,5,5,Merged into voters' home precincts and released with cumulative results,99,1434,>98%,>98% reported,edison,10,all,,907,,,647,748,21,,519,582,16,,2020-11-20T21:38:05Z,7.13277,D+7,Ossoff +7,democrat,georgia,2020-11-21T00:45:09.985364Z
13063,Clayton,111045,90234,65,65,None,99,112344,>98%,>98% reported,edison,10,unknown,,91435,,,14841,93699,2505,,11796,76605,1833,,2020-11-20T01:44:03Z,71.01445,D+71,Ossoff +71,democrat,georgia,2020-11-21T00:45:09.985364Z
13065,Clinch,2797,1963,5,5,"As a precinct in the FIRST cumulative report, along with regular precincts",98,2864,98%,98% reported,edison,10,unknown,,1870,,,2083,660,54,,1477,448,38,,2020-11-20T21:38:24Z,50.87594,R+51,Perdue +51,republican,georgia,2020-11-21T00:45:09.985364Z
13067,Cobb,390772,319681,145,145,Merged into voters' home precincts and released with cumulative results,99,393744,>98%,>98% reported,edison,10,unknown,,202586,,,169658,210851,10263,,131644,180918,7119,,2020-11-20T01:38:42Z,10.54144,D+11,Ossoff +11,democrat,georgia,2020-11-21T00:45:09.985364Z
13069,Coffee,14991,11292,6,6,Other,99,15214,>98%,>98% reported,edison,10,all,,13390,,,10424,4281,286,,7880,3211,201,,2020-11-20T21:38:45Z,40.97792,R+41,Perdue +41,republican,georgia,2020-11-21T00:45:09.985364Z
13071,Colquitt,15891,10482,19,19,None,99,16083,>98%,>98% reported,edison,10,unknown,,9626,,,11644,3990,257,,7430,2904,148,,2020-11-20T21:39:01Z,48.16563,R+48,Perdue +48,republican,georgia,2020-11-21T00:45:09.985364Z
13073,Columbia,79907,61020,47,47,Merged into voters' home precincts and released with cumulative results,99,80579,>98%,>98% reported,edison,10,unknown,,44339,,,50220,27759,1928,,36879,22895,1246,,2020-11-20T21:39:13Z,28.10893,R+28,Perdue +28,republican,georgia,2020-11-21T00:45:09.985364Z
13075,Cook,6972,5305,8,8,Released as a separate subtotal as first report of the night,99,7035,>98%,>98% reported,edison,10,unknown,,5070,,,4864,1963,145,,3760,1441,104,,2020-11-20T21:39:28Z,41.60929,R+42,Perdue +42,republican,georgia,2020-11-21T00:45:09.985364Z
13077,Coweta,76122,52012,26,26,None,99,76799,>98%,>98% reported,edison,10,unknown,,37867,,,51299,22915,1908,,33191,17704,1117,,2020-11-20T21:40:12Z,37.28751,R+37,Perdue +37,republican,georgia,2020-11-21T00:45:09.985364Z
13079,Crawford,6026,4597,6,6,Released as a separate subtotal as first report of the night,99,6102,>98%,>98% reported,edison,10,unknown,,4342,,,4330,1561,135,,3203,1298,96,,2020-11-20T21:44:13Z,45.95088,R+46,Perdue +46,republican,georgia,2020-11-21T00:45:09.985364Z
13081,Crisp,7980,6411,5,5,None,99,8052,>98%,>98% reported,edison,10,unknown,,6558,,,5054,2809,105,12,4070,2260,72,9,2020-11-20T23:07:00Z,28.13283,R+28,Perdue +28,republican,georgia,2020-11-21T00:45:09.985364Z
13083,Dade,7332,5042,6,7,Merged into voters' home precincts and released with cumulative results,99,7434,>98%,>98% reported,edison,10,all,,4573,,,5871,1253,208,,3924,980,138,,2020-11-20T21:45:02Z,62.98418,R+63,Perdue +63,republican,georgia,2020-11-21T00:45:09.985364Z
13085,Dawson,15924,13278,3,3,Released as a separate subtotal as first report of the night,99,16081,>98%,>98% reported,edison,10,unknown,,10581,,,13217,2289,418,,10936,2037,305,,2020-11-20T21:45:15Z,68.62597,R+69,Perdue +69,republican,georgia,2020-11-21T00:45:09.985364Z
13089,DeKalb,367643,319141,191,191,Released with cumulative results periodically election night,99,370675,>98%,>98% reported,edison,10,unknown,,261315,,,61859,298479,7305,,49426,264195,5520,,2020-11-20T21:57:31Z,64.36135,D+64,Ossoff +64,democrat,georgia,2020-11-21T00:45:09.985364Z
13087,Decatur,11449,9169,9,9,Merged into voters' home precincts and released with cumulative results,98,11627,98%,98% reported,edison,10,unknown,,9618,,,6696,4563,190,,5242,3780,147,,2020-11-20T21:45:34Z,18.63045,R+19,Perdue +19,republican,georgia,2020-11-21T00:45:09.985364Z
13091,Dodge,7952,5062,16,16,Released as a precinct as first report of the night,99,8070,>98%,>98% reported,edison,10,all,,5826,,,5793,2021,138,,3482,1490,90,,2020-11-20T21:40:55Z,47.43461,R+47,Perdue +47,republican,georgia,2020-11-21T00:45:09.985364Z
13093,Dooly,4059,3103,5,5,Released as a precinct as first report of the night,99,4105,>98%,>98% reported,edison,10,unknown,,3453,,,2158,1826,75,,1688,1364,51,,2020-11-20T21:41:25Z,8.17935,R+8,Perdue +8,republican,georgia,2020-11-21T00:45:09.985364Z
13095,Dougherty,34911,23105,28,28,None,99,35311,>98%,>98% reported,edison,10,unknown,,27832,,,10588,23821,502,0,6289,16537,279,0,2020-11-20T23:07:18Z,37.90496,D+38,Ossoff +38,democrat,georgia,2020-11-21T00:45:09.985364Z
13097,Douglas,68441,57320,25,25,Merged into voters' home precincts and released with cumulative results,99,69097,>98%,>98% reported,edison,10,unknown,,54542,,,25002,41796,1643,,20321,35815,1184,,2020-11-20T21:41:42Z,24.53792,D+25,Ossoff +25,democrat,georgia,2020-11-21T00:45:09.985364Z
13099,Early,5105,3661,5,5,Other,98,5187,98%,98% reported,edison,10,all,,3645,,,2796,2232,77,,1976,1637,48,,2020-11-20T21:47:22Z,11.04799,R+11,Perdue +11,republican,georgia,2020-11-21T00:45:09.985364Z
13101,Echols,1418,1161,1,1,None,98,1441,98%,98% reported,edison,10,unknown,,886,,,1232,162,24,,1011,131,19,,2020-11-20T21:47:43Z,75.45839,R+75,Perdue +75,republican,georgia,2020-11-21T00:45:09.985364Z
13103,Effingham,31319,21961,17,17,Merged into voters' home precincts and released with cumulative results,99,31624,>98%,>98% reported,edison,10,unknown,,15051,,,22832,7627,828,32,15649,5837,475,0,2020-11-20T23:07:39Z,48.5488,R+49,Perdue +49,republican,georgia,2020-11-21T00:45:09.985364Z
13105,Elbert,9075,6695,11,11,None,99,9171,>98%,>98% reported,edison,10,unknown,,7709,,,6225,2717,133,,4389,2217,89,,2020-11-20T21:48:03Z,38.65565,R+39,Perdue +39,republican,georgia,2020-11-21T00:45:09.985364Z
13107,Emanuel,9368,5992,11,11,Released as a precinct as first report of the night,99,9501,>98%,>98% reported,edison,10,unknown,,5450,,,6513,2720,135,0,4002,1906,84,0,2020-11-20T23:07:51Z,40.4889,R+40,Perdue +40,republican,georgia,2020-11-21T00:45:09.985364Z
13109,Evans,4191,3485,1,1,Released as a precinct as first report of the night,99,4247,>98%,>98% reported,edison,10,unknown,,3528,,,2876,1251,64,,2413,1024,48,,2020-11-20T21:48:28Z,38.77356,R+39,Perdue +39,republican,georgia,2020-11-21T00:45:09.985364Z
13111,Fannin,14686,10098,12,12,Released as a precinct at the end of tabulation,99,14850,>98%,>98% reported,edison,10,unknown,,7570,,,11972,2415,299,,7882,2032,184,,2020-11-20T01:36:59Z,65.07558,R+65,Perdue +65,republican,georgia,2020-11-21T00:45:09.985364Z
13113,Fayette,71470,61288,36,36,Other,99,71993,>98%,>98% reported,edison,10,unknown,,60498,,,38403,31477,1590,,32017,28069,1202,,2020-11-20T21:49:18Z,9.69078,R+10,Perdue +10,republican,georgia,2020-11-21T00:45:09.985364Z
13115,Floyd,41288,30904,25,25,None,100,38588,>98%,>98% reported,edison,10,unknown,,25280,,,28752,11480,1056,,20930,9270,704,,2020-11-20T14:20:43Z,41.83298,R+42,Perdue +42,republican,georgia,2020-11-21T00:45:09.985364Z
13117,Forsyth,128267,114715,20,20,Released as a separate subtotal in the middle of the tabulation,99,129305,>98%,>98% reported,edison,10,unknown,,77750,,,85652,39229,3386,,76037,35962,2716,,2020-11-20T01:32:38Z,36.19247,R+36,Perdue +36,republican,georgia,2020-11-21T00:45:09.985364Z
13119,Franklin,10659,7994,7,7,Released as a separate subtotal as first report of the night,99,10786,>98%,>98% reported,edison,10,unknown,,4626,,,8993,1465,187,14,6723,1140,122,9,2020-11-20T23:08:10Z,70.62576,R+71,Perdue +71,republican,georgia,2020-11-21T00:45:09.985364Z
13121,Fulton,520778,457996,384,384,Released as a precinct as first report of the night,99,524659,>98%,>98% reported,edison,10,unknown,,262589,,,146466,363269,11043,,125759,323677,8560,,2020-11-20T21:49:10Z,41.6306,D+42,Ossoff +42,democrat,georgia,2020-11-21T00:45:09.985364Z
13123,Gilmer,16307,11448,13,13,Released as a precinct as first report of the night,99,16525,>98%,>98% reported,edison,10,some,,8613,,,13206,2715,386,,8924,2279,245,,2020-11-20T21:48:39Z,64.33433,R+64,Perdue +64,republican,georgia,2020-11-21T00:45:09.985364Z
13125,Glascock,1540,1095,3,4,None,98,1566,98%,98% reported,edison,10,unknown,,920,,,1366,150,24,,970,108,17,,2020-11-20T21:48:28Z,78.96104,R+79,Perdue +79,republican,georgia,2020-11-21T00:45:09.985364Z
13127,Glynn,41468,34446,20,20,Released as a precinct as first report of the night,99,41984,>98%,>98% reported,edison,10,unknown,,28819,,,25560,14938,970,,20910,12833,703,,2020-11-20T21:48:18Z,25.61493,R+26,Perdue +26,republican,georgia,2020-11-21T00:45:09.985364Z
13129,Gordon,23766,15707,12,12,Other,99,24033,>98%,>98% reported,edison,10,some,,12109,,,19011,4182,573,,12184,3171,352,,2020-11-20T21:48:05Z,62.39586,R+62,Perdue +62,republican,georgia,2020-11-21T00:45:09.985364Z
13131,Grady,10580,7890,13,13,Released as a precinct as first report of the night,99,10707,>98%,>98% reported,edison,10,all,,7808,,,6969,3465,146,,4960,2835,95,,2020-11-20T01:37:41Z,33.11909,R+33,Perdue +33,republican,georgia,2020-11-21T00:45:09.985364Z
13133,Greene,11162,9701,5,5,Released as a precinct as first report of the night,99,11247,>98%,>98% reported,edison,10,all,,8130,,,7247,3763,152,,6380,3212,109,,2020-11-20T21:46:45Z,31.21304,R+31,Perdue +31,republican,georgia,2020-11-21T00:45:09.985364Z
13135,Gwinnett,411206,337729,156,156,Released with cumulative results periodically election night,99,413865,>98%,>98% reported,edison,10,unknown,,177474,,,166754,233551,10901,,131957,198031,7741,,2020-11-20T21:46:04Z,16.24417,D+16,Ossoff +16,democrat,georgia,2020-11-21T00:45:09.985364Z
13137,Habersham,20259,17052,7,7,Other,99,20432,>98%,>98% reported,edison,10,unknown,,14590,,,16385,3340,534,,13815,2844,393,,2020-11-20T21:44:43Z,64.39113,R+64,Perdue +64,republican,georgia,2020-11-21T00:45:09.985364Z
13139,Hall,89787,74400,31,31,None,99,90523,>98%,>98% reported,edison,10,unknown,,42947,,,63833,23487,2467,,52931,19692,1777,,2020-11-20T21:44:31Z,44.93524,R+45,Perdue +45,republican,georgia,2020-11-21T00:45:09.985364Z
13141,Hancock,4097,3192,10,10,None,98,4165,98%,98% reported,edison,10,unknown,,2875,,,1173,2858,66,,886,2254,52,,2020-11-20T21:44:14Z,41.12765,D+41,Ossoff +41,democrat,georgia,2020-11-21T00:45:09.985364Z
13143,Haralson,14135,9439,12,12,Merged into voters' home precincts and released with cumulative results,99,14272,>98%,>98% reported,edison,10,unknown,,6862,,,12016,1764,336,19,7816,1411,212,0,2020-11-20T23:08:28Z,72.52918,R+73,Perdue +73,republican,georgia,2020-11-21T00:45:09.985364Z
13145,Harris,19854,12875,12,12,None,99,19991,>98%,>98% reported,edison,10,unknown,,12696,,,14279,5192,383,,8739,3924,212,,2020-11-20T21:43:50Z,45.76911,R+46,Perdue +46,republican,georgia,2020-11-21T00:45:09.985364Z
13147,Hart,12532,9607,7,7,Released as a precinct at the end of tabulation,98,12727,98%,98% reported,edison,10,some,,6811,,,9377,2937,218,,7070,2392,145,,2020-11-20T21:43:26Z,51.38845,R+51,Perdue +51,republican,georgia,2020-11-21T00:45:09.985364Z
13149,Heard,5333,3495,6,6,Merged into voters' home precincts and released with cumulative results,99,5397,>98%,>98% reported,edison,10,unknown,,2362,,,4413,802,113,5,2801,609,82,3,2020-11-20T23:08:48Z,67.71048,R+68,Perdue +68,republican,georgia,2020-11-21T00:45:09.985364Z
13151,Henry,121709,104925,37,37,Other,99,122742,>98%,>98% reported,edison,10,unknown,,101421,,,47486,71592,2631,,39557,63312,2056,,2020-11-20T21:42:06Z,19.80626,D+20,Ossoff +20,democrat,georgia,2020-11-21T00:45:09.985364Z
13153,Houston,74162,55678,16,16,Other,99,74823,>98%,>98% reported,edison,10,some,,53598,,,41428,30955,1779,,29897,24637,1144,,2020-11-20T21:41:51Z,14.12179,R+14,Perdue +14,republican,georgia,2020-11-21T00:45:09.985364Z
13155,Irwin,4144,3250,3,3,Released as a precinct as first report of the night,99,4168,>98%,>98% reported,edison,10,all,,2670,,,3095,982,67,,2458,740,52,,2020-11-20T21:41:38Z,50.98938,R+51,Perdue +51,republican,georgia,2020-11-21T00:45:09.985364Z
13157,Jackson,37383,31227,4,4,Released as a precinct as first report of the night,99,37670,>98%,>98% reported,edison,10,some,,20045,,,29166,7262,955,,24293,6235,699,,2020-11-20T21:41:22Z,58.59348,R+59,Perdue +59,republican,georgia,2020-11-21T00:45:09.985364Z
13159,Jasper,7592,5723,3,3,Released as a precinct as first report of the night,99,7644,>98%,>98% reported,edison,10,unknown,,5181,,,5751,1690,151,,4235,1393,95,,2020-11-20T21:41:09Z,53.49052,R+53,Perdue +53,republican,georgia,2020-11-21T00:45:09.985364Z
13161,Jeff Davis,5698,4032,7,7,Other,99,5771,>98%,>98% reported,edison,10,some,,3910,,,4574,1013,111,,3197,764,71,,2020-11-20T21:40:59Z,62.49561,R+62,Perdue +62,republican,georgia,2020-11-21T00:45:09.985364Z
13163,Jefferson,7554,5380,8,8,Merged into voters' home precincts and released with cumulative results,99,7642,>98%,>98% reported,edison,10,all,,4930,,,3539,3913,102,,2432,2878,70,,2020-11-20T21:40:47Z,4.95102,D+5,Ossoff +5,democrat,georgia,2020-11-21T00:45:09.985364Z
13165,Jenkins,3400,2518,4,5,Other,98,3455,98%,98% reported,edison,10,unknown,,2806,,,2155,1194,51,,1576,913,29,,2020-11-20T21:40:21Z,28.26471,R+28,Perdue +28,republican,georgia,2020-11-21T00:45:09.985364Z
13167,Johnson,4034,3054,3,4,Released as a precinct as first report of the night,98,4100,98%,98% reported,edison,10,unknown,,3190,,,2801,1158,75,,2047,948,59,,2020-11-20T21:40:07Z,40.72881,R+41,Perdue +41,republican,georgia,2020-11-21T00:45:09.985364Z
13169,Jones,14842,10938,10,10,Merged into voters' home precincts AFTER election night,99,14966,>98%,>98% reported,edison,10,some,,10683,,,9854,4687,301,,6896,3850,192,,2020-11-20T21:39:55Z,34.81337,R+35,Perdue +35,republican,georgia,2020-11-21T00:45:09.985364Z
13171,Lamar,8988,6719,6,6,None,99,9039,>98%,>98% reported,edison,10,all,,6784,,,6280,2511,197,,4559,2037,123,,2020-11-20T21:39:44Z,41.93369,R+42,Perdue +42,republican,georgia,2020-11-21T00:45:09.985364Z
13173,Lanier,3519,2831,1,1,Released separately AFTER election night,98,3576,98%,98% reported,edison,10,unknown,,2618,,,2481,944,94,,2012,757,62,,2020-11-20T21:39:28Z,43.67718,R+44,Perdue +44,republican,georgia,2020-11-21T00:45:09.985364Z
13175,Laurens,22474,14914,16,16,Released as a precinct at the end of tabulation,99,22729,>98%,>98% reported,edison,10,unknown,,14083,,,14363,7698,413,,8764,5887,263,,2020-11-20T21:39:16Z,29.65649,R+30,Perdue +30,republican,georgia,2020-11-21T00:45:09.985364Z
