fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_cornynj,results_hegarm,results_mckennonk,results_collinsda,results_write_ins,results_absentee_cornynj,results_absentee_hegarm,results_absentee_mckennonk,results_absentee_collinsda,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
48001,Anderson,19007,14361,20,23,Released as a precinct as first report of the night,95,20048,95%,95% reported,edison,2,none,,15380,,,14897,3773,245,88,4,11036,3089,168,67,1,2020-11-04T10:43:50Z,58.52581,R+59,Cornyn +59,republican,texas,2020-11-10T20:55:22.941881Z
48003,Andrews,5694,4734,4,5,Released as a precinct as first report of the night,98,5837,98%,98% reported,edison,2,unknown,,4805,,,4888,679,107,20,0,4005,642,73,14,0,2020-11-04T10:43:51Z,73.91992,R+74,Cornyn +74,republican,texas,2020-11-10T20:55:22.941881Z
48005,Angelina,34357,28462,38,43,Released as a precinct as first report of the night,97,35322,97%,97% reported,edison,2,unknown,,28954,,,24955,8765,460,160,17,20639,7361,335,118,9,2020-11-04T10:43:52Z,47.12286,R+47,Cornyn +47,republican,texas,2020-11-10T20:55:22.941881Z
48007,Aransas,12116,10900,5,6,Released as a precinct as first report of the night,98,12414,98%,98% reported,edison,2,unknown,,10783,,,9161,2711,177,67,0,8227,2479,140,54,0,2020-11-04T10:43:53Z,53.23539,R+53,Cornyn +53,republican,texas,2020-11-10T20:55:22.941881Z
48009,Archer,4724,3581,10,12,Released as a precinct as first report of the night,89,5288,89%,89% reported,edison,2,unknown,,2737,,,4178,467,65,14,0,3165,368,35,13,0,2020-11-04T10:43:53Z,78.55631,R+79,Cornyn +79,republican,texas,2020-11-10T20:55:22.941881Z
48011,Armstrong,1106,842,7,8,Released as a precinct as first report of the night,88,1260,88%,88% reported,edison,2,unknown,,777,,,1025,64,12,5,0,779,51,8,4,0,2020-11-04T10:43:54Z,86.88969,R+87,Cornyn +87,republican,texas,2020-11-10T20:55:22.941881Z
48013,Atascosa,17864,14598,25,25,Released as a precinct as first report of the night,100,17775,>98%,>98% reported,edison,2,unknown,,10647,,,11889,5576,257,142,0,9734,4589,188,87,0,2020-11-04T10:43:56Z,35.33923,R+35,Cornyn +35,republican,texas,2020-11-10T20:55:22.941881Z
48015,Austin,14297,11500,16,18,Released as a precinct as first report of the night,94,15153,94%,94% reported,edison,2,some,,9966,,,11294,2732,211,57,3,9047,2260,153,38,2,2020-11-04T10:43:57Z,59.88669,R+60,Cornyn +60,republican,texas,2020-11-10T20:55:22.941881Z
48017,Bailey,1817,1266,4,5,Released as a precinct as first report of the night,77,2361,77%,77% reported,edison,2,unknown,,1464,,,1396,382,28,11,0,1016,233,12,5,0,2020-11-04T10:43:59Z,55.80627,R+56,Cornyn +56,republican,texas,2020-11-10T20:55:22.941881Z
48019,Bandera,12530,10936,10,11,Released as a precinct as first report of the night,99,12614,>98%,>98% reported,edison,2,unknown,,10011,,,9950,2291,234,55,0,8619,2101,179,37,0,2020-11-04T10:43:59Z,61.1253,R+61,Cornyn +61,republican,texas,2020-11-10T20:55:22.941881Z
48021,Bastrop,36476,31199,23,23,Released as a precinct as first report of the night,100,33601,>98%,>98% reported,edison,2,unknown,,25791,,,20439,15047,757,208,25,16975,13505,561,156,2,2020-11-04T10:44:00Z,14.78232,R+15,Cornyn +15,republican,texas,2020-11-10T20:55:22.941881Z
48023,Baylor,1659,1355,4,5,Released as a precinct as first report of the night,88,1880,88%,88% reported,edison,2,unknown,,1554,,,1447,174,29,8,1,1196,137,18,4,0,2020-11-04T10:44:01Z,76.73297,R+77,Cornyn +77,republican,texas,2020-11-10T20:55:22.941881Z
48025,Bee,9041,7265,15,18,Released as a precinct as first report of the night,90,10020,90%,90% reported,edison,2,unknown,,7301,,,5708,3094,171,58,10,4520,2572,126,42,5,2020-11-04T10:44:01Z,28.91273,R+29,Cornyn +29,republican,texas,2020-11-10T20:55:22.941881Z
48027,Bell,125122,102529,49,49,Released as a precinct as first report of the night,100,117276,>98%,>98% reported,edison,4,unknown,,89466,,,68118,53489,2687,719,109,54424,45741,1840,520,4,2020-11-04T10:44:02Z,11.69179,R+12,Cornyn +12,republican,texas,2020-11-10T20:55:22.941881Z
48029,Bexar,741238,660833,741,767,Released as a precinct as first report of the night,97,766539,97%,97% reported,edison,2,all,,609654,,,314896,404482,14896,6186,778,277734,365778,11794,4828,699,2020-11-04T10:44:02Z,12.086,D+12,Hegar +12,democrat,texas,2020-11-10T20:55:22.941881Z
48031,Blanco,7391,6408,7,7,Released as a precinct as first report of the night,100,7019,>98%,>98% reported,edison,2,unknown,,4204,,,5441,1812,103,30,5,4635,1667,81,22,3,2020-11-04T10:44:05Z,49.10026,R+49,Cornyn +49,republican,texas,2020-11-10T20:55:22.941881Z
48033,Borden,407,302,7,8,Released as a precinct as first report of the night,86,475,86%,86% reported,edison,2,unknown,,320,,,388,17,0,2,0,290,11,0,1,0,2020-11-04T10:44:07Z,91.15479,R+91,Cornyn +91,republican,texas,2020-11-10T20:55:22.941881Z
48035,Bosque,9006,6473,11,12,Released as a precinct as first report of the night,97,9256,97%,97% reported,edison,2,unknown,,4229,,,7341,1483,121,60,1,5228,1130,77,38,0,2020-11-04T10:44:07Z,65.04553,R+65,Cornyn +65,republican,texas,2020-11-10T20:55:22.941881Z
48037,Bowie,37858,29818,36,43,Released as a precinct as first report of the night,91,41804,91%,91% reported,edison,4,all,,32487,,,26848,10344,471,142,53,20577,8772,336,96,37,2020-11-04T10:44:08Z,43.59448,R+44,Cornyn +44,republican,texas,2020-11-10T20:55:22.941881Z
48039,Brazoria,152437,138192,65,67,Released as a precinct as first report of the night,100,149605,>98%,>98% reported,edison,2,some,,131649,,,90214,58334,3009,875,5,81451,53556,2447,734,4,2020-11-04T10:44:09Z,20.91356,R+21,Cornyn +21,republican,texas,2020-11-10T20:55:22.941881Z
48041,Brazos,83974,71230,95,99,Released as a precinct as first report of the night,99,84753,>98%,>98% reported,edison,6,all,,57474,,,49271,32005,2239,459,0,41430,27828,1635,337,0,2020-11-04T10:44:09Z,20.56113,R+21,Cornyn +21,republican,texas,2020-11-10T20:55:22.941881Z
48043,Brewster,4761,3947,8,9,Released as a precinct as first report of the night,99,4805,>98%,>98% reported,edison,6,unknown,,4467,,,2447,2160,113,35,6,1986,1858,77,24,2,2020-11-04T10:44:09Z,6.02815,R+6,Cornyn +6,republican,texas,2020-11-10T20:55:22.941881Z
48045,Briscoe,714,448,4,6,Released as a precinct as first report of the night,75,957,75%,75% reported,edison,2,unknown,,503,,,625,78,6,5,0,392,52,2,2,0,2020-11-04T10:44:10Z,76.61064,R+77,Cornyn +77,republican,texas,2020-11-10T20:55:22.941881Z
48047,Brooks,2356,1745,4,6,Released as a precinct as first report of the night,70,3375,70%,70% reported,edison,2,unknown,,1853,,,859,1425,39,33,0,566,1130,31,18,0,2020-11-04T10:44:10Z,24.02377,D+24,Hegar +24,democrat,texas,2020-11-10T20:55:22.941881Z
48049,Brown,15732,12376,16,19,Released as a precinct as first report of the night,95,16564,95%,95% reported,edison,2,some,,14372,,,13465,1960,249,58,0,10582,1577,174,43,0,2020-11-04T10:44:10Z,73.1312,R+73,Cornyn +73,republican,texas,2020-11-10T20:55:22.941881Z
48051,Burleson,8485,6592,13,14,Released as a precinct as first report of the night,100,8219,>98%,>98% reported,edison,2,unknown,,5572,,,6593,1708,142,42,0,5076,1393,97,26,0,2020-11-04T10:44:11Z,57.57219,R+58,Cornyn +58,republican,texas,2020-11-10T20:55:22.941881Z
48053,Burnet,24468,20701,21,21,Released as a precinct as first report of the night,100,23708,>98%,>98% reported,edison,2,unknown,,17630,,,18642,5299,436,91,0,15666,4659,318,58,0,2020-11-04T10:44:11Z,54.53245,R+55,Cornyn +55,republican,texas,2020-11-10T20:55:22.941881Z
48055,Caldwell,14682,12256,30,32,Released as a precinct as first report of the night,100,14280,>98%,>98% reported,edison,2,unknown,,10580,,,7975,6325,270,100,12,6604,5369,199,76,8,2020-11-04T10:44:11Z,11.23825,R+11,Cornyn +11,republican,texas,2020-11-10T20:55:22.941881Z
48057,Calhoun,7741,5621,22,26,Released as a precinct as first report of the night,94,8225,94%,94% reported,edison,2,unknown,,5674,,,5530,2089,100,22,0,3847,1701,61,12,0,2020-11-04T10:44:12Z,44.45162,R+44,Cornyn +44,republican,texas,2020-11-10T20:55:22.941881Z
48059,Callahan,6711,5411,7,8,Released as a precinct as first report of the night,100,6589,>98%,>98% reported,edison,2,unknown,,4184,,,5886,680,106,39,0,4745,564,77,25,0,2020-11-04T10:44:13Z,77.57413,R+78,Cornyn +78,republican,texas,2020-11-10T20:55:22.941881Z
48061,Cameron,110743,93582,96,104,Released as a precinct as first report of the night,93,119703,93%,93% reported,edison,4,some,,71585,,,46289,61202,1789,1427,36,38954,52212,1361,1031,24,2020-11-04T10:48:07Z,13.46631,D+13,Hegar +13,democrat,texas,2020-11-10T20:55:22.941881Z
48063,Camp,5034,4279,4,5,Released as a precinct as first report of the night,94,5364,94%,94% reported,edison,2,unknown,,4295,,,3597,1357,57,22,1,3106,1123,36,14,0,2020-11-04T10:44:13Z,44.49742,R+44,Cornyn +44,republican,texas,2020-11-10T20:55:22.941881Z
48065,Carson,3074,1892,7,9,Released as a precinct as first report of the night,84,3659,84%,84% reported,edison,2,unknown,,1767,,,2725,278,63,5,3,1657,204,28,1,2,2020-11-04T10:44:14Z,79.60312,R+80,Cornyn +80,republican,texas,2020-11-10T20:55:22.941881Z
48067,Cass,13606,10581,16,19,Released as a precinct as first report of the night,93,14577,93%,93% reported,edison,2,unknown,,8478,,,10746,2655,153,52,0,8294,2154,99,34,0,2020-11-04T10:44:14Z,59.46641,R+59,Cornyn +59,republican,texas,2020-11-10T20:55:22.941881Z
48069,Castro,2040,1103,7,9,Released as a precinct as first report of the night,74,2755,74%,74% reported,edison,2,unknown,,1417,,,1571,432,24,13,0,845,244,8,6,0,2020-11-04T10:44:15Z,55.83333,R+56,Cornyn +56,republican,texas,2020-11-10T20:55:22.941881Z
