fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_sullivand,results_grossa,results_howej,results_write_ins,results_absentee_sullivand,results_absentee_grossa,results_absentee_howej,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
02901,ED 1,4252,956,5,9,Released as a separate subtotal as first report of the night,56,7634,56%,56% reported,edison,2,unknown,,4000,,,2323,1699,230,0,387,540,29,0,2020-11-04T10:43:44Z,14.67545,R+15,Sullivan +15,republican,alaska,2020-11-10T20:54:15.377237Z
02910,ED 10,4868,1365,5,11,Released as a separate subtotal as first report of the night,47,10396,47%,47% reported,edison,2,unknown,,4000,,,3711,906,251,0,1041,293,31,0,2020-11-04T10:43:51Z,57.6212,R+58,Sullivan +58,republican,alaska,2020-11-10T20:54:15.377237Z
02911,ED 11,5194,2433,4,9,Released as a separate subtotal as first report of the night,47,11142,47%,47% reported,edison,2,unknown,,4000,,,3712,1254,228,0,1566,783,84,0,2020-11-04T10:43:52Z,47.32384,R+47,Sullivan +47,republican,alaska,2020-11-10T20:54:15.377237Z
02912,ED 12,2314,1366,1,7,Released as a separate subtotal as first report of the night,21,10974,21%,21% reported,edison,2,unknown,,4000,,,1762,478,74,0,978,353,35,0,2020-11-04T10:43:52Z,55.48833,R+55,Sullivan +55,republican,alaska,2020-11-10T20:54:15.377237Z
02913,ED 13,3228,280,3,6,Released as a separate subtotal as first report of the night,43,7513,43%,43% reported,edison,2,unknown,,4000,,,2321,731,176,0,149,125,6,0,2020-11-04T10:43:53Z,49.25651,R+49,Sullivan +49,republican,alaska,2020-11-10T20:54:15.377237Z
02914,ED 14,4075,0,2,7,Released as a separate subtotal as first report of the night,34,11983,34%,34% reported,edison,2,unknown,,4000,,,3051,833,191,0,0,0,0,0,2020-11-04T10:43:53Z,54.42945,R+54,Sullivan +54,republican,alaska,2020-11-10T20:54:15.377237Z
02915,ED 15,2195,480,2,5,Released as a separate subtotal as first report of the night,38,5729,38%,38% reported,edison,2,unknown,,4000,,,1201,865,129,0,226,242,12,0,2020-11-04T10:43:54Z,15.30752,R+15,Sullivan +15,republican,alaska,2020-11-10T20:54:15.377237Z
02916,ED 16,3054,222,2,7,Released as a separate subtotal as first report of the night,36,8551,36%,36% reported,edison,2,unknown,,4000,,,1714,1167,173,0,51,164,7,0,2020-11-04T10:43:54Z,17.91094,R+18,Sullivan +18,republican,alaska,2020-11-10T20:54:15.377237Z
02917,ED 17,2488,755,2,7,Released as a separate subtotal as first report of the night,32,7806,32%,32% reported,edison,2,unknown,,4000,,,1195,1162,131,0,277,460,18,0,2020-11-04T10:43:56Z,1.32637,R+1.3,Sullivan +1.3,republican,alaska,2020-11-10T20:54:15.377237Z
02918,ED 18,2957,1213,3,10,Released as a separate subtotal as first report of the night,35,8512,35%,35% reported,edison,2,unknown,,4000,,,1291,1550,116,0,425,765,23,0,2020-11-04T10:43:57Z,8.75888,D+9,Gross +9,democrat,alaska,2020-11-10T20:54:15.377237Z
