fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_rischj,results_jordanp,results_flemingn,results_writzr,results_absentee_rischj,results_absentee_jordanp,results_absentee_flemingn,results_absentee_writzr,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
16001,Ada,258014,178312,154,154,Merged into voters' home precincts and released with cumulative results,99,259377,>98%,>98% reported,edison,6,all,,80688,,,130446,118718,6940,1910,77874,95560,3949,929,2020-11-04T10:43:49Z,4.54549,R+5,Risch +5,republican,idaho,2020-11-10T20:54:27.151387Z
16003,Adams,1561,0,4,7,"As a precinct in the FIRST cumulative report, along with regular precincts",59,2650,59%,59% reported,edison,2,none,,936,,,828,625,62,46,0,0,0,0,2020-11-04T10:43:50Z,13.00448,R+13,Risch +13,republican,idaho,2020-11-10T20:54:27.151387Z
16005,Bannock,39413,0,54,54,Released as a precinct as first report of the night,100,36555,>98%,>98% reported,edison,6,all,,14147,,,22048,15472,1433,460,0,0,0,0,2020-11-04T10:43:51Z,16.68485,R+17,Risch +17,republican,idaho,2020-11-10T20:54:27.151387Z
16007,Bear Lake,3311,0,15,15,Merged into voters' home precincts and released with cumulative results,100,3279,>98%,>98% reported,edison,2,unknown,,670,,,2801,355,91,64,0,0,0,0,2020-11-04T10:43:51Z,73.87496,R+74,Risch +74,republican,idaho,2020-11-10T20:54:27.151387Z
16009,Benewah,4873,0,11,11,Merged into voters' home precincts and released with cumulative results,96,5080,96%,96% reported,edison,2,unknown,,1083,,,3584,1081,103,105,0,0,0,0,2020-11-04T10:43:51Z,51.36466,R+51,Risch +51,republican,idaho,2020-11-10T20:54:27.151387Z
16011,Bingham,19835,8716,29,29,Released as a precinct as first report of the night,99,20094,>98%,>98% reported,edison,6,all,,6344,,,14644,4313,625,253,6001,2423,203,89,2020-11-04T10:43:52Z,52.0847,R+52,Risch +52,republican,idaho,2020-11-10T20:54:27.151387Z
16013,Blaine,13306,11699,16,16,Released as a precinct as first report of the night,100,13239,>98%,>98% reported,edison,4,all,,5939,,,4225,8739,288,54,3798,7587,264,50,2020-11-04T10:43:52Z,33.92455,D+34,Jordan +34,democrat,idaho,2020-11-10T20:54:27.151387Z
16015,Boise,4811,0,6,6,Released as a precinct at the end of tabulation,100,4706,>98%,>98% reported,edison,2,unknown,,1222,,,3333,1257,128,93,0,0,0,0,2020-11-04T10:43:53Z,43.15111,R+43,Risch +43,republican,idaho,2020-11-10T20:54:27.151387Z
16017,Bonner,27021,14422,32,32,Merged into voters' home precincts and released with cumulative results,100,27021,>98%,>98% reported,edison,6,all,,7483,,,17964,8079,601,377,7770,6249,256,147,2020-11-04T11:01:50Z,36.58266,R+37,Risch +37,republican,idaho,2020-11-10T20:54:27.151387Z
16019,Bonneville,53028,28030,51,51,"As a precinct in the FIRST cumulative report, along with regular precincts",100,49517,>98%,>98% reported,edison,2,none,,14317,,,36490,13913,1972,653,17353,9557,867,253,2020-11-04T10:43:54Z,42.57562,R+43,Risch +43,republican,idaho,2020-11-10T20:54:27.151387Z
16021,Boundary,6258,0,7,7,Released with cumulative results periodically election night,100,6266,>98%,>98% reported,edison,2,none,,2026,,,4800,1212,131,115,0,0,0,0,2020-11-04T10:43:54Z,57.33461,R+57,Risch +57,republican,idaho,2020-11-10T20:54:27.151387Z
16023,Butte,1410,0,4,4,Merged into voters' home precincts and released with cumulative results,92,1528,92%,92% reported,edison,2,unknown,,339,,,1120,222,39,29,0,0,0,0,2020-11-04T10:43:55Z,63.68794,R+64,Risch +64,republican,idaho,2020-11-10T20:54:27.151387Z
16025,Camas,675,0,2,2,Merged into voters' home precincts and released with cumulative results,93,729,93%,93% reported,edison,2,unknown,,150,,,488,156,17,14,0,0,0,0,2020-11-06T14:57:10Z,49.18519,R+49,Risch +49,republican,idaho,2020-11-10T20:54:27.151387Z
16027,Canyon,89597,63705,64,64,Merged into voters' home precincts and released with cumulative results,99,90438,>98%,>98% reported,edison,6,all,,24616,,,59060,26603,2550,1384,40796,20582,1545,782,2020-11-04T10:43:57Z,36.22554,R+36,Risch +36,republican,idaho,2020-11-10T20:54:27.151387Z
16029,Caribou,3196,0,8,9,"As a precinct in the FIRST cumulative report, along with regular precincts",94,3399,94%,94% reported,edison,2,unknown,,702,,,2603,442,97,54,0,0,0,0,2020-11-04T10:43:58Z,67.61577,R+68,Risch +68,republican,idaho,2020-11-10T20:54:27.151387Z
16031,Cassia,9586,4140,24,24,Merged into voters' home precincts and released with cumulative results,94,10188,94%,94% reported,edison,2,none,,1930,,,7564,1508,322,192,3079,867,130,64,2020-11-04T10:43:59Z,63.17546,R+63,Risch +63,republican,idaho,2020-11-10T20:54:27.151387Z
16033,Clark,311,0,3,3,Merged into voters' home precincts and released with cumulative results,92,337,92%,92% reported,edison,2,none,,106,,,254,42,12,3,0,0,0,0,2020-11-04T10:43:59Z,68.1672,R+68,Risch +68,republican,idaho,2020-11-10T20:54:27.151387Z
16035,Clearwater,4379,0,15,15,Released as a precinct in the middle of the night,95,4615,95%,95% reported,edison,2,unknown,,1067,,,3357,883,104,35,0,0,0,0,2020-11-04T10:44:00Z,56.49692,R+56,Risch +56,republican,idaho,2020-11-10T20:54:27.151387Z
16037,Custer,2698,0,10,10,Released as a separate subtotal at the end of tabulation,92,2930,92%,92% reported,edison,2,unknown,,853,,,1978,593,74,53,0,0,0,0,2020-11-04T10:44:00Z,51.33432,R+51,Risch +51,republican,idaho,2020-11-10T20:54:27.151387Z
