fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_cheneyl,results_grey_bulll,results_brubakerr,results_haggitj,results_absentee_cheneyl,results_absentee_grey_bulll,results_absentee_brubakerr,results_absentee_haggitj,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
56001,Albany,18195,0,13,14,Released as a separate subtotal as first report of the night,100,6586,>98%,>98% reported,edison,6,unknown,7554,8626,8440,737,392,0,0,0,0,2020-11-04T10:43:28Z,1.02226,R+1.0,Cheney +1.0,republican,WY-G-H-1-2020-11-03,wy-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wyoming-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wyoming.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-wyoming.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,solid-rep,1,At-Large,WY,wyoming,Wyoming,Wyo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",270181,44835,6,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,433,483,90% reporting,90%,93,290000,edison,93%,93% reported,edison,republican,FALSE,2020-11-06T02:43:59Z,TRUE,44.06898,119066,R+44,Cheney +44,republican,"","",0,0,1604455373884
56003,Big Horn,5634,0,12,13,Merged into voters' home precincts and released with cumulative results,99,5691,>98%,>98% reported,edison,2,some,1650,4587,724,143,180,0,0,0,0,2020-11-04T10:43:28Z,68.56585,R+69,Cheney +69,republican,WY-G-H-1-2020-11-03,wy-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wyoming-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wyoming.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-wyoming.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,solid-rep,1,At-Large,WY,wyoming,Wyoming,Wyo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",270181,44835,6,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,433,483,90% reporting,90%,93,290000,edison,93%,93% reported,edison,republican,FALSE,2020-11-06T02:43:59Z,TRUE,44.06898,119066,R+44,Cheney +44,republican,"","",0,0,1604455373884
56005,Campbell,18872,18872,14,37,Merged into voters' home precincts and released with cumulative results,100,18872,>98%,>98% reported,edison,6,all,8522,15730,1713,735,694,15730,1713,735,694,2020-11-04T10:43:28Z,74.27406,R+74,Cheney +74,republican,WY-G-H-1-2020-11-03,wy-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wyoming-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wyoming.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-wyoming.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,solid-rep,1,At-Large,WY,wyoming,Wyoming,Wyo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",270181,44835,6,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,433,483,90% reporting,90%,93,290000,edison,93%,93% reported,edison,republican,FALSE,2020-11-06T02:43:59Z,TRUE,44.06898,119066,R+44,Cheney +44,republican,"","",0,0,1604455373884
56007,Carbon,6496,2797,17,19,Merged into voters' home precincts and released with cumulative results,94,6944,94%,94% reported,edison,2,some,2373,4642,1337,313,204,1741,879,110,67,2020-11-04T10:43:29Z,50.87746,R+51,Cheney +51,republican,WY-G-H-1-2020-11-03,wy-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wyoming-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wyoming.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-wyoming.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,solid-rep,1,At-Large,WY,wyoming,Wyoming,Wyo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",270181,44835,6,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,433,483,90% reporting,90%,93,290000,edison,93%,93% reported,edison,republican,FALSE,2020-11-06T02:43:59Z,TRUE,44.06898,119066,R+44,Cheney +44,republican,"","",0,0,1604455373884
56009,Converse,6749,0,17,19,Merged into voters' home precincts and released with cumulative results,92,7338,92%,92% reported,edison,2,some,2742,5417,785,254,293,0,0,0,0,2020-11-04T10:43:29Z,68.63239,R+69,Cheney +69,republican,WY-G-H-1-2020-11-03,wy-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wyoming-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wyoming.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-wyoming.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,solid-rep,1,At-Large,WY,wyoming,Wyoming,Wyo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",270181,44835,6,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,433,483,90% reporting,90%,93,290000,edison,93%,93% reported,edison,republican,FALSE,2020-11-06T02:43:59Z,TRUE,44.06898,119066,R+44,Cheney +44,republican,"","",0,0,1604455373884
56011,Crook,4037,0,16,17,Merged into voters' home precincts and released with cumulative results,96,4227,96%,96% reported,edison,2,some,1090,3442,337,117,141,0,0,0,0,2020-11-04T10:43:30Z,76.91355,R+77,Cheney +77,republican,WY-G-H-1-2020-11-03,wy-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wyoming-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wyoming.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-wyoming.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,solid-rep,1,At-Large,WY,wyoming,Wyoming,Wyo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",270181,44835,6,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,433,483,90% reporting,90%,93,290000,edison,93%,93% reported,edison,republican,FALSE,2020-11-06T02:43:59Z,TRUE,44.06898,119066,R+44,Cheney +44,republican,"","",0,0,1604455373884
56013,Fremont,17778,0,31,33,Merged into voters' home precincts and released with cumulative results,96,18528,96%,96% reported,edison,2,unknown,5466,11505,5227,711,335,0,0,0,0,2020-11-04T10:43:30Z,35.31331,R+35,Cheney +35,republican,WY-G-H-1-2020-11-03,wy-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wyoming-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wyoming.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-wyoming.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,solid-rep,1,At-Large,WY,wyoming,Wyoming,Wyo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",270181,44835,6,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,433,483,90% reporting,90%,93,290000,edison,93%,93% reported,edison,republican,FALSE,2020-11-06T02:43:59Z,TRUE,44.06898,119066,R+44,Cheney +44,republican,"","",0,0,1604455373884
56015,Goshen,6128,0,24,25,Merged into voters' home precincts and released with cumulative results,96,6393,96%,96% reported,edison,2,unknown,1994,4722,1037,159,210,0,0,0,0,2020-11-04T10:43:31Z,60.13381,R+60,Cheney +60,republican,WY-G-H-1-2020-11-03,wy-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wyoming-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wyoming.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-wyoming.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,solid-rep,1,At-Large,WY,wyoming,Wyoming,Wyo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",270181,44835,6,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,433,483,90% reporting,90%,93,290000,edison,93%,93% reported,edison,republican,FALSE,2020-11-06T02:43:59Z,TRUE,44.06898,119066,R+44,Cheney +44,republican,"","",0,0,1604455373884
56017,Hot Springs,2520,0,3,4,Merged into voters' home precincts and released with cumulative results,89,2839,89%,89% reported,edison,2,unknown,862,1915,424,105,76,0,0,0,0,2020-11-04T10:43:32Z,59.16667,R+59,Cheney +59,republican,WY-G-H-1-2020-11-03,wy-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wyoming-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wyoming.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-wyoming.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,solid-rep,1,At-Large,WY,wyoming,Wyoming,Wyo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",270181,44835,6,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,433,483,90% reporting,90%,93,290000,edison,93%,93% reported,edison,republican,FALSE,2020-11-06T02:43:59Z,TRUE,44.06898,119066,R+44,Cheney +44,republican,"","",0,0,1604455373884
56019,Johnson,4800,0,16,16,Merged into voters' home precincts and released with cumulative results,99,4871,>98%,>98% reported,edison,2,some,1765,3715,792,186,107,0,0,0,0,2020-11-04T10:43:32Z,60.89583,R+61,Cheney +61,republican,WY-G-H-1-2020-11-03,wy-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wyoming-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wyoming.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-wyoming.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,solid-rep,1,At-Large,WY,wyoming,Wyoming,Wyo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",270181,44835,6,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,433,483,90% reporting,90%,93,290000,edison,93%,93% reported,edison,republican,FALSE,2020-11-06T02:43:59Z,TRUE,44.06898,119066,R+44,Cheney +44,republican,"","",0,0,1604455373884
