fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_burgessm,results_iannuzzic,results_bolerm,results_absentee_burgessm,results_absentee_iannuzzic,results_absentee_bolerm,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
48113,Dallas,237,222,1,1,Released as a precinct as first report of the night,100,233,>98%,>98% reported,edison,4,all,739551,126,109,2,118,103,1,2020-11-10T17:45:42Z,7.173,R+7,Burgess +7,republican,TX-G-H-26-2020-11-03,tx-house-general-district-026-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-26.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 26,U.S. House,H,solid-rep,26,District 26,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",430821,394282,3,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,230,233,99% reporting,99%,99,412000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-10T00:59:50Z,TRUE,23.3763,100710,R+23,Burgess +23,republican,"","",1,0,1604456085298
48121,Denton,346337,318525,157,157,Released as a precinct as first report of the night,100,346337,>98%,>98% reported,edison,6,all,280830,206015,133110,7212,188470,124053,6002,2020-11-04T10:43:28Z,21.05031,R+21,Burgess +21,republican,TX-G-H-26-2020-11-03,tx-house-general-district-026-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-26.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 26,U.S. House,H,solid-rep,26,District 26,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",430821,394282,3,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,230,233,99% reporting,99%,99,412000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-10T00:59:50Z,TRUE,23.3763,100710,R+23,Burgess +23,republican,"","",1,0,1604456085298
48439,Tarrant,84247,75535,72,75,Released as a precinct as first report of the night,96,88115,96%,96% reported,edison,4,all,685898,55022,27234,1991,48954,24984,1597,2020-11-10T01:53:27Z,32.98396,R+33,Burgess +33,republican,TX-G-H-26-2020-11-03,tx-house-general-district-026-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-26.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 26,U.S. House,H,solid-rep,26,District 26,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",430821,394282,3,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,230,233,99% reporting,99%,99,412000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-10T00:59:50Z,TRUE,23.3763,100710,R+23,Burgess +23,republican,"","",1,0,1604456085298
