fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_johnsond,results_luallinr,results_absentee_johnsond,results_absentee_luallinr,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
46023,Charles Mix,3624,0,13,13,Merged into voters' home precincts and released with cumulative results,100,3525,>98%,>98% reported,edison,2,unknown,1029,2921,703,0,0,2020-11-05T15:01:43Z,61.20309,R+61,Johnson +61,republican,SD-G-H-1-2020-11-03,sd-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-south-dakota-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-south-dakota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-south-dakota.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,solid-rep,1,At-Large,SD,south-dakota,South Dakota,S.D.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",397752,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,689,693,99% reporting,99%,99,371000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-06T21:20:38Z,TRUE,61.91144,246254,R+62,Johnson +62,republican,"","",0,0,1604456855206
46025,Clark,1793,0,12,12,Merged into voters' home precincts and released with cumulative results,100,1720,>98%,>98% reported,edison,2,unknown,539,1571,222,0,0,2020-11-04T10:43:52Z,75.23703,R+75,Johnson +75,republican,SD-G-H-1-2020-11-03,sd-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-south-dakota-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-south-dakota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-south-dakota.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,solid-rep,1,At-Large,SD,south-dakota,South Dakota,S.D.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",397752,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,689,693,99% reporting,99%,99,371000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-06T21:20:38Z,TRUE,61.91144,246254,R+62,Johnson +62,republican,"","",0,0,1604456855206
46027,Clay,5128,0,7,7,Merged into voters' home precincts and released with cumulative results,100,4753,>98%,>98% reported,edison,6,all,2845,3750,1378,0,0,2020-11-05T14:35:43Z,46.25585,R+46,Johnson +46,republican,SD-G-H-1-2020-11-03,sd-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-south-dakota-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-south-dakota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-south-dakota.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,solid-rep,1,At-Large,SD,south-dakota,South Dakota,S.D.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",397752,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,689,693,99% reporting,99%,99,371000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-06T21:20:38Z,TRUE,61.91144,246254,R+62,Johnson +62,republican,"","",0,0,1604456855206
46029,Codington,12566,0,24,24,Merged into voters' home precincts and released with cumulative results,100,12566,>98%,>98% reported,edison,6,unknown,7499,10685,1881,0,0,2020-11-04T10:43:53Z,70.06207,R+70,Johnson +70,republican,SD-G-H-1-2020-11-03,sd-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-south-dakota-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-south-dakota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-south-dakota.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,solid-rep,1,At-Large,SD,south-dakota,South Dakota,S.D.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",397752,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,689,693,99% reporting,99%,99,371000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-06T21:20:38Z,TRUE,61.91144,246254,R+62,Johnson +62,republican,"","",0,0,1604456855206
46031,Corson,1120,0,13,14,Merged into voters' home precincts and released with cumulative results,94,1194,94%,94% reported,edison,2,unknown,179,755,365,0,0,2020-11-04T10:43:53Z,34.82143,R+35,Johnson +35,republican,SD-G-H-1-2020-11-03,sd-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-south-dakota-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-south-dakota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-south-dakota.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,solid-rep,1,At-Large,SD,south-dakota,South Dakota,S.D.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",397752,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,689,693,99% reporting,99%,99,371000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-06T21:20:38Z,TRUE,61.91144,246254,R+62,Johnson +62,republican,"","",0,0,1604456855206
46033,Custer,5238,0,10,10,Merged into voters' home precincts and released with cumulative results,100,4670,>98%,>98% reported,edison,2,unknown,2883,4336,902,0,0,2020-11-04T23:05:50Z,65.55937,R+66,Johnson +66,republican,SD-G-H-1-2020-11-03,sd-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-south-dakota-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-south-dakota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-south-dakota.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,solid-rep,1,At-Large,SD,south-dakota,South Dakota,S.D.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",397752,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,689,693,99% reporting,99%,99,371000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-06T21:20:38Z,TRUE,61.91144,246254,R+62,Johnson +62,republican,"","",0,0,1604456855206
46035,Davison,8170,0,7,7,Merged into voters' home precincts and released with cumulative results,100,8169,>98%,>98% reported,edison,6,all,4008,7101,1069,0,0,2020-11-04T20:06:01Z,73.83109,R+74,Johnson +74,republican,SD-G-H-1-2020-11-03,sd-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-south-dakota-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-south-dakota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-south-dakota.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,solid-rep,1,At-Large,SD,south-dakota,South Dakota,S.D.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",397752,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,689,693,99% reporting,99%,99,371000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-06T21:20:38Z,TRUE,61.91144,246254,R+62,Johnson +62,republican,"","",0,0,1604456855206
46037,Day,2831,0,14,14,Merged into voters' home precincts and released with cumulative results,100,2805,>98%,>98% reported,edison,2,unknown,2443,2346,485,0,0,2020-11-04T10:43:54Z,65.73649,R+66,Johnson +66,republican,SD-G-H-1-2020-11-03,sd-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-south-dakota-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-south-dakota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-south-dakota.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,solid-rep,1,At-Large,SD,south-dakota,South Dakota,S.D.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",397752,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,689,693,99% reporting,99%,99,371000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-06T21:20:38Z,TRUE,61.91144,246254,R+62,Johnson +62,republican,"","",0,0,1604456855206
46039,Deuel,2299,0,10,10,Merged into voters' home precincts and released with cumulative results,100,2153,>98%,>98% reported,edison,2,unknown,606,2005,294,0,0,2020-11-04T10:43:54Z,74.42366,R+74,Johnson +74,republican,SD-G-H-1-2020-11-03,sd-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-south-dakota-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-south-dakota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-south-dakota.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,solid-rep,1,At-Large,SD,south-dakota,South Dakota,S.D.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",397752,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,689,693,99% reporting,99%,99,371000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-06T21:20:38Z,TRUE,61.91144,246254,R+62,Johnson +62,republican,"","",0,0,1604456855206
46041,Dewey,1758,0,11,11,Merged into voters' home precincts and released with cumulative results,100,1736,>98%,>98% reported,edison,2,unknown,477,1065,693,0,0,2020-11-04T16:11:50Z,21.16041,R+21,Johnson +21,republican,SD-G-H-1-2020-11-03,sd-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-south-dakota-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-south-dakota.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-south-dakota.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,solid-rep,1,At-Large,SD,south-dakota,South Dakota,S.D.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",397752,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,689,693,99% reporting,99%,99,371000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-06T21:20:38Z,TRUE,61.91144,246254,R+62,Johnson +62,republican,"","",0,0,1604456855206
