fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_davidss,results_adkinsa,results_hohes,results_absentee_davidss,results_absentee_adkinsa,results_absentee_hohes,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
20091,Johnson,336125,0,513,513,Released as a separate subtotal as first report of the night,100,324898,>98%,>98% reported,edison,4,some,303283,174159,152914,9052,0,0,0,2020-11-06T23:38:20Z,6.32057,D+6,Davids +6,democrat,KS-G-H-3-2020-11-03,ks-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kansas-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kansas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kansas.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-dem,3,District 3,KS,kansas,Kansas,Kan.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",397886,36406,1,unknown,First polls close at 8 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,643,644,99% reporting,99%,99,387000,edison,>98%,>98% reported,edison,democrat,FALSE,2020-11-06T23:38:21Z,TRUE,9.66131,38441,D+10,Davids +10,democrat,"","",3,0,1604462250975
20121,Miami,7126,0,18,18,Other,100,6580,>98%,>98% reported,edison,4,unknown,12187,2124,4795,207,0,0,0,2020-11-05T23:13:26Z,37.48246,R+37,Adkins +37,republican,KS-G-H-3-2020-11-03,ks-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kansas-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kansas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kansas.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-dem,3,District 3,KS,kansas,Kansas,Kan.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",397886,36406,1,unknown,First polls close at 8 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,643,644,99% reporting,99%,99,387000,edison,>98%,>98% reported,edison,democrat,FALSE,2020-11-06T23:38:21Z,TRUE,9.66131,38441,D+10,Davids +10,democrat,"","",3,0,1604462250975
20209,Wyandotte,54635,36406,112,113,Merged into voters' home precincts and released with cumulative results,99,54945,>98%,>98% reported,edison,4,all,33906,36321,16454,1860,26622,8859,925,2020-11-04T23:08:21Z,36.36314,D+36,Davids +36,democrat,KS-G-H-3-2020-11-03,ks-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kansas-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kansas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kansas.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-dem,3,District 3,KS,kansas,Kansas,Kan.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",397886,36406,1,unknown,First polls close at 8 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,643,644,99% reporting,99%,99,387000,edison,>98%,>98% reported,edison,democrat,FALSE,2020-11-06T23:38:21Z,TRUE,9.66131,38441,D+10,Davids +10,democrat,"","",3,0,1604462250975
