fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_houlahanc,results_emmonsj,results_absentee_houlahanc,results_absentee_emmonsj,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
42011,Berks,87741,0,83,93,Other,89,98106,89%,89% reported,edison,4,unknown,10526,48791,38950,0,0,2020-11-04T22:52:50Z,11.21597,D+11,Houlahan +11,democrat,PA-G-H-6-2020-11-03,pa-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-pennsylvania.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-dem,6,District 6,PA,pennsylvania,Pennsylvania,Pa.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",393342,117302,1,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,308,323,95% reporting,95%,96,410000,edison,96%,96% reported,edison,democrat,FALSE,2020-11-05T04:05:16Z,TRUE,11.71042,46062,D+12,Houlahan +12,democrat,"","",3,0,1604521141706
42029,Chester,305601,117302,225,230,Merged into voters' home precincts and released with cumulative results,98,311808,98%,98% reported,edison,4,some,26734,170911,134690,91224,26078,2020-11-07T01:42:20Z,11.85238,D+12,Houlahan +12,democrat,PA-G-H-6-2020-11-03,pa-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-pennsylvania.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-dem,6,District 6,PA,pennsylvania,Pennsylvania,Pa.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",393342,117302,1,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,308,323,95% reporting,95%,96,410000,edison,96%,96% reported,edison,democrat,FALSE,2020-11-05T04:05:16Z,TRUE,11.71042,46062,D+12,Houlahan +12,democrat,"","",3,0,1604521141706
