fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_hawkinsh,results_write_ins,results_blankenshipd,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_write_ins,results_absentee_blankenshipd,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
29001,Adair,10337,0,11,12,"As a precinct in the FIRST cumulative report, along with regular precincts",100,10337,>98%,>98% reported,edison,6,all,,2792,,,6391,3705,157,42,29,13,0,0,0,0,0,0,2020-11-11T03:25:05Z,25.98433,R+26,Trump +26,republican,25.98433,10226,24.7,10126,14.14,missouri,2020-11-14T00:42:37.072005Z
29003,Andrew,9775,0,19,20,Released as a precinct in the middle of the night,100,9774,>98%,>98% reported,edison,6,all,,1074,,,7256,2351,120,19,22,7,0,0,0,0,0,0,2020-11-11T03:25:06Z,50.17903,R+50,Trump +50,republican,50.17903,9194,50.3,8306,33.81,missouri,2020-11-14T00:42:37.072005Z
29005,Atchison,2814,2814,6,6,None,100,2770,>98%,>98% reported,edison,6,unknown,,334,,,2199,564,47,3,,1,2199,564,47,3,,1,2020-11-11T03:25:10Z,58.10235,R+58,Trump +58,republican,58.10235,2730,55.6,2709,42.3,missouri,2020-11-14T00:42:37.072005Z
29007,Audrain,10660,0,15,16,Released as a precinct as first report of the night,100,10660,>98%,>98% reported,edison,6,all,,1222,,,7727,2703,175,27,16,12,0,0,0,0,0,0,2020-11-11T03:25:13Z,47.12946,R+47,Trump +47,republican,47.12946,10133,43.5,9952,26.6,missouri,2020-11-14T00:42:37.072005Z
29009,Barry,15598,0,17,17,"As a precinct in the FIRST cumulative report, along with regular precincts",100,15301,>98%,>98% reported,edison,2,unknown,,2301,,,12425,2948,180,27,,18,0,0,0,0,,0,2020-11-11T03:25:14Z,60.75779,R+61,Trump +61,republican,60.75779,14605,59.7,13806,44.65,missouri,2020-11-14T00:42:37.072005Z
29011,Barton,6077,1052,8,9,"As a precinct in the FIRST cumulative report, along with regular precincts",100,6077,>98%,>98% reported,edison,6,all,,813,,,5168,844,47,13,0,5,795,247,5,4,0,1,2020-11-11T03:25:17Z,71.15353,R+71,Trump +71,republican,71.15353,5939,70.1,5746,55.48,missouri,2020-11-14T00:42:37.072005Z
29013,Bates,8435,0,15,16,"As a precinct in the FIRST cumulative report, along with regular precincts",100,8414,>98%,>98% reported,edison,4,none,,1267,,,6595,1672,119,14,22,13,0,0,0,0,0,0,2020-11-11T03:25:19Z,58.36396,R+58,Trump +58,republican,58.36396,8083,54.2,7771,31.69,missouri,2020-11-14T00:42:37.072005Z
29015,Benton,10478,0,8,8,Released as a precinct as first report of the night,100,10047,>98%,>98% reported,edison,4,all,,2155,,,8106,2179,150,22,9,12,0,0,0,0,0,0,2020-11-11T03:25:20Z,56.56614,R+57,Trump +57,republican,56.56614,9590,54.1,9157,34.33,missouri,2020-11-14T00:42:37.072005Z
29017,Bollinger,5981,0,9,9,Released as a precinct as first report of the night,100,5981,>98%,>98% reported,edison,6,all,,626,,,5162,749,51,13,4,2,0,0,0,0,0,0,2020-11-11T03:25:21Z,73.78365,R+74,Trump +74,republican,73.78365,5676,72.6,5456,52.82,missouri,2020-11-14T00:42:37.072005Z
29019,Boone,91004,0,77,78,Merged into voters' home precincts and released with cumulative results,99,92255,>98%,>98% reported,edison,4,all,,9142,,,38596,49999,1957,312,,140,0,0,0,0,,0,2020-11-11T03:25:22Z,12.53022,D+13,Biden +13,democrat,-12.53022,83868,-5.9,79422,-3.08,missouri,2020-11-14T00:42:37.072005Z
29021,Buchanan,36713,0,22,24,Released as a precinct as first report of the night,95,38486,95%,95% reported,edison,2,some,,4203,,,22450,13445,529,127,115,47,0,0,0,0,0,0,2020-11-11T03:25:23Z,24.5281,R+25,Trump +25,republican,24.5281,35964,25.9,35106,8.73,missouri,2020-11-14T00:42:37.072005Z
29023,Butler,18165,0,25,26,Released as a precinct as first report of the night,100,18082,>98%,>98% reported,edison,4,none,,2331,,,14599,3301,187,41,29,8,0,0,0,0,0,0,2020-11-11T03:25:24Z,62.19653,R+62,Trump +62,republican,62.19653,17259,61.5,16889,46.69,missouri,2020-11-14T00:42:37.072005Z
29025,Caldwell,4696,0,11,11,None,100,4517,>98%,>98% reported,edison,2,unknown,,552,,,3725,897,50,7,14,3,0,0,0,0,0,0,2020-11-11T03:25:26Z,60.22147,R+60,Trump +60,republican,60.22147,4312,55.5,4167,33.81,missouri,2020-11-14T00:42:37.072005Z
