fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_write_ins,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
51175,Southampton,9786,4471,13,14,Merged into voters' home precincts AFTER election night,100,9719,>98%,>98% reported,edison,6,all,,598,,,3969,5730,87,,2341,2102,28,,2020-11-11T03:26:39Z,17.9951,R+18,Trump +18,republican,17.9951,8872,16.2,9264,3.2,virginia,2020-11-14T00:42:24.923202Z
51177,Spotsylvania,75212,48674,27,27,Released as a precinct in the middle of the night,100,65659,>98%,>98% reported,edison,4,unknown,,8867,,,34385,39506,1321,,26907,21092,675,,2020-11-12T15:30:53Z,6.80875,R+7,Trump +7,republican,6.80875,62549,16.7,57974,11.52,virginia,2020-11-14T00:42:24.923202Z
51179,Stafford,79257,49511,28,28,Released as a precinct in the middle of the night,100,78500,>98%,>98% reported,edison,4,some,,9001,,,40245,37636,1376,,30328,18509,674,,2020-11-11T03:26:39Z,3.29182,D+3,Biden +3,democrat,-3.29182,65934,9,60583,8.75,virginia,2020-11-14T00:42:24.923202Z
51790,Staunton,12990,8987,6,6,Released as a precinct at the end of tabulation,100,11812,>98%,>98% reported,edison,4,none,,1258,,,6981,5695,249,65,5813,3053,121,0,2020-11-12T04:11:17Z,9.89992,D+10,Biden +10,democrat,-9.89992,11255,-1.8,11210,-4.07,virginia,2020-11-14T00:42:24.923202Z
51800,Suffolk,49482,30739,27,28,Released as a precinct as first report of the night,97,51023,97%,97% reported,edison,2,unknown,,5506,,,28676,20082,724,,20922,9474,343,,2020-11-11T03:26:29Z,17.36793,D+17,Biden +17,democrat,-17.36793,43240,-12.2,42566,-15.15,virginia,2020-11-14T00:42:24.923202Z
51181,Surry,4462,2624,7,8,Merged into voters' home precincts and released with cumulative results,88,5079,88%,88% reported,edison,4,some,,4228,,,2397,2025,40,,1722,885,17,,2020-11-11T03:26:39Z,8.33707,D+8,Biden +8,democrat,-8.33707,4228,-10.7,4308,-21.01,virginia,2020-11-14T00:42:24.923202Z
51183,Sussex,5081,2286,10,12,None,79,6410,79%,79% reported,edison,4,unknown,,363,,,2827,2219,35,,1470,801,15,,2020-11-12T21:31:03Z,11.96615,D+12,Biden +12,democrat,-11.96615,5044,-16.3,5440,-24.58,virginia,2020-11-14T00:42:24.923202Z
51185,Tazewell,20095,9973,19,21,Released as a precinct at the end of tabulation,100,19906,>98%,>98% reported,edison,2,unknown,,1686,,,3205,16731,159,,2219,7682,72,,2020-11-11T03:26:40Z,67.31028,R+67,Trump +67,republican,67.31028,18566,66.1,17732,57.42,virginia,2020-11-14T00:42:24.923202Z
51810,Virginia Beach,227561,130244,101,101,Released as a precinct as first report of the night,89,255000,89%,89% reported,edison,4,all,,29739,,,117393,105087,4208,873,81003,47179,1665,397,2020-11-12T04:12:46Z,5.40778,D+5,Biden +5,democrat,-5.40778,203019,3.5,196641,2.54,virginia,2020-11-14T00:42:24.923202Z
51187,Warren,21037,11410,12,12,Other,100,18849,>98%,>98% reported,edison,2,unknown,,1693,,,6603,14069,365,,4959,6296,155,,2020-11-11T03:26:37Z,35.48985,R+35,Trump +35,republican,35.48985,17951,36.8,16698,20.46,virginia,2020-11-14T00:42:24.923202Z
51191,Washington,28684,15854,19,20,Released as a precinct in the middle of the night,100,27126,>98%,>98% reported,edison,4,some,,2689,,,6617,21678,304,85,5122,10595,137,0,2020-11-11T03:26:37Z,52.50662,R+53,Trump +53,republican,52.50662,25846,53.3,25632,43.17,virginia,2020-11-14T00:42:24.923202Z
51820,Waynesboro,10677,6763,5,5,Released as a precinct in the middle of the night,100,9660,>98%,>98% reported,edison,2,unknown,,708,,,4961,5507,209,,3799,2866,98,,2020-11-11T03:26:31Z,5.1138,R+5,Trump +5,republican,5.1138,9204,11.3,8791,10.81,virginia,2020-11-14T00:42:24.923202Z
51193,Westmoreland,9909,5241,9,9,Released with cumulative results periodically election night,100,8998,>98%,>98% reported,edison,2,unknown,,1118,,,4501,5318,90,,3086,2125,30,,2020-11-12T04:11:14Z,8.24503,R+8,Trump +8,republican,8.24503,8574,7.1,8120,-6.95,virginia,2020-11-14T00:42:24.923202Z
51830,Williamsburg,6845,5430,2,3,None,100,6797,>98%,>98% reported,edison,6,all,,961,,,4790,1963,92,,4035,1341,54,,2020-11-11T03:26:32Z,41.30022,D+41,Biden +41,democrat,-41.30022,7626,-43,7748,-28.67,virginia,2020-11-14T00:42:24.923202Z
51840,Winchester,12044,8025,7,7,None,100,11195,>98%,>98% reported,edison,4,none,,1269,,,6610,5221,213,,5093,2825,107,,2020-11-11T03:26:32Z,11.53271,D+12,Biden +12,democrat,-11.53271,10665,-3.5,10296,-1.44,virginia,2020-11-14T00:42:24.923202Z
51195,Wise,16584,9207,12,13,Released as a precinct in the middle of the night,100,16257,>98%,>98% reported,edison,4,all,,1328,,,3110,13366,108,,2172,6984,51,,2020-11-11T03:26:38Z,61.84274,R+62,Trump +62,republican,61.84274,15163,61.9,15018,48.71,virginia,2020-11-14T00:42:24.923202Z
51197,Wythe,15046,6109,11,12,None,100,14307,>98%,>98% reported,edison,2,unknown,,896,,,3143,11733,170,,2065,3982,62,,2020-11-11T03:26:38Z,57.09159,R+57,Trump +57,republican,57.09159,13328,54.6,12358,36.75,virginia,2020-11-14T00:42:24.923202Z
51199,York,38604,27930,13,14,Released as a precinct at the end of tabulation,100,38602,>98%,>98% reported,edison,2,none,,3644,,,17683,20241,680,,14654,12902,374,,2020-11-11T03:26:38Z,6.62626,R+7,Trump +7,republican,6.62626,34113,17.1,33953,20.68,virginia,2020-11-14T00:42:24.923202Z
