fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_westk,results_carrollb,results_simmonsj,results_blankenshipd,results_boddiep,results_hammonsb,results_hoeflingt,results_pierceb,results_la_rivag,results_kennedya,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_westk,results_absentee_carrollb,results_absentee_simmonsj,results_absentee_blankenshipd,results_absentee_boddiep,results_absentee_hammonsb,results_absentee_hoeflingt,results_absentee_pierceb,results_absentee_la_rivag,results_absentee_kennedya,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
22001,Acadia,28425,0,51,55,Released as a separate subtotal as first report of the night,93,30676,93%,93% reported,edison,2,unknown,,7053,,,22596,5443,241,45,25,18,16,12,8,8,6,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-11T03:26:28Z,60.34477,R+60,Trump +60,republican,60.34477,27389,56.7,26835,49.83,louisiana,2020-11-14T00:42:32.162960Z
22003,Allen,9810,0,27,29,Released as a separate subtotal as first report of the night,94,10424,94%,94% reported,edison,2,unknown,,2045,,,7574,2108,73,15,11,13,6,2,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-11T03:26:28Z,55.71865,R+56,Trump +56,republican,55.71865,9245,51.5,9307,41.67,louisiana,2020-11-14T00:42:32.162960Z
22005,Ascension,62325,0,74,74,Released as a separate subtotal as first report of the night,100,61239,>98%,>98% reported,edison,2,unknown,,14310,,,40687,20399,816,134,89,46,20,32,16,19,28,26,13,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-11T03:26:28Z,32.55195,R+33,Trump +33,republican,32.55195,54678,36,51073,34.28,louisiana,2020-11-14T00:42:32.162960Z
22007,Assumption,11235,0,26,28,Released as a separate subtotal as first report of the night,91,12311,91%,91% reported,edison,2,unknown,,1998,,,7271,3833,68,16,13,6,8,5,5,1,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-11T03:26:29Z,30.6008,R+31,Trump +31,republican,30.6008,10904,25.5,10992,12.09,louisiana,2020-11-14T00:42:32.162960Z
22009,Avoyelles,17292,0,46,49,Released as a separate subtotal as first report of the night,91,19076,91%,91% reported,edison,2,unknown,,3747,,,12028,4979,161,41,20,11,8,23,1,7,3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-11T03:26:29Z,40.76452,R+41,Trump +41,republican,40.76452,16586,37,17032,26.97,louisiana,2020-11-14T00:42:32.162960Z
22011,Beauregard,16357,0,39,40,Released as a separate subtotal as first report of the night,97,16887,97%,97% reported,edison,2,unknown,,5218,,,13575,2542,172,13,18,13,6,6,3,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-11T03:25:58Z,67.45124,R+67,Trump +67,republican,67.45124,15078,65.3,14225,58.24,louisiana,2020-11-14T00:42:32.162960Z
22013,Bienville,7050,0,30,33,Released as a separate subtotal as first report of the night,87,8067,87%,87% reported,edison,2,unknown,,1723,,,3891,3067,49,12,7,3,4,10,1,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-11T03:25:55Z,11.68794,R+12,Trump +12,republican,11.68794,7005,9,7203,2.1,louisiana,2020-11-14T00:42:32.162960Z
22015,Bossier,54655,0,80,82,Released as a separate subtotal as first report of the night,98,55830,98%,98% reported,edison,2,unknown,,13582,,,38074,15662,632,82,40,38,31,22,12,19,15,19,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-11T03:25:56Z,41.00631,R+41,Trump +41,republican,41.00631,49848,45.8,48562,45.37,louisiana,2020-11-14T00:42:32.162960Z
22017,Caddo,104912,0,134,151,Released as a separate subtotal as first report of the night,100,104699,>98%,>98% reported,edison,6,all,,19390,,,48021,55110,1021,290,122,98,38,50,37,27,33,37,28,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-11T03:25:57Z,6.75709,D+7,Biden +7,democrat,-6.75709,105804,-4.2,111765,-5,louisiana,2020-11-14T00:42:32.162960Z
22019,Calcasieu,82663,0,108,123,Released as a separate subtotal as first report of the night,88,93839,88%,88% reported,edison,2,unknown,,21757,,,55066,25982,1083,164,89,79,36,30,24,38,27,26,19,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-11T03:25:57Z,35.18382,R+35,Trump +35,republican,35.18382,83785,33.3,81726,28.74,louisiana,2020-11-14T00:42:32.162960Z
22021,Caldwell,4762,0,17,19,Released as a separate subtotal as first report of the night,90,5282,90%,90% reported,edison,2,unknown,,2117,,,3976,745,21,3,7,1,2,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-11T03:25:58Z,67.84964,R+68,Trump +68,republican,67.84964,4692,64.7,4716,55.64,louisiana,2020-11-14T00:42:32.162960Z
22023,Cameron,4039,0,14,14,Released as a separate subtotal as first report of the night,96,4193,96%,96% reported,edison,2,unknown,,1277,,,3671,324,23,5,2,6,0,1,2,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-11T03:25:50Z,82.86705,R+83,Trump +83,republican,82.86705,3692,79.4,3744,76.18,louisiana,2020-11-14T00:42:32.162960Z
22025,Catahoula,4858,0,22,25,Released as a separate subtotal as first report of the night,89,5439,89%,89% reported,edison,2,unknown,,1659,,,3541,1269,26,5,7,2,1,3,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-11T03:25:51Z,46.76822,R+47,Trump +47,republican,46.76822,4856,44.4,4193,31.86,louisiana,2020-11-14T00:42:32.162960Z
22027,Claiborne,6580,0,23,25,Released as a separate subtotal as first report of the night,87,7540,87%,87% reported,edison,2,unknown,,3258,,,3770,2731,29,12,9,6,4,8,0,2,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-11T03:25:52Z,15.79027,R+16,Trump +16,republican,15.79027,6421,13.5,6732,9.43,louisiana,2020-11-14T00:42:32.162960Z
22029,Concordia,8828,0,18,20,Released as a separate subtotal as first report of the night,84,10506,84%,84% reported,edison,2,unknown,,2875,,,5550,3177,64,5,14,1,5,3,2,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-11T03:25:53Z,26.88038,R+27,Trump +27,republican,26.88038,8872,24.9,9380,17.24,louisiana,2020-11-14T00:42:32.162960Z
22031,DeSoto,14736,0,36,37,Released as a separate subtotal as first report of the night,97,15120,97%,97% reported,edison,2,unknown,,4304,,,9112,5457,79,21,22,4,3,14,1,7,9,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-11T03:25:54Z,24.8032,R+25,Trump +25,republican,24.8032,13500,21.5,13051,13.79,louisiana,2020-11-14T00:42:32.162960Z
22033,East Baton Rouge,208182,0,311,329,Released as a separate subtotal as first report of the night,100,187700,>98%,>98% reported,edison,6,all,,54315,,,88420,115577,2440,619,329,219,76,103,84,82,77,111,45,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-11T03:25:54Z,13.04484,D+13,Biden +13,democrat,-13.04484,196491,-9.2,198171,-5.23,louisiana,2020-11-14T00:42:32.162960Z
22035,East Carroll,3036,0,16,17,Released as a separate subtotal as first report of the night,68,4489,68%,68% reported,edison,2,unknown,,1030,,,1080,1900,20,4,12,1,1,12,2,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-11T03:25:45Z,27.00922,D+27,Biden +27,democrat,-27.00922,2939,-26.5,4008,-24.2,louisiana,2020-11-14T00:42:32.162960Z
22037,East Feliciana,10509,0,22,24,Released as a separate subtotal as first report of the night,92,11434,92%,92% reported,edison,2,unknown,,3672,,,6064,4280,89,16,10,6,14,11,4,6,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-11T03:25:46Z,16.97593,R+17,Trump +17,republican,16.97593,10042,13.3,10209,7.34,louisiana,2020-11-14T00:42:32.162960Z
22039,Evangeline,15412,0,52,56,Released as a separate subtotal as first report of the night,87,17662,87%,87% reported,edison,2,unknown,,5072,,,11053,4158,96,22,22,11,5,19,4,5,5,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-11T03:25:47Z,44.73787,R+45,Trump +45,republican,44.73787,14882,41.3,15770,30.76,louisiana,2020-11-14T00:42:32.162960Z
22041,Franklin,9720,0,23,24,Released as a separate subtotal as first report of the night,93,10456,93%,93% reported,edison,2,unknown,,4117,,,6970,2658,45,8,10,6,3,7,1,0,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-11T03:25:47Z,44.36214,R+44,Trump +44,republican,44.36214,9162,43.7,9336,36.13,louisiana,2020-11-14T00:42:32.162960Z
