fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_hawkinsh,results_la_rivag,results_de_la_fuenter,results_write_ins,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_la_rivag,results_absentee_de_la_fuenter,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
06001,Alameda,767961,292999,521,521,"Released as first report, then NOT included in cumulative results",100,745863,>98%,>98% reported,edison,2,some,,533518,,,616180,135925,6276,4655,2531,2394,0,250884,37712,1745,1383,704,571,0,2020-11-13T01:20:59Z,62.53638,D+63,Biden +63,democrat,-62.53638,659543,-63.5,595642,-60.69,california,2020-11-14T00:42:42.061345Z
06003,Alpine,736,736,0,5,Other,100,738,>98%,>98% reported,edison,4,unknown,,1050,,,473,238,14,4,2,0,5,473,238,14,4,2,0,5,2020-11-11T03:26:35Z,31.92935,D+32,Biden +32,democrat,-31.92935,602,-19.4,653,-23.43,california,2020-11-14T00:42:42.061345Z
06005,Amador,22282,17773,30,30,Released as a separate subtotal as first report of the night,100,20217,>98%,>98% reported,edison,4,none,,17509,,,8147,13571,349,110,41,64,,7294,10068,248,84,29,50,,2020-11-11T03:26:36Z,24.34252,R+24,Trump +24,republican,24.34252,17963,24.9,17649,19.55,california,2020-11-14T00:42:42.061345Z
06007,Butte,99780,0,144,157,Released as a separate subtotal as first report of the night,92,108943,92%,92% reported,edison,2,unknown,,90845,,,49402,47568,1728,495,275,312,,0,0,0,0,0,0,,2020-11-11T03:25:53Z,1.83804,D+1.8,Biden +1.8,democrat,-1.83804,97002,3.7,90752,1.99,california,2020-11-14T00:42:42.061345Z
06009,Calaveras,26717,18851,29,29,Merged into voters' home precincts and released with cumulative results,100,26375,>98%,>98% reported,edison,4,some,,23685,,,9845,16287,352,120,44,69,,8168,10318,208,82,28,47,,2020-11-11T03:25:54Z,24.11199,R+24,Trump +24,republican,24.11199,23531,23.7,21786,16.96,california,2020-11-14T00:42:42.061345Z
06011,Colusa,7672,0,18,18,None,100,4235,>98%,>98% reported,edison,4,all,,5440,,,3114,4399,79,25,27,28,,0,0,0,0,0,0,,2020-11-11T03:26:00Z,16.74922,R+17,Trump +17,republican,16.74922,6697,13.3,6034,21.33,california,2020-11-14T00:42:42.061345Z
06013,Contra Costa,567882,313531,957,957,Released as a separate subtotal as first report of the night,100,531440,>98%,>98% reported,edison,4,all,,393525,,,407639,148623,5970,2551,1231,1868,,244659,63738,2639,1137,556,802,,2020-11-11T03:26:01Z,45.61088,D+46,Biden +46,democrat,-45.61088,473014,-43,438226,-35.21,california,2020-11-14T00:42:42.061345Z
06015,Del Norte,11403,0,18,18,Released as a separate subtotal as first report of the night,100,10896,>98%,>98% reported,edison,2,unknown,,8414,,,4656,6434,149,78,33,53,,0,0,0,0,0,0,,2020-11-11T03:26:01Z,15.59239,R+16,Trump +16,republican,15.59239,9558,17.3,8770,9.38,california,2020-11-14T00:42:42.061345Z
06017,El Dorado,114766,82522,202,202,Released as a separate subtotal as first report of the night,100,106694,>98%,>98% reported,edison,4,unknown,,102390,,,51157,60967,1854,453,106,229,,41456,39485,1075,296,68,142,,2020-11-11T03:26:02Z,8.54783,R+9,Trump +9,republican,8.54783,95149,13.5,88774,17.81,california,2020-11-14T00:42:42.061345Z
06019,Fresno,360021,231308,384,384,Merged into voters' home precincts and released with cumulative results,100,321844,>98%,>98% reported,edison,4,all,,227374,,,190403,162438,3963,1454,652,1111,,130464,96873,2133,903,375,560,,2020-11-13T23:36:46Z,7.7676,D+8,Biden +8,democrat,-7.7676,287062,-6,258827,-1.79,california,2020-11-14T00:42:42.061345Z
06021,Glenn,10890,5134,74,74,Released as a separate subtotal as first report of the night,100,10796,>98%,>98% reported,edison,4,unknown,,11067,,,3815,6854,120,32,32,37,,1963,3069,52,14,18,18,,2020-11-11T03:26:04Z,27.90634,R+28,Trump +28,republican,27.90634,9470,28.8,9211,25.31,california,2020-11-14T00:42:42.061345Z
06023,Humboldt,45961,37861,45,66,Released as a separate subtotal as first report of the night,68,67540,68%,68% reported,edison,2,some,,48283,,,31010,13756,565,329,160,141,,26616,10319,428,257,134,107,,2020-11-11T03:26:02Z,37.54052,D+38,Biden +38,democrat,-37.54052,60014,-24.7,57470,-27.2,california,2020-11-14T00:42:42.061345Z
06025,Imperial,45919,27661,218,218,Released separately AFTER election night,84,54824,84%,84% reported,edison,4,some,,31600,,,28644,16338,309,186,218,224,,18837,8298,161,99,130,136,,2020-11-13T02:35:46Z,26.79936,D+27,Biden +27,democrat,-26.79936,48091,-41.5,38565,-32.05,california,2020-11-14T00:42:42.061345Z
06027,Inyo,9460,5305,21,21,Merged into voters' home precincts and released with cumulative results,100,9218,>98%,>98% reported,edison,4,all,,8286,,,4623,4611,128,45,22,31,,3091,2097,67,26,7,17,,2020-11-13T20:35:43Z,0.12685,D+0.13,Biden +0.13,democrat,-0.12685,8179,13.4,8036,11.42,california,2020-11-14T00:42:42.061345Z
06029,Kern,272049,126942,678,694,Released as a separate subtotal as first report of the night,98,278346,98%,98% reported,edison,4,unknown,,202125,,,119832,145768,3510,971,912,1056,,66392,57804,1418,465,429,434,,2020-11-13T23:36:45Z,9.53358,R+10,Trump +10,republican,9.53358,244163,12.7,221472,16.76,california,2020-11-14T00:42:42.061345Z
06031,Kings,41933,32998,96,96,Released as a separate subtotal as first report of the night,100,38663,>98%,>98% reported,edison,4,unknown,,38870,,,17729,23169,575,120,165,175,,14079,18218,390,77,120,114,,2020-11-11T03:26:05Z,12.97308,R+13,Trump +13,republican,12.97308,34310,13,31418,14.93,california,2020-11-14T00:42:42.061345Z
06033,Lake,11038,0,28,70,Released as a separate subtotal as first report of the night,40,27936,40%,40% reported,edison,2,unknown,,23517,,,6874,3955,94,71,18,26,,0,0,0,0,0,0,,2020-11-11T03:26:05Z,26.44501,D+26,Biden +26,democrat,-26.44501,24684,-3.6,23391,-16.94,california,2020-11-14T00:42:42.061345Z
06035,Lassen,11779,0,56,57,Released as a separate subtotal as first report of the night,97,12138,97%,97% reported,edison,2,unknown,,12965,,,2772,8798,137,31,16,25,,0,0,0,0,0,0,,2020-11-11T03:26:06Z,51.15884,R+51,Trump +51,republican,51.15884,10699,50,10683,39.72,california,2020-11-14T00:42:42.061345Z
06037,Los Angeles,4188764,2857809,3383,3383,Released as a separate subtotal as first report of the night,100,3915111,>98%,>98% reported,edison,4,all,,1561325,,,2980478,1121538,34762,21184,15423,15379,,2090279,720484,19435,12001,8012,7598,,2020-11-13T23:01:03Z,44.3792,D+44,Biden +44,democrat,-44.3792,3434308,-49.3,3181067,-41.86,california,2020-11-14T00:42:42.061345Z
06039,Madera,52029,35718,72,72,Released as a separate subtotal as first report of the night,100,49148,>98%,>98% reported,edison,4,all,,39467,,,22438,28458,599,209,156,169,,16495,18520,372,131,86,114,,2020-11-11T03:26:08Z,11.57047,R+12,Trump +12,republican,11.57047,43507,14.5,39866,17.14,california,2020-11-14T00:42:42.061345Z
06041,Marin,151603,0,106,112,Other,95,158771,95%,95% reported,edison,2,unknown,,140974,,,125172,23662,1465,694,250,360,,0,0,0,0,0,0,,2020-11-12T02:35:55Z,66.95778,D+67,Biden +67,democrat,-66.95778,140683,-61.8,134516,-51.31,california,2020-11-14T00:42:42.061345Z
06043,Mariposa,10280,8259,25,25,Other,100,10229,>98%,>98% reported,edison,4,all,,8458,,,4088,5950,155,39,22,26,,3610,4480,109,28,13,19,,2020-11-11T03:26:09Z,18.11284,R+18,Trump +18,republican,18.11284,8877,23.2,9000,18.24,california,2020-11-14T00:42:42.061345Z
06045,Mendocino,25171,0,147,250,Released as a separate subtotal as first report of the night,59,42724,59%,59% reported,edison,2,unknown,,46454,,,18303,6312,248,179,90,39,,0,0,0,0,0,0,,2020-11-11T03:26:10Z,47.63816,D+48,Biden +48,democrat,-47.63816,37915,-29.5,35017,-38.65,california,2020-11-14T00:42:42.061345Z
06047,Merced,88533,0,268,268,Released as a separate subtotal as first report of the night,100,80699,>98%,>98% reported,edison,2,unknown,,52923,,,47861,38568,926,382,419,377,,0,0,0,0,0,0,,2020-11-12T23:36:43Z,10.49665,D+10,Biden +10,democrat,-10.49665,71127,-12.1,62057,-8.74,california,2020-11-14T00:42:42.061345Z
06049,Modoc,3805,0,19,22,Released as a separate subtotal as first report of the night,84,4539,84%,84% reported,edison,2,unknown,,4538,,,1063,2675,31,14,10,12,,0,0,0,0,0,0,,2020-11-11T03:26:11Z,42.36531,R+42,Trump +42,republican,42.36531,3843,47.3,3986,41.8,california,2020-11-14T00:42:42.061345Z
06051,Mono,6713,4958,12,12,Merged into voters' home precincts AFTER election night,100,6015,>98%,>98% reported,edison,4,unknown,,5003,,,3998,2504,126,42,18,25,,3215,1590,92,32,9,20,,2020-11-11T03:26:11Z,22.25533,D+22,Biden +22,democrat,-22.25533,5281,-12.5,5181,-8.65,california,2020-11-14T00:42:42.061345Z
06053,Monterey,155994,112564,188,188,Released as a separate subtotal as first report of the night,100,152085,>98%,>98% reported,edison,4,some,,140518,,,109145,43439,1722,710,455,523,,81854,28604,1063,453,274,316,,2020-11-11T23:35:52Z,42.12085,D+42,Biden +42,democrat,-42.12085,133408,-40.6,123518,-36.86,california,2020-11-14T00:42:42.061345Z
06055,Napa,67847,42386,185,191,Other,97,69964,97%,97% reported,edison,4,all,,82274,,,46962,19388,844,292,144,217,,31270,10392,383,166,71,104,,2020-11-11T03:26:13Z,40.64144,D+41,Biden +41,democrat,-40.64144,61372,-35.5,56968,-28.69,california,2020-11-14T00:42:42.061345Z
06057,Nevada,54177,26010,96,111,Other,87,62626,87%,87% reported,edison,4,all,,61400,,,30860,22059,722,270,116,150,,16019,9588,211,87,52,53,,2020-11-11T03:26:15Z,16.2449,D+16,Biden +16,democrat,-16.2449,54935,-4.9,51676,0.63,california,2020-11-14T00:42:42.061345Z
06059,Orange,1509332,1086838,1795,1795,Released as a separate subtotal as first report of the night,100,1365174,>98%,>98% reported,edison,4,all,,929898,,,808164,670245,17200,5770,3378,4575,,643287,422926,11619,3986,2116,2904,,2020-11-13T02:35:46Z,9.13775,D+9,Biden +9,democrat,-9.13775,1197521,-8.6,1122664,6.23,california,2020-11-14T00:42:42.061345Z
06061,Placer,215442,0,127,127,Released as a separate subtotal as first report of the night,100,208436,>98%,>98% reported,edison,4,all,,184938,,,99585,110859,3465,707,295,531,,0,0,0,0,0,0,,2020-11-11T03:26:17Z,5.23296,R+5,Trump +5,republican,5.23296,186024,11.6,171322,19.32,california,2020-11-14T00:42:42.061345Z
06063,Plumas,10950,0,29,29,Other,96,11409,96%,96% reported,edison,4,unknown,,11534,,,4465,6247,142,38,25,30,3,0,0,0,0,0,0,0,2020-11-11T03:25:52Z,16.27397,R+16,Trump +16,republican,16.27397,9850,19.9,10047,16.87,california,2020-11-14T00:42:42.061345Z
