fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_venturaj,results_blankenshipd,results_pierceb,results_de_la_fuenter,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_venturaj,results_absentee_blankenshipd,results_absentee_pierceb,results_absentee_de_la_fuenter,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,state,retrieved_time
02901,ED 1,7064,3420,8,9,Released as a separate subtotal as first report of the night,93,7634,93%,93% reported,edison,2,unknown,,4000,,,3387,3363,207,49,32,24,2,1290,2024,59,26,16,5,0,2020-11-11T13:18:16Z,0.33975,R+0.34,Trump +0.34,republican,0.33975,6638,9.1,alaska,2020-11-14T00:42:12.206092Z
02910,ED 10,10271,4778,10,11,Released as a separate subtotal as first report of the night,99,10396,>98%,>98% reported,edison,2,unknown,,4000,,,7375,2531,266,58,20,16,5,2941,1707,99,17,9,5,0,2020-11-13T13:57:00Z,47.16191,R+47,Trump +47,republican,47.16191,9040,49.2,alaska,2020-11-14T00:42:12.206092Z
02911,ED 11,10097,5425,8,9,Released as a separate subtotal as first report of the night,91,11142,91%,91% reported,edison,2,unknown,,4000,,,6764,2964,244,82,21,17,5,3163,2080,119,42,12,6,3,2020-11-13T13:57:00Z,37.63494,R+38,Trump +38,republican,37.63494,9689,44.4,alaska,2020-11-14T00:42:12.206092Z
02912,ED 12,10397,4899,6,7,Released as a separate subtotal as first report of the night,95,10974,95%,95% reported,edison,2,unknown,,4000,,,7341,2713,255,45,27,13,3,2898,1872,96,15,14,4,0,2020-11-13T13:56:59Z,44.51284,R+45,Trump +45,republican,44.51284,9543,49.3,alaska,2020-11-14T00:42:12.206092Z
02913,ED 13,6855,3573,5,6,Released as a separate subtotal as first report of the night,91,7513,91%,91% reported,edison,2,unknown,,4000,,,4138,2372,273,33,14,20,5,1773,1650,120,16,4,9,1,2020-11-13T13:56:58Z,25.76222,R+26,Trump +26,republican,25.76222,6533,35.9,alaska,2020-11-14T00:42:12.206092Z
02914,ED 14,10131,5879,5,7,Released as a separate subtotal as first report of the night,85,11983,85%,85% reported,edison,2,unknown,,4000,,,5931,3826,286,36,38,10,4,2815,2893,127,16,21,5,2,2020-11-12T16:41:28Z,20.77781,R+21,Trump +21,republican,20.77781,10420,28.2,alaska,2020-11-14T00:42:12.206092Z
02915,ED 15,4989,2634,4,5,Released as a separate subtotal as first report of the night,87,5729,87%,87% reported,edison,2,unknown,,4000,,,2426,2335,166,34,8,11,9,1076,1461,74,13,4,2,4,2020-11-12T16:41:27Z,1.82401,R+1.8,Trump +1.8,republican,1.82401,4982,14,alaska,2020-11-14T00:42:12.206092Z
02916,ED 16,7551,4067,6,7,Released as a separate subtotal as first report of the night,88,8551,88%,88% reported,edison,2,unknown,,4000,,,3295,3960,190,60,23,13,10,1284,2659,70,29,13,6,6,2020-11-13T13:56:57Z,8.80678,D+9,Biden +9,democrat,-8.80678,7436,-1.2,alaska,2020-11-14T00:42:12.206092Z
02917,ED 17,6612,3898,5,7,Released as a separate subtotal as first report of the night,85,7806,85%,85% reported,edison,2,unknown,,4000,,,2574,3785,154,60,14,16,9,1110,2670,73,26,6,7,6,2020-11-13T13:56:56Z,18.31518,D+18,Biden +18,democrat,-18.31518,6788,-9.9,alaska,2020-11-14T00:42:12.206092Z
02918,ED 18,7114,4555,8,10,Released as a separate subtotal as first report of the night,84,8512,84%,84% reported,edison,2,unknown,,4000,,,2540,4327,136,70,22,15,4,1255,3174,70,39,9,5,3,2020-11-13T13:56:56Z,25.11948,D+25,Biden +25,democrat,-25.11948,7402,-16.5,alaska,2020-11-14T00:42:12.206092Z
