fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_hawkinsh,results_segalj,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_segalj,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
24001,Allegany,30511,0,23,26,"As a subtotal in the FIRST cumulative report, along with regular precincts",89,34332,89%,89% reported,edison,2,unknown,,4312,,,9158,20886,308,120,39,0,0,0,0,0,2020-11-13T21:01:49Z,38.4386,R+38,Trump +38,republican,38.4386,30654,43.7,29850,31.57,maryland,2020-11-14T00:42:59.459299Z
24003,Anne Arundel,306912,0,202,202,Released as a precinct as first report of the night,100,302491,>98%,>98% reported,edison,2,none,,61018,,,172823,127810,4651,1247,381,0,0,0,0,0,2020-11-13T22:38:43Z,14.66642,D+15,Biden +15,democrat,-14.66642,270081,-2.2,260155,0.08,maryland,2020-11-14T00:42:59.459299Z
24005,Baltimore,346035,0,186,236,Released separately AFTER election night,79,437564,79%,79% reported,edison,2,none,,89978,,,210155,130085,3919,1433,443,0,0,0,0,0,2020-11-12T01:33:44Z,23.13928,D+23,Biden +23,democrat,-23.13928,390682,-17.6,384782,-17,maryland,2020-11-14T00:42:59.459299Z
24510,Baltimore City,226628,0,250,296,Other,81,279607,81%,81% reported,edison,2,none,,72816,,,198908,24347,1668,1272,433,0,0,0,0,0,2020-11-13T16:28:43Z,77.02535,D+77,Biden +77,democrat,-77.02535,239402,-74.1,254005,-76.1,maryland,2020-11-14T00:42:59.459299Z
24009,Calvert,48832,0,22,24,"As a precinct in the FIRST cumulative report, along with regular precincts",92,53097,92%,92% reported,edison,2,unknown,,11262,,,22587,25346,733,127,39,0,0,0,0,0,2020-11-13T21:29:44Z,5.64998,R+6,Trump +6,republican,5.64998,47408,16.8,45518,7.52,maryland,2020-11-14T00:42:59.459299Z
24011,Caroline,15729,0,8,8,Released as a precinct as first report of the night,100,15807,>98%,>98% reported,edison,2,unknown,,3784,,,5095,10283,229,90,32,0,0,0,0,0,2020-11-13T21:29:44Z,32.98366,R+33,Trump +33,republican,32.98366,14113,38,13357,23.42,maryland,2020-11-14T00:42:59.459299Z
24013,Carroll,99394,58185,34,36,Released separately AFTER election night,97,102870,97%,97% reported,edison,4,some,,16653,,,36454,60206,2028,537,169,24488,32426,898,283,90,2020-11-13T21:29:44Z,23.89681,R+24,Trump +24,republican,23.89681,91848,34.5,87536,32.93,maryland,2020-11-14T00:42:59.459299Z
24015,Cecil,47273,0,26,28,Other,93,50701,93%,93% reported,edison,2,none,,9424,,,16809,29439,706,229,90,0,0,0,0,0,2020-11-13T19:40:47Z,26.71715,R+27,Trump +27,republican,26.71715,45269,33.6,42480,19.42,maryland,2020-11-14T00:42:59.459299Z
24017,Charles,86010,0,44,44,Released as a precinct as first report of the night,98,87699,98%,98% reported,edison,2,unknown,,19179,,,59754,24986,743,395,132,0,0,0,0,0,2020-11-13T03:49:51Z,40.42321,D+40,Biden +40,democrat,-40.42321,78303,-30.3,75222,-31.37,maryland,2020-11-14T00:42:59.459299Z
24019,Dorchester,15934,0,36,39,Other,93,17061,93%,93% reported,edison,2,none,,3944,,,6857,8764,174,97,42,0,0,0,0,0,2020-11-13T21:01:48Z,11.96812,R+12,Trump +12,republican,11.96812,15225,14.2,15444,4.66,maryland,2020-11-14T00:42:59.459299Z
