fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_watson_colemanb,results_razzolim,results_forchione,results_codyk,results_absentee_watson_colemanb,results_absentee_razzolim,results_absentee_forchione,results_absentee_codyk,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,state_aspect_ratio_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
34021,Mercer,105806,0,144,165,None,87,121493,87%,87% reported,edison,4,unknown,21542,78312,25379,1776,339,0,0,0,0,2020-11-16T15:48:22Z,50.02835,D+50,Watson Coleman +50,democrat,NJ-G-H-12-2020-11-03,nj-house-general-district-012-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-jersey-house-district-12.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-jersey.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-jersey.html,house,general,2020-11-03,FALSE,U.S. House District 12,U.S. House,H,solid-dem,12,District 12,NJ,new-jersey,New Jersey,N.J.,vertical,0.7,"",FALSE,TRUE,winner,AP,FALSE,"",332372,17447,1,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,527,552,95% reporting,95%,93,359000,edison,93%,93% reported,edison,democrat,FALSE,2020-11-19T18:24:31Z,TRUE,33.05814,109876,D+33,Watson Coleman +33,democrat,"","",7,0,1604458694762
34023,Middlesex,149316,0,260,260,Other,95,157003,95%,95% reported,edison,4,some,56703,86014,61396,1380,526,0,0,0,0,2020-11-19T18:24:29Z,16.48718,D+16,Watson Coleman +16,democrat,NJ-G-H-12-2020-11-03,nj-house-general-district-012-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-jersey-house-district-12.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-jersey.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-jersey.html,house,general,2020-11-03,FALSE,U.S. House District 12,U.S. House,H,solid-dem,12,District 12,NJ,new-jersey,New Jersey,N.J.,vertical,0.7,"",FALSE,TRUE,winner,AP,FALSE,"",332372,17447,1,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,527,552,95% reporting,95%,93,359000,edison,93%,93% reported,edison,democrat,FALSE,2020-11-19T18:24:31Z,TRUE,33.05814,109876,D+33,Watson Coleman +33,democrat,"","",7,0,1604458694762
34035,Somerset,43095,0,66,66,Released as a separate subtotal as first report of the night,97,44265,97%,97% reported,edison,2,some,24227,28682,13126,646,641,0,0,0,0,2020-11-19T12:47:25Z,36.097,D+36,Watson Coleman +36,democrat,NJ-G-H-12-2020-11-03,nj-house-general-district-012-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-jersey-house-district-12.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-jersey.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-jersey.html,house,general,2020-11-03,FALSE,U.S. House District 12,U.S. House,H,solid-dem,12,District 12,NJ,new-jersey,New Jersey,N.J.,vertical,0.7,"",FALSE,TRUE,winner,AP,FALSE,"",332372,17447,1,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,527,552,95% reporting,95%,93,359000,edison,93%,93% reported,edison,democrat,FALSE,2020-11-19T18:24:31Z,TRUE,33.05814,109876,D+33,Watson Coleman +33,democrat,"","",7,0,1604458694762
34039,Union,34155,17447,57,61,Merged into voters' home precincts and released with cumulative results,100,17458,>98%,>98% reported,edison,6,all,25247,25224,8455,316,160,13700,3571,117,59,2020-11-19T00:40:48Z,49.09676,D+49,Watson Coleman +49,democrat,NJ-G-H-12-2020-11-03,nj-house-general-district-012-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-jersey-house-district-12.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-jersey.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-jersey.html,house,general,2020-11-03,FALSE,U.S. House District 12,U.S. House,H,solid-dem,12,District 12,NJ,new-jersey,New Jersey,N.J.,vertical,0.7,"",FALSE,TRUE,winner,AP,FALSE,"",332372,17447,1,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,527,552,95% reporting,95%,93,359000,edison,93%,93% reported,edison,democrat,FALSE,2020-11-19T18:24:31Z,TRUE,33.05814,109876,D+33,Watson Coleman +33,democrat,"","",7,0,1604458694762
