fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_buchananv,results_goodm,results_absentee_buchananv,results_absentee_goodm,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,state_aspect_ratio_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
12057,Hillsborough,128026,0,66,66,Released as a precinct as first report of the night,100,128026,>98%,>98% reported,edison,10,unknown,541850,66515,61511,0,0,2020-11-17T17:29:04Z,3.90858,R+4,Buchanan +4,republican,FL-G-H-16-2020-11-03,fl-house-general-district-016-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida-house-district-16.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-florida.html,house,general,2020-11-03,FALSE,U.S. House District 16,U.S. House,H,likely-rep,16,District 16,FL,florida,Florida,Fla.,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",484684,173868,1,unknown,First polls close at 7 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,185,190,97% reporting,97%,99,484684,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T17:18:43Z,TRUE,11.00057,53318,R+11,Buchanan +11,republican,"","",0,0,1604452830830
12081,Manatee,214770,173868,70,70,Released as a separate subtotal as first report of the night,100,214770,>98%,>98% reported,edison,10,all,99579,128072,86698,99975,73893,2020-11-17T17:02:44Z,19.26433,R+19,Buchanan +19,republican,FL-G-H-16-2020-11-03,fl-house-general-district-016-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida-house-district-16.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-florida.html,house,general,2020-11-03,FALSE,U.S. House District 16,U.S. House,H,likely-rep,16,District 16,FL,florida,Florida,Fla.,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",484684,173868,1,unknown,First polls close at 7 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,185,190,97% reporting,97%,99,484684,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T17:18:43Z,TRUE,11.00057,53318,R+11,Buchanan +11,republican,"","",0,0,1604452830830
12115,Sarasota,141888,0,49,54,Released as a precinct as first report of the night,100,141888,>98%,>98% reported,edison,10,all,207136,74414,67474,0,0,2020-11-16T15:47:45Z,4.89118,R+5,Buchanan +5,republican,FL-G-H-16-2020-11-03,fl-house-general-district-016-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida-house-district-16.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-florida.html,house,general,2020-11-03,FALSE,U.S. House District 16,U.S. House,H,likely-rep,16,District 16,FL,florida,Florida,Fla.,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",484684,173868,1,unknown,First polls close at 7 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,185,190,97% reporting,97%,99,484684,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T17:18:43Z,TRUE,11.00057,53318,R+11,Buchanan +11,republican,"","",0,0,1604452830830
