fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_kellyt,results_eliasona,results_write_ins,results_absentee_kellyt,results_absentee_eliasona,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,state_aspect_ratio_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
28087,Lowndes,26174,25905,20,20,None,100,26174,>98%,>98% reported,edison,10,unknown,1206,14576,11562,36,14463,11406,36,2020-11-16T15:47:41Z,11.51524,R+12,Kelly +12,republican,MS-G-H-1-2020-11-03,ms-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",333005,27839,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,422,422,100% reporting,100%,97,342000,edison,97%,97% reported,edison,republican,FALSE,2020-11-18T23:48:42Z,TRUE,37.458,124737,R+37,Kelly +37,republican,"","",7,0,1604456998542
28093,Marshall,14600,0,24,24,Merged into voters' home precincts and released with cumulative results,100,14600,>98%,>98% reported,edison,10,unknown,920,7621,6971,8,0,0,0,2020-11-16T19:22:30Z,4.45205,R+4,Kelly +4,republican,MS-G-H-1-2020-11-03,ms-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",333005,27839,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,422,422,100% reporting,100%,97,342000,edison,97%,97% reported,edison,republican,FALSE,2020-11-18T23:48:42Z,TRUE,37.458,124737,R+37,Kelly +37,republican,"","",7,0,1604456998542
28095,Monroe,16630,0,26,26,None,100,16630,>98%,>98% reported,edison,10,unknown,978,11646,4970,14,0,0,0,2020-11-16T19:19:22Z,40.14432,R+40,Kelly +40,republican,MS-G-H-1-2020-11-03,ms-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",333005,27839,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,422,422,100% reporting,100%,97,342000,edison,97%,97% reported,edison,republican,FALSE,2020-11-18T23:48:42Z,TRUE,37.458,124737,R+37,Kelly +37,republican,"","",7,0,1604456998542
28105,Oktibbeha,1613,0,5,5,Released as a separate subtotal at the end of tabulation,100,1613,>98%,>98% reported,edison,10,some,1134,1015,598,0,0,0,0,2020-11-16T17:45:05Z,25.85245,R+26,Kelly +26,republican,MS-G-H-1-2020-11-03,ms-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",333005,27839,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,422,422,100% reporting,100%,97,342000,edison,97%,97% reported,edison,republican,FALSE,2020-11-18T23:48:42Z,TRUE,37.458,124737,R+37,Kelly +37,republican,"","",7,0,1604456998542
28115,Pontotoc,14007,0,28,28,Merged into voters' home precincts and released with cumulative results,100,14007,>98%,>98% reported,edison,10,unknown,602,11787,2206,14,0,0,0,2020-11-16T15:47:43Z,68.40151,R+68,Kelly +68,republican,MS-G-H-1-2020-11-03,ms-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",333005,27839,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,422,422,100% reporting,100%,97,342000,edison,97%,97% reported,edison,republican,FALSE,2020-11-18T23:48:42Z,TRUE,37.458,124737,R+37,Kelly +37,republican,"","",7,0,1604456998542
28117,Prentiss,10294,0,15,15,None,100,10294,>98%,>98% reported,edison,10,unknown,438,8557,1726,11,0,0,0,2020-11-16T15:47:43Z,66.35904,R+66,Kelly +66,republican,MS-G-H-1-2020-11-03,ms-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",333005,27839,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,422,422,100% reporting,100%,97,342000,edison,97%,97% reported,edison,republican,FALSE,2020-11-18T23:48:42Z,TRUE,37.458,124737,R+37,Kelly +37,republican,"","",7,0,1604456998542
28137,Tate,12479,0,20,20,None,100,12479,>98%,>98% reported,edison,10,unknown,602,8699,3767,13,0,0,0,2020-11-16T15:47:43Z,39.5224,R+40,Kelly +40,republican,MS-G-H-1-2020-11-03,ms-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",333005,27839,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,422,422,100% reporting,100%,97,342000,edison,97%,97% reported,edison,republican,FALSE,2020-11-18T23:48:42Z,TRUE,37.458,124737,R+37,Kelly +37,republican,"","",7,0,1604456998542
28139,Tippah,9723,0,24,24,None,100,9723,>98%,>98% reported,edison,10,unknown,540,8050,1673,0,0,0,0,2020-11-16T15:47:44Z,65.58675,R+66,Kelly +66,republican,MS-G-H-1-2020-11-03,ms-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",333005,27839,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,422,422,100% reporting,100%,97,342000,edison,97%,97% reported,edison,republican,FALSE,2020-11-18T23:48:42Z,TRUE,37.458,124737,R+37,Kelly +37,republican,"","",7,0,1604456998542
28141,Tishomingo,8863,0,14,14,Merged into voters' home precincts and released with cumulative results,100,8863,>98%,>98% reported,edison,10,unknown,594,7887,969,7,0,0,0,2020-11-16T17:56:14Z,78.05483,R+78,Kelly +78,republican,MS-G-H-1-2020-11-03,ms-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",333005,27839,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,422,422,100% reporting,100%,97,342000,edison,97%,97% reported,edison,republican,FALSE,2020-11-18T23:48:42Z,TRUE,37.458,124737,R+37,Kelly +37,republican,"","",7,0,1604456998542
28145,Union,12314,0,20,20,Merged into voters' home precincts and released with cumulative results,100,12314,>98%,>98% reported,edison,10,none,700,10505,1809,0,0,0,0,2020-11-16T15:47:45Z,70.61881,R+71,Kelly +71,republican,MS-G-H-1-2020-11-03,ms-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",333005,27839,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,422,422,100% reporting,100%,97,342000,edison,97%,97% reported,edison,republican,FALSE,2020-11-18T23:48:42Z,TRUE,37.458,124737,R+37,Kelly +37,republican,"","",7,0,1604456998542
28155,Webster,5234,0,17,17,Merged into voters' home precincts and released with cumulative results,100,5234,>98%,>98% reported,edison,10,unknown,262,4349,882,3,0,0,0,2020-11-16T15:47:45Z,66.23997,R+66,Kelly +66,republican,MS-G-H-1-2020-11-03,ms-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",333005,27839,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,422,422,100% reporting,100%,97,342000,edison,97%,97% reported,edison,republican,FALSE,2020-11-18T23:48:42Z,TRUE,37.458,124737,R+37,Kelly +37,republican,"","",7,0,1604456998542
28159,Winston,9192,0,12,12,Merged into voters' home precincts and released with cumulative results,100,9192,>98%,>98% reported,edison,10,some,794,5322,3857,13,0,0,0,2020-11-17T02:21:30Z,15.93777,R+16,Kelly +16,republican,MS-G-H-1-2020-11-03,ms-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",333005,27839,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,422,422,100% reporting,100%,97,342000,edison,97%,97% reported,edison,republican,FALSE,2020-11-18T23:48:42Z,TRUE,37.458,124737,R+37,Kelly +37,republican,"","",7,0,1604456998542
