fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_hawkinsh,results_write_ins,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
25001,Barnstable,150335,0,65,65,,,,,"",edison,,,,,,,91994,55311,1856,638,536,0,0,0,0,0,2020-11-24T18:08:59Z,24.40084,D+24,Biden +24,democrat,-24.40084,135781,-13.5,133115,-7.79,massachusetts,2020-11-26T00:50:17.223055Z
25003,Berkshire,71375,0,59,59,,,,,"",edison,,,,,,,51705,18064,927,465,214,0,0,0,0,0,2020-11-24T17:47:30Z,47.13275,D+47,Biden +47,democrat,-47.13275,65617,-41,64486,-53.64,massachusetts,2020-11-26T00:50:17.223055Z
25005,Bristol,279279,16401,172,172,,,,,"",edison,,,,,,,153377,119872,3667,1427,936,9544,6550,186,61,60,2020-11-24T17:26:48Z,11.99696,D+12,Biden +12,democrat,-11.99696,252140,-9.6,241509,-20.38,massachusetts,2020-11-26T00:50:17.223055Z
25007,Dukes,12798,0,7,7,,,,,"",edison,,,,,,,9914,2631,138,82,33,0,0,0,0,0,2020-11-24T17:29:03Z,56.90733,D+57,Biden +57,democrat,-56.90733,11674,-50.7,10968,-47.28,massachusetts,2020-11-26T00:50:17.223055Z
25009,Essex,421210,0,234,240,,,,,"",edison,,,,,,,267198,144837,5356,1899,1920,0,0,0,0,0,2020-11-24T17:29:57Z,29.04988,D+29,Biden +29,democrat,-29.04988,385370,-22.3,366357,-16.33,massachusetts,2020-11-26T00:50:17.223055Z
25011,Franklin,42459,876,40,40,,,,,"",edison,,,,,,,30030,11201,692,380,156,662,196,16,2,0,2020-11-24T17:33:32Z,44.34631,D+44,Biden +44,democrat,-44.34631,38821,-36.4,37758,-46.95,massachusetts,2020-11-26T00:50:17.223055Z
25013,Hampden,218177,5630,165,166,,,,,"",edison,,,,,,,125948,87318,2971,1166,774,3574,1973,67,16,0,2020-11-24T15:44:40Z,17.70581,D+18,Biden +18,democrat,-17.70581,206101,-16.5,200399,-25.06,massachusetts,2020-11-26T00:50:17.223055Z
25015,Hampshire,87852,4916,53,56,,,,,"",edison,,,,,,,63362,22281,1086,768,355,2340,2440,91,45,0,2020-11-24T15:44:13Z,46.7616,D+47,Biden +47,democrat,-46.7616,84193,-39.9,81621,-43.96,massachusetts,2020-11-26T00:50:17.223055Z
25017,Middlesex,863628,10502,468,474,,,,,"",edison,,,,,,,617196,226956,10649,4484,4343,6970,3326,124,41,41,2020-11-24T17:25:43Z,45.18612,D+45,Biden +45,democrat,-45.18612,796735,-37.7,754170,-27.11,massachusetts,2020-11-26T00:50:17.223055Z
25019,Nantucket,7306,4518,1,1,,,,,"",edison,,,,,,,5241,1914,81,41,29,3587,861,36,21,13,2020-11-24T18:43:31Z,45.53791,D+46,Biden +46,democrat,-45.53791,6508,-34.6,6120,-26.85,massachusetts,2020-11-26T00:50:17.223055Z
25021,Norfolk,407756,24338,211,211,,,,,"",edison,,,,,,,273312,125294,5191,1753,2206,19312,4601,255,72,98,2020-11-24T18:33:27Z,36.30063,D+36,Biden +36,democrat,-36.30063,367695,-27.8,356523,-15.24,massachusetts,2020-11-26T00:50:17.223055Z
25023,Plymouth,301812,40570,142,143,,,,,"",edison,,,,,,,173630,121227,4306,1324,1325,28363,11371,445,162,229,2020-11-24T18:20:41Z,17.3628,D+17,Biden +17,democrat,-17.3628,271177,-7.4,256531,-4.19,massachusetts,2020-11-26T00:50:17.223055Z
25025,Suffolk,335462,0,298,298,,,,,"",edison,,,,,,,270522,58613,2959,1695,1673,0,0,0,0,0,2020-11-24T18:17:47Z,63.1693,D+63,Biden +63,democrat,-63.1693,313283,-62.3,289098,-56.69,massachusetts,2020-11-26T00:50:17.223055Z
25027,Worcester,432024,20108,239,242,,,,,"",edison,,,,,,,248773,171683,7130,2536,1902,12409,7134,373,120,72,2020-11-24T17:28:01Z,17.84392,D+18,Biden +18,democrat,-17.84392,389951,-10.5,369112,-9.44,massachusetts,2020-11-26T00:50:17.223055Z
