fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_write_ins,results_hawkinsh,results_hunterd,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_write_ins,results_absentee_hawkinsh,results_absentee_hunterd,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
41001,Baker,9932,0,17,17,Other,100,9932,>98%,>98% reported,edison,8,unknown,,,,,2346,7352,144,41,33,16,0,0,0,0,0,0,2020-11-24T13:23:22Z,50.40274,R+50,Trump +50,republican,50.40274,8779,50.4,8448,39.45,oregon,2020-11-26T00:50:05.186764Z
41003,Benton,52799,0,23,24,Other,100,52719,>98%,>98% reported,edison,8,some,,,,,35827,14878,1142,474,335,143,0,0,0,0,0,0,2020-11-24T13:23:22Z,39.67689,D+40,Biden +40,democrat,-39.67689,48753,-32.3,44802,-28.54,oregon,2020-11-26T00:50:05.186764Z
41005,Clackamas,255728,0,120,120,Other,100,255664,>98%,>98% reported,edison,8,some,,,,,139043,110509,4736,,1011,429,0,0,0,,0,0,2020-11-24T20:00:51Z,11.15795,D+11,Biden +11,democrat,-11.15795,214039,-6.4,189332,-3.64,oregon,2020-11-26T00:50:05.186764Z
41007,Clatsop,23764,0,33,33,Other,100,23764,>98%,>98% reported,edison,8,some,,,,,12916,10218,437,,130,63,0,0,0,,0,0,2020-11-24T13:23:23Z,11.35331,D+11,Biden +11,democrat,-11.35331,19664,-5.7,17818,-14.66,oregon,2020-11-26T00:50:05.186764Z
41009,Columbia,32221,0,33,33,Other,100,31518,>98%,>98% reported,edison,8,unknown,,,,,13835,17150,787,204,158,87,0,0,0,0,0,0,2020-11-24T13:23:24Z,10.28832,R+10,Trump +10,republican,10.28832,26618,11.5,23875,-5.16,oregon,2020-11-26T00:50:05.186764Z
41011,Coos,37075,0,18,18,Other,100,36484,>98%,>98% reported,edison,8,some,,,,,14243,21829,572,179,171,81,0,0,0,0,0,0,2020-11-24T13:23:24Z,20.46123,R+20,Trump +20,republican,20.46123,31313,23.7,28686,6.37,oregon,2020-11-26T00:50:05.186764Z
41013,Crook,15448,0,17,17,Other,100,15165,>98%,>98% reported,edison,8,unknown,,,,,3801,11287,231,71,42,16,0,0,0,0,0,0,2020-11-24T13:23:25Z,48.45935,R+48,Trump +48,republican,48.45935,12172,48.3,10230,36.03,oregon,2020-11-26T00:50:05.186764Z
41015,Curry,29851,0,27,27,Other,100,14925,>98%,>98% reported,edison,8,unknown,,,,,12116,16969,456,142,126,42,0,0,0,0,0,0,2020-11-24T13:23:25Z,16.25741,R+16,Trump +16,republican,16.25741,12611,23.1,11678,16.9,oregon,2020-11-26T00:50:05.186764Z
41017,Deschutes,125234,0,50,50,Other,100,121732,>98%,>98% reported,edison,8,unknown,,,,,65962,55646,2097,950,422,157,0,0,0,0,0,0,2020-11-24T13:23:26Z,8.23738,D+8,Biden +8,democrat,-8.23738,98557,3.3,81900,6.72,oregon,2020-11-26T00:50:05.186764Z
41019,Douglas,64349,0,28,28,Other,100,63107,>98%,>98% reported,edison,8,some,,,,,19160,43298,1182,306,258,145,0,0,0,0,0,0,2020-11-24T13:23:26Z,37.51107,R+38,Trump +38,republican,37.51107,53521,38.3,49803,27.37,oregon,2020-11-26T00:50:05.186764Z
