fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_hawkinsh,results_write_ins,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
39001,Adams,12145,0,21,21,Merged into voters' home precincts and released with cumulative results,98,12400,98%,98% reported,edison,2,unknown,,5645,,,9870,2156,92,27,0,0,0,0,0,0,2020-11-24T13:22:09Z,63.51585,R+64,Trump +64,republican,63.51585,11412,55.5,11118,25.98,ohio,2020-11-26T00:49:47.709957Z
39003,Allen,48099,0,81,88,Merged into voters' home precincts and released with cumulative results,98,49000,98%,98% reported,edison,2,unknown,,21147,,,33116,14149,590,138,106,0,0,0,0,0,2020-11-24T13:22:10Z,39.43325,R+39,Trump +39,republican,39.43325,46234,37.2,48341,23.97,ohio,2020-11-26T00:49:47.709957Z
39005,Ashland,26405,16298,39,39,Released as a separate subtotal as first report of the night,100,25883,>98%,>98% reported,edison,6,unknown,,12763,,,19407,6541,345,105,7,10986,5093,157,62,0,2020-11-24T13:22:13Z,48.72562,R+49,Trump +49,republican,48.72562,24737,47.5,24340,29.74,ohio,2020-11-26T00:49:47.709957Z
39007,Ashtabula,44237,23058,104,104,Released as a separate subtotal as first report of the night,100,43253,>98%,>98% reported,edison,6,all,,17976,,,26890,16497,559,196,95,11458,11246,222,95,37,2020-11-24T13:22:14Z,23.49391,R+23,Trump +23,republican,23.49391,41180,18.8,43200,-12.74,ohio,2020-11-26T00:49:47.709957Z
39009,Athens,26120,15706,56,56,Merged into voters' home precincts and released with cumulative results,100,24809,>98%,>98% reported,edison,6,unknown,,15184,,,10862,14772,299,115,72,4256,11202,144,65,39,2020-11-24T13:22:16Z,14.96937,D+15,Biden +15,democrat,-14.96937,29709,-16.9,27728,-35.21,ohio,2020-11-26T00:49:47.709957Z
39011,Auglaize,25822,0,39,39,"As a subtotal in the FIRST cumulative report, along with regular precincts",100,25396,>98%,>98% reported,edison,6,all,,9630,,,20798,4651,260,64,49,0,0,0,0,0,2020-11-24T20:19:25Z,62.53195,R+63,Trump +63,republican,62.53195,23794,61.7,23447,48.36,ohio,2020-11-26T00:49:47.709957Z
39013,Belmont,33141,0,70,70,Merged into voters' home precincts and released with cumulative results,100,33243,>98%,>98% reported,edison,4,some,,23979,,,23560,9138,285,98,60,0,0,0,0,0,2020-11-24T13:22:18Z,43.51709,R+44,Trump +44,republican,43.51709,31331,39.3,31688,8.21,ohio,2020-11-26T00:49:47.709957Z
39015,Brown,21139,0,29,32,Released as a separate subtotal as first report of the night,100,20326,>98%,>98% reported,edison,2,unknown,,7776,,,16480,4380,182,54,43,0,0,0,0,0,2020-11-24T13:22:20Z,57.24017,R+57,Trump +57,republican,57.24017,19682,51.9,19392,24.8,ohio,2020-11-26T00:49:47.709957Z
39017,Butler,186675,0,282,282,Merged into voters' home precincts and released with cumulative results,94,198176,94%,94% reported,edison,2,some,,78506,,,114392,69613,2177,493,0,0,0,0,0,0,2020-11-24T13:22:21Z,23.98768,R+24,Trump +24,republican,23.98768,174994,27.6,170530,25.09,ohio,2020-11-26T00:49:47.709957Z
39019,Carroll,14233,7672,22,23,Released as a separate subtotal as first report of the night,100,13748,>98%,>98% reported,edison,2,all,,5890,,,10745,3251,156,56,25,5216,2346,67,32,11,2020-11-24T13:22:22Z,52.65229,R+53,Trump +53,republican,52.65229,13148,46.4,13284,13.34,ohio,2020-11-26T00:49:47.709957Z
39021,Champaign,20003,0,27,28,Released as a separate subtotal as first report of the night,100,19369,>98%,>98% reported,edison,6,all,,9136,,,14589,5062,260,55,37,0,0,0,0,0,2020-11-24T13:22:23Z,47.62786,R+48,Trump +48,republican,47.62786,18243,44.1,18468,21.66,ohio,2020-11-26T00:49:47.709957Z
39023,Clark,64351,40125,83,90,Released as a separate subtotal as first report of the night,95,67994,95%,95% reported,edison,2,unknown,,33222,,,39032,24076,829,245,169,20858,18715,399,153,0,2020-11-24T13:22:24Z,23.24129,R+23,Trump +23,republican,23.24129,61893,19.2,64301,0.81,ohio,2020-11-26T00:49:47.709957Z
39025,Clermont,110710,0,166,166,Released as a separate subtotal as first report of the night,98,112998,98%,98% reported,edison,2,unknown,,46664,,,74570,34092,1513,271,264,0,0,0,0,0,2020-11-24T13:22:25Z,36.56219,R+37,Trump +37,republican,36.56219,99972,40.8,96525,34.97,ohio,2020-11-26T00:49:47.709957Z
39027,Clinton,20563,0,35,36,"As a subtotal in the FIRST cumulative report, along with regular precincts",100,19796,>98%,>98% reported,edison,2,unknown,,8917,,,15488,4697,270,67,41,0,0,0,0,0,2020-11-24T13:22:27Z,52.47775,R+52,Trump +52,republican,52.47775,18766,52.1,18183,34.2,ohio,2020-11-26T00:49:47.709957Z
39029,Columbiana,49960,22098,87,87,Merged into voters' home precincts and released with cumulative results,100,49169,>98%,>98% reported,edison,6,all,,16355,,,35726,13359,607,162,106,13096,8655,207,84,56,2020-11-24T13:22:29Z,44.76982,R+45,Trump +45,republican,44.76982,46492,41.4,46199,11.75,ohio,2020-11-26T00:49:47.709957Z
39031,Coshocton,16768,11108,23,23,Released as a separate subtotal as first report of the night,100,16348,>98%,>98% reported,edison,6,all,,9803,,,12325,4125,227,62,29,7549,3352,146,44,17,2020-11-24T13:22:32Z,48.90267,R+49,Trump +49,republican,48.90267,15659,43.2,15784,9.19,ohio,2020-11-26T00:49:47.709957Z
39033,Crawford,20713,0,35,35,Merged into voters' home precincts and released with cumulative results,100,20192,>98%,>98% reported,edison,6,unknown,,10312,,,15436,4916,278,53,30,0,0,0,0,0,2020-11-24T13:22:32Z,50.78936,R+51,Trump +51,republican,50.78936,19329,46.5,19847,21.89,ohio,2020-11-26T00:49:47.709957Z
39035,Cuyahoga,627160,586535,888,975,Released as a separate subtotal as first report of the night,85,734525,85%,85% reported,edison,4,all,,431608,,,202699,416176,4593,2031,1661,188776,390122,4246,1844,1547,2020-11-24T13:22:36Z,34.03868,D+34,Biden +34,democrat,-34.03868,608879,-35.2,645262,-39.77,ohio,2020-11-26T00:49:47.709957Z
39037,Darke,27160,0,40,43,Merged into voters' home precincts and released with cumulative results,100,26418,>98%,>98% reported,edison,2,unknown,,10557,,,22003,4731,331,62,33,0,0,0,0,0,2020-11-24T13:22:37Z,63.59352,R+64,Trump +64,republican,63.59352,25601,60.7,25430,44.36,ohio,2020-11-26T00:49:47.709957Z
39039,Defiance,19381,13066,33,33,Merged into voters' home precincts and released with cumulative results,100,19261,>98%,>98% reported,edison,4,unknown,,9581,,,13038,5981,272,78,12,8042,4839,137,48,0,2020-11-24T13:22:42Z,36.41195,R+36,Trump +36,republican,36.41195,18349,34.4,18339,13.33,ohio,2020-11-26T00:49:47.709957Z
39041,Delaware,126318,0,165,165,Released as a separate subtotal as first report of the night,100,109108,>98%,>98% reported,edison,2,unknown,,62675,,,66356,57735,1630,293,304,0,0,0,0,0,2020-11-24T13:22:43Z,6.82484,R+7,Trump +7,republican,6.82484,105639,15.8,98899,23.16,ohio,2020-11-26T00:49:47.709957Z
39043,Erie,40416,0,62,62,Released as a separate subtotal as first report of the night,90,44922,90%,90% reported,edison,2,unknown,,22709,,,22160,17493,522,153,88,0,0,0,0,0,2020-11-24T13:22:44Z,11.54741,R+12,Trump +12,republican,11.54741,37862,9.5,39500,-12.26,ohio,2020-11-26T00:49:47.709957Z
39045,Fairfield,81564,54802,105,107,Merged into voters' home precincts and released with cumulative results,98,83121,98%,98% reported,edison,2,all,,43430,,,49714,30634,998,218,,30013,24117,539,133,,2020-11-24T13:22:45Z,23.39267,R+23,Trump +23,republican,23.39267,73554,26.4,72220,15.43,ohio,2020-11-26T00:49:47.709957Z
39047,Fayette,12626,7133,25,25,Released as a separate subtotal as first report of the night,100,12305,>98%,>98% reported,edison,6,all,,5552,,,9473,2975,132,32,14,4916,2140,53,17,7,2020-11-24T13:22:48Z,51.46523,R+51,Trump +51,republican,51.46523,11232,46.8,11038,21.48,ohio,2020-11-26T00:49:47.709957Z
