fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_none_of_these_candidates,results_blankenshipd,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_none_of_these_candidates,results_absentee_blankenshipd,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
32510,Carson City,29739,0,23,24,Merged into voters' home precincts and released with cumulative results,96,31020,96%,96% reported,edison,4,some,,26427,,,12735,16113,432,355,104,0,0,0,0,0,2020-11-24T13:22:31Z,11.35882,R+11,Trump +11,republican,11.35882,25016,14.1,23319,9.02,nevada,2020-11-26T00:50:19.676239Z
32001,Churchill,12890,0,18,19,Merged into voters' home precincts and released with cumulative results,95,13563,95%,95% reported,edison,4,some,,11522,,,3051,9372,282,150,35,0,0,0,0,0,2020-11-24T13:22:33Z,49.03801,R+49,Trump +49,republican,49.03801,10938,51.4,10265,39.94,nevada,2020-11-26T00:50:19.676239Z
32003,Clark,972510,0,1150,1150,Merged into voters' home precincts and released with cumulative results,100,965000,>98%,>98% reported,edison,2,some,,781405,,,521852,430930,8761,9023,1944,0,0,0,0,0,2020-11-24T13:22:34Z,9.34921,D+9,Biden +9,democrat,-9.34921,767156,-10.7,691190,-14.6,nevada,2020-11-26T00:50:19.676239Z
32005,Douglas,34125,0,40,41,Merged into voters' home precincts and released with cumulative results,99,34577,>98%,>98% reported,edison,4,unknown,,27677,,,11571,21630,407,449,68,0,0,0,0,0,2020-11-24T13:22:35Z,29.47692,R+29,Trump +29,republican,29.47692,27885,32.1,26075,26.77,nevada,2020-11-26T00:50:19.676239Z
32007,Elko,21967,0,39,41,Merged into voters' home precincts and released with cumulative results,95,23013,95%,95% reported,edison,4,some,,16878,,,4557,16741,375,227,67,0,0,0,0,0,2020-11-24T13:22:36Z,55.46502,R+55,Trump +55,republican,55.46502,18559,54.7,15986,53.19,nevada,2020-11-26T00:50:19.676239Z
32009,Esmeralda,487,0,5,5,Merged into voters' home precincts and released with cumulative results,93,525,93%,93% reported,edison,4,some,,206,,,74,400,6,6,1,0,0,0,0,0,2020-11-24T13:22:37Z,66.94045,R+67,Trump +67,republican,66.94045,423,62.4,435,51.72,nevada,2020-11-26T00:50:19.676239Z
32011,Eureka,1017,937,4,4,Merged into voters' home precincts and released with cumulative results,100,942,>98%,>98% reported,edison,6,some,,565,,,105,895,6,8,3,92,828,6,8,3,2020-11-24T13:22:40Z,77.67945,R+78,Trump +78,republican,77.67945,854,76,808,68.81,nevada,2020-11-26T00:50:19.676239Z
32013,Humboldt,7771,0,15,15,Merged into voters' home precincts and released with cumulative results,97,7977,97%,97% reported,edison,4,unknown,,5797,,,1689,5877,104,78,23,0,0,0,0,0,2020-11-24T13:22:42Z,53.89268,R+54,Trump +54,republican,53.89268,6433,48.7,5744,36.09,nevada,2020-11-26T00:50:19.676239Z
32015,Lander,2765,0,8,9,Merged into voters' home precincts and released with cumulative results,92,2992,92%,92% reported,edison,2,unknown,,2155,,,496,2198,36,30,5,0,0,0,0,0,2020-11-24T13:22:43Z,61.55515,R+62,Trump +62,republican,61.55515,2413,59.1,2165,48.31,nevada,2020-11-26T00:50:19.676239Z
32017,Lincoln,2446,0,6,6,Merged into voters' home precincts and released with cumulative results,93,2644,93%,93% reported,edison,4,some,,1603,,,330,2067,17,24,8,0,0,0,0,0,2020-11-24T13:22:43Z,71.0139,R+71,Trump +71,republican,71.0139,2132,65,2152,59.99,nevada,2020-11-26T00:50:19.676239Z
