fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_hicej,results_johnson_greent,results_write_ins,results_absentee_hicej,results_absentee_johnson_greent,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,state_aspect_ratio_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
13009,Baldwin,17734,14371,14,14,Other,100,17693,>98%,>98% reported,edison,6,all,14066,9101,8633,0,7217,7154,0,2020-11-11T03:26:23Z,2.639,R+3,Hice +3,republican,GA-G-H-10-2020-11-03,ga-house-general-district-010-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-10.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 10,U.S. House,H,solid-rep,10,District 10,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",378169,302551,25,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,197,201,98% reporting,98%,94,404000,edison,94%,94% reported,edison,republican,FALSE,2020-11-11T03:25:54Z,TRUE,24.59192,92999,R+25,Hice +25,republican,"A small number of absentee, provisional and overseas military ballots remain uncounted. The secretary of state said Friday that because of the small margin between the presidential candidates, there will be a recount.","A small number of absentee, provisional and overseas military ballots remain uncounted. The secretary of state said Friday that because of the small margin between the presidential candidates, there will be a recount.",0,0,1604456222921
13013,Barrow,36931,29324,8,8,None,100,36931,>98%,>98% reported,edison,6,all,20877,26957,9928,46,21046,8278,0,2020-11-11T03:26:27Z,46.11031,R+46,Hice +46,republican,GA-G-H-10-2020-11-03,ga-house-general-district-010-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-10.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 10,U.S. House,H,solid-rep,10,District 10,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",378169,302551,25,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,197,201,98% reporting,98%,94,404000,edison,94%,94% reported,edison,republican,FALSE,2020-11-11T03:25:54Z,TRUE,24.59192,92999,R+25,Hice +25,republican,"A small number of absentee, provisional and overseas military ballots remain uncounted. The secretary of state said Friday that because of the small margin between the presidential candidates, there will be a recount.","A small number of absentee, provisional and overseas military ballots remain uncounted. The secretary of state said Friday that because of the small margin between the presidential candidates, there will be a recount.",0,0,1604456222921
13035,Butts,11441,10265,1,1,Released as a precinct as first report of the night,100,11441,>98%,>98% reported,edison,6,all,10779,8317,3110,14,7511,2742,12,2020-11-11T03:26:22Z,45.51176,R+46,Hice +46,republican,GA-G-H-10-2020-11-03,ga-house-general-district-010-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-10.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 10,U.S. House,H,solid-rep,10,District 10,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",378169,302551,25,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,197,201,98% reporting,98%,94,404000,edison,94%,94% reported,edison,republican,FALSE,2020-11-11T03:25:54Z,TRUE,24.59192,92999,R+25,Hice +25,republican,"A small number of absentee, provisional and overseas military ballots remain uncounted. The secretary of state said Friday that because of the small margin between the presidential candidates, there will be a recount.","A small number of absentee, provisional and overseas military ballots remain uncounted. The secretary of state said Friday that because of the small margin between the presidential candidates, there will be a recount.",0,0,1604456222921
13059,Clarke,44218,36985,21,21,None,88,50326,88%,88% reported,edison,2,unknown,31528,14137,30081,0,11011,25974,0,2020-11-11T03:26:59Z,36.05771,D+36,Johnson-Green +36,democrat,GA-G-H-10-2020-11-03,ga-house-general-district-010-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-10.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 10,U.S. House,H,solid-rep,10,District 10,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",378169,302551,25,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,197,201,98% reporting,98%,94,404000,edison,94%,94% reported,edison,republican,FALSE,2020-11-11T03:25:54Z,TRUE,24.59192,92999,R+25,Hice +25,republican,"A small number of absentee, provisional and overseas military ballots remain uncounted. The secretary of state said Friday that because of the small margin between the presidential candidates, there will be a recount.","A small number of absentee, provisional and overseas military ballots remain uncounted. The secretary of state said Friday that because of the small margin between the presidential candidates, there will be a recount.",0,0,1604456222921
13073,Columbia,11372,8263,6,6,Merged into voters' home precincts and released with cumulative results,100,11322,>98%,>98% reported,edison,4,unknown,44339,8339,3033,0,5779,2484,0,2020-11-11T03:27:00Z,46.65846,R+47,Hice +47,republican,GA-G-H-10-2020-11-03,ga-house-general-district-010-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-10.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 10,U.S. House,H,solid-rep,10,District 10,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",378169,302551,25,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,197,201,98% reporting,98%,94,404000,edison,94%,94% reported,edison,republican,FALSE,2020-11-11T03:25:54Z,TRUE,24.59192,92999,R+25,Hice +25,republican,"A small number of absentee, provisional and overseas military ballots remain uncounted. The secretary of state said Friday that because of the small margin between the presidential candidates, there will be a recount.","A small number of absentee, provisional and overseas military ballots remain uncounted. The secretary of state said Friday that because of the small margin between the presidential candidates, there will be a recount.",0,0,1604456222921
13125,Glascock,1497,1068,3,4,None,84,1779,84%,84% reported,edison,2,unknown,920,1353,144,0,961,107,0,2020-11-11T03:26:18Z,80.76152,R+81,Hice +81,republican,GA-G-H-10-2020-11-03,ga-house-general-district-010-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-10.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 10,U.S. House,H,solid-rep,10,District 10,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",378169,302551,25,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,197,201,98% reporting,98%,94,404000,edison,94%,94% reported,edison,republican,FALSE,2020-11-11T03:25:54Z,TRUE,24.59192,92999,R+25,Hice +25,republican,"A small number of absentee, provisional and overseas military ballots remain uncounted. The secretary of state said Friday that because of the small margin between the presidential candidates, there will be a recount.","A small number of absentee, provisional and overseas military ballots remain uncounted. The secretary of state said Friday that because of the small margin between the presidential candidates, there will be a recount.",0,0,1604456222921
13133,Greene,11056,9635,5,5,Released as a precinct as first report of the night,100,11043,>98%,>98% reported,edison,6,all,8130,7379,3677,0,6506,3129,0,2020-11-11T03:27:00Z,33.48408,R+33,Hice +33,republican,GA-G-H-10-2020-11-03,ga-house-general-district-010-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-10.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 10,U.S. House,H,solid-rep,10,District 10,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",378169,302551,25,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,197,201,98% reporting,98%,94,404000,edison,94%,94% reported,edison,republican,FALSE,2020-11-11T03:25:54Z,TRUE,24.59192,92999,R+25,Hice +25,republican,"A small number of absentee, provisional and overseas military ballots remain uncounted. The secretary of state said Friday that because of the small margin between the presidential candidates, there will be a recount.","A small number of absentee, provisional and overseas military ballots remain uncounted. The secretary of state said Friday that because of the small margin between the presidential candidates, there will be a recount.",0,0,1604456222921
13135,Gwinnett,42644,35797,16,16,Released with cumulative results periodically election night,100,42195,>98%,>98% reported,edison,2,unknown,177474,23283,19361,0,18936,16861,0,2020-11-11T03:26:59Z,9.19707,R+9,Hice +9,republican,GA-G-H-10-2020-11-03,ga-house-general-district-010-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-10.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 10,U.S. House,H,solid-rep,10,District 10,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",378169,302551,25,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,197,201,98% reporting,98%,94,404000,edison,94%,94% reported,edison,republican,FALSE,2020-11-11T03:25:54Z,TRUE,24.59192,92999,R+25,Hice +25,republican,"A small number of absentee, provisional and overseas military ballots remain uncounted. The secretary of state said Friday that because of the small margin between the presidential candidates, there will be a recount.","A small number of absentee, provisional and overseas military ballots remain uncounted. The secretary of state said Friday that because of the small margin between the presidential candidates, there will be a recount.",0,0,1604456222921
13141,Hancock,3977,3112,10,10,None,87,4582,87%,87% reported,edison,2,unknown,2875,1162,2815,0,891,2221,0,2020-11-11T03:26:13Z,41.56399,D+42,Johnson-Green +42,democrat,GA-G-H-10-2020-11-03,ga-house-general-district-010-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-10.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 10,U.S. House,H,solid-rep,10,District 10,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",378169,302551,25,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,197,201,98% reporting,98%,94,404000,edison,94%,94% reported,edison,republican,FALSE,2020-11-11T03:25:54Z,TRUE,24.59192,92999,R+25,Hice +25,republican,"A small number of absentee, provisional and overseas military ballots remain uncounted. The secretary of state said Friday that because of the small margin between the presidential candidates, there will be a recount.","A small number of absentee, provisional and overseas military ballots remain uncounted. The secretary of state said Friday that because of the small margin between the presidential candidates, there will be a recount.",0,0,1604456222921
13151,Henry,28595,23167,11,11,Other,96,29836,96%,96% reported,edison,2,unknown,101421,18015,10580,0,14014,9153,0,2020-11-11T03:26:28Z,26.00105,R+26,Hice +26,republican,GA-G-H-10-2020-11-03,ga-house-general-district-010-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-10.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 10,U.S. House,H,solid-rep,10,District 10,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",378169,302551,25,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,197,201,98% reporting,98%,94,404000,edison,94%,94% reported,edison,republican,FALSE,2020-11-11T03:25:54Z,TRUE,24.59192,92999,R+25,Hice +25,republican,"A small number of absentee, provisional and overseas military ballots remain uncounted. The secretary of state said Friday that because of the small margin between the presidential candidates, there will be a recount.","A small number of absentee, provisional and overseas military ballots remain uncounted. The secretary of state said Friday that because of the small margin between the presidential candidates, there will be a recount.",0,0,1604456222921
