fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,results_blumenauere,results_harbourj,results_solomonj,results_diblasia,results_absentee_blumenauere,results_absentee_harbourj,results_absentee_solomonj,results_absentee_diblasia,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
41005,Clackamas,62101,0,30,30,Other,100,58061,>98%,>98% reported,edison,2,some,26256,34097,1094,654,0,0,0,0,2020-11-11T03:26:23Z,12.62621,R+13,Harbour +13,republican,OR-G-H-3-2020-11-03,or-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oregon-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oregon.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-oregon.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-oregon.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-dem,3,District 3,OR,oregon,Oregon,Ore.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",466896,0,unknown,Most polls close at 11 p.m. Eastern time.,Most polls close in,Most polls have closed.,2020-11-04T04:00:00.000Z,11 p.m.,132,132,100% reporting,100%,99,455000,edison,>98%,>98% reported,edison,democrat,FALSE,2020-11-11T03:26:20Z,TRUE,49.79524,232492,D+50,Blumenauer +50,democrat,"","",0,0,1604462799451
41051,Multnomah,404795,0,102,102,Other,100,397031,>98%,>98% reported,edison,2,some,315667,75334,5679,8115,0,0,0,0,2020-11-11T03:26:23Z,59.37153,D+59,Blumenauer +59,democrat,OR-G-H-3-2020-11-03,or-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oregon-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oregon.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-oregon.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-oregon.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-dem,3,District 3,OR,oregon,Oregon,Ore.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",466896,0,unknown,Most polls close at 11 p.m. Eastern time.,Most polls close in,Most polls have closed.,2020-11-04T04:00:00.000Z,11 p.m.,132,132,100% reporting,100%,99,455000,edison,>98%,>98% reported,edison,democrat,FALSE,2020-11-11T03:26:20Z,TRUE,49.79524,232492,D+50,Blumenauer +50,democrat,"","",0,0,1604462799451
