fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_loudermilkb,results_barrettd,results_write_ins,results_absentee_loudermilkb,results_absentee_barrettd,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,state_aspect_ratio_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
13015,Bartow,49592,37176,17,17,None,98,50312,98%,98% reported,edison,4,unknown,25757,38023,11520,49,27803,9373,0,2020-11-11T03:26:35Z,53.44209,R+53,Loudermilk +53,republican,GA-G-H-11-2020-11-03,ga-house-general-district-011-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-11.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 11,U.S. House,H,solid-rep,11,District 11,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",405988,326579,4,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,149,149,100% reporting,100%,96,422000,edison,96%,96% reported,edison,republican,FALSE,2020-11-11T03:26:00Z,TRUE,20.84668,84635,R+21,Loudermilk +21,republican,"A small number of absentee, provisional and overseas military ballots remain uncounted. The secretary of state said Friday that because of the small margin between the presidential candidates, there will be a recount.","A small number of absentee, provisional and overseas military ballots remain uncounted. The secretary of state said Friday that because of the small margin between the presidential candidates, there will be a recount.",0,0,1604460860468
13057,Cherokee,141772,111308,42,42,Released as a separate subtotal as first report of the night,100,141946,>98%,>98% reported,edison,4,unknown,90723,102280,39492,0,77923,33385,0,2020-11-11T03:26:37Z,44.28801,R+44,Loudermilk +44,republican,GA-G-H-11-2020-11-03,ga-house-general-district-011-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-11.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 11,U.S. House,H,solid-rep,11,District 11,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",405988,326579,4,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,149,149,100% reporting,100%,96,422000,edison,96%,96% reported,edison,republican,FALSE,2020-11-11T03:26:00Z,TRUE,20.84668,84635,R+21,Loudermilk +21,republican,"A small number of absentee, provisional and overseas military ballots remain uncounted. The secretary of state said Friday that because of the small margin between the presidential candidates, there will be a recount.","A small number of absentee, provisional and overseas military ballots remain uncounted. The secretary of state said Friday that because of the small margin between the presidential candidates, there will be a recount.",0,0,1604460860468
13067,Cobb,186420,152461,69,69,Merged into voters' home precincts and released with cumulative results,93,200033,93%,93% reported,edison,4,unknown,202586,89654,96659,107,70231,82230,0,2020-11-11T03:26:36Z,3.75764,D+4,Barrett +4,democrat,GA-G-H-11-2020-11-03,ga-house-general-district-011-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-11.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 11,U.S. House,H,solid-rep,11,District 11,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",405988,326579,4,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,149,149,100% reporting,100%,96,422000,edison,96%,96% reported,edison,republican,FALSE,2020-11-11T03:26:00Z,TRUE,20.84668,84635,R+21,Loudermilk +21,republican,"A small number of absentee, provisional and overseas military ballots remain uncounted. The secretary of state said Friday that because of the small margin between the presidential candidates, there will be a recount.","A small number of absentee, provisional and overseas military ballots remain uncounted. The secretary of state said Friday that because of the small margin between the presidential candidates, there will be a recount.",0,0,1604460860468
13121,Fulton,28253,25634,21,21,Released as a precinct as first report of the night,100,23995,>98%,>98% reported,edison,4,unknown,262589,15301,12952,0,13505,12129,0,2020-11-11T03:26:38Z,8.31416,R+8,Loudermilk +8,republican,GA-G-H-11-2020-11-03,ga-house-general-district-011-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-11.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 11,U.S. House,H,solid-rep,11,District 11,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",405988,326579,4,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,149,149,100% reporting,100%,96,422000,edison,96%,96% reported,edison,republican,FALSE,2020-11-11T03:26:00Z,TRUE,20.84668,84635,R+21,Loudermilk +21,republican,"A small number of absentee, provisional and overseas military ballots remain uncounted. The secretary of state said Friday that because of the small margin between the presidential candidates, there will be a recount.","A small number of absentee, provisional and overseas military ballots remain uncounted. The secretary of state said Friday that because of the small margin between the presidential candidates, there will be a recount.",0,0,1604460860468
