fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_gimenezc,results_mucarsel_powelld,results_absentee_gimenezc,results_absentee_mucarsel_powelld,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,nyt_race_description_race,race_rating_race,nyt_key_race_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,state_aspect_ratio_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
12086,Miami-Dade,295659,293957,209,216,Released as a separate subtotal as first report of the night,97,305966,97%,97% reported,edison,4,some,773122,151663,143996,150921,143036,2020-11-11T03:25:49Z,2.59319,R+3,Gimenez +3,republican,FL-G-H-26-2020-11-03,fl-house-general-district-026-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida-house-district-26.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-florida.html,house,general,2020-11-03,FALSE,U.S. House District 26,U.S. House,H,"Representative Debbie Mucarsel-Powell, a Democrat who unseated a Republican incumbent in the 2018 midterm elections, is running for a second term in a competitive district that includes Monroe County and part of Miami-Dade County. She faces a challenge from Mayor Carlos Gimenez of Miami-Dade County.",lean-dem,TRUE,26,District 26,FL,florida,Florida,Fla.,vertical,1,"",FALSE,TRUE,winner,AP,TRUE,democrat,342588,330661,2,unknown,First polls close at 7 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,242,249,97% reporting,97%,99,359000,edison,>98%,>98% reported,edison,democrat,FALSE,2020-11-11T03:26:17Z,TRUE,3.45429,11834,R+3,Gimenez +3,republican,"","",0,0,1604459490995
12087,Monroe,46929,36704,33,33,Released as a precinct as first report of the night,89,52673,89%,89% reported,edison,2,some,39814,25548,21381,18598,18106,2020-11-11T03:25:50Z,8.87937,R+9,Gimenez +9,republican,FL-G-H-26-2020-11-03,fl-house-general-district-026-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida-house-district-26.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-florida.html,house,general,2020-11-03,FALSE,U.S. House District 26,U.S. House,H,"Representative Debbie Mucarsel-Powell, a Democrat who unseated a Republican incumbent in the 2018 midterm elections, is running for a second term in a competitive district that includes Monroe County and part of Miami-Dade County. She faces a challenge from Mayor Carlos Gimenez of Miami-Dade County.",lean-dem,TRUE,26,District 26,FL,florida,Florida,Fla.,vertical,1,"",FALSE,TRUE,winner,AP,TRUE,democrat,342588,330661,2,unknown,First polls close at 7 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,242,249,97% reporting,97%,99,359000,edison,>98%,>98% reported,edison,democrat,FALSE,2020-11-11T03:26:17Z,TRUE,3.45429,11834,R+3,Gimenez +3,republican,"","",0,0,1604459490995
