fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_arringtonj,results_watsont,results_burnesj,results_absentee_arringtonj,results_absentee_watsont,results_absentee_burnesj,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
48207,Haskell,2197,1373,5,5,Released as a precinct as first report of the night,96,2277,96%,96% reported,edison,2,unknown,1208,1850,324,23,1142,222,9,2020-11-11T03:27:06Z,69.45835,R+69,Arrington +69,republican,TX-G-H-19-2020-11-03,tx-house-general-district-019-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-19.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 19,U.S. House,H,solid-rep,19,District 19,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",263935,219096,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,341,391,87% reporting,87%,89,295000,edison,89%,89% reported,edison,republican,FALSE,2020-11-11T03:26:42Z,TRUE,52.02379,137309,R+52,Arrington +52,republican,"","",1,0,1604459431237
48219,Hockley,8018,6268,13,15,Released as a precinct as first report of the night,85,9418,85%,85% reported,edison,2,unknown,6866,6620,1263,135,5181,1002,85,2020-11-11T03:27:07Z,66.81217,R+67,Arrington +67,republican,TX-G-H-19-2020-11-03,tx-house-general-district-019-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-19.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 19,U.S. House,H,solid-rep,19,District 19,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",263935,219096,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,341,391,87% reporting,87%,89,295000,edison,89%,89% reported,edison,republican,FALSE,2020-11-11T03:26:42Z,TRUE,52.02379,137309,R+52,Arrington +52,republican,"","",1,0,1604459431237
48227,Howard,9722,8083,23,27,Released as a precinct as first report of the night,87,11217,87%,87% reported,edison,2,unknown,8479,7695,1821,206,6402,1536,145,2020-11-11T03:27:07Z,60.41967,R+60,Arrington +60,republican,TX-G-H-19-2020-11-03,tx-house-general-district-019-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-19.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 19,U.S. House,H,solid-rep,19,District 19,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",263935,219096,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,341,391,87% reporting,87%,89,295000,edison,89%,89% reported,edison,republican,FALSE,2020-11-11T03:26:42Z,TRUE,52.02379,137309,R+52,Arrington +52,republican,"","",1,0,1604459431237
48253,Jones,6568,4312,10,12,Released as a precinct as first report of the night,86,7660,86%,86% reported,edison,2,unknown,3234,5610,858,100,3636,625,51,2020-11-11T03:27:06Z,72.35079,R+72,Arrington +72,republican,TX-G-H-19-2020-11-03,tx-house-general-district-019-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-19.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 19,U.S. House,H,solid-rep,19,District 19,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",263935,219096,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,341,391,87% reporting,87%,89,295000,edison,89%,89% reported,edison,republican,FALSE,2020-11-11T03:26:42Z,TRUE,52.02379,137309,R+52,Arrington +52,republican,"","",1,0,1604459431237
48263,Kent,446,310,6,7,Released as a precinct as first report of the night,80,559,80%,80% reported,edison,2,unknown,353,395,47,4,264,44,2,2020-11-11T03:27:07Z,78.02691,R+78,Arrington +78,republican,TX-G-H-19-2020-11-03,tx-house-general-district-019-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-19.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 19,U.S. House,H,solid-rep,19,District 19,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",263935,219096,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,341,391,87% reporting,87%,89,295000,edison,89%,89% reported,edison,republican,FALSE,2020-11-11T03:26:42Z,TRUE,52.02379,137309,R+52,Arrington +52,republican,"","",1,0,1604459431237
48279,Lamb,4371,3075,10,12,Released as a precinct as first report of the night,85,5128,85%,85% reported,edison,2,unknown,2723,3574,732,65,2511,528,36,2020-11-11T03:27:08Z,65.01945,R+65,Arrington +65,republican,TX-G-H-19-2020-11-03,tx-house-general-district-019-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-19.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 19,U.S. House,H,solid-rep,19,District 19,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",263935,219096,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,341,391,87% reporting,87%,89,295000,edison,89%,89% reported,edison,republican,FALSE,2020-11-11T03:26:42Z,TRUE,52.02379,137309,R+52,Arrington +52,republican,"","",1,0,1604459431237
48303,Lubbock,117473,103768,91,98,Released as a precinct as first report of the night,100,117473,>98%,>98% reported,edison,6,some,108791,80407,33737,3329,71304,29907,2557,2020-11-11T03:26:51Z,39.72828,R+40,Arrington +40,republican,TX-G-H-19-2020-11-03,tx-house-general-district-019-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-19.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 19,U.S. House,H,solid-rep,19,District 19,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",263935,219096,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,341,391,87% reporting,87%,89,295000,edison,89%,89% reported,edison,republican,FALSE,2020-11-11T03:26:42Z,TRUE,52.02379,137309,R+52,Arrington +52,republican,"","",1,0,1604459431237
48305,Lynn,2269,2269,13,15,Released as a precinct as first report of the night,88,2576,88%,88% reported,edison,2,unknown,1615,1905,364,0,1905,364,0,2020-11-11T03:26:52Z,67.91538,R+68,Arrington +68,republican,TX-G-H-19-2020-11-03,tx-house-general-district-019-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-19.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 19,U.S. House,H,solid-rep,19,District 19,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",263935,219096,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,341,391,87% reporting,87%,89,295000,edison,89%,89% reported,edison,republican,FALSE,2020-11-11T03:26:42Z,TRUE,52.02379,137309,R+52,Arrington +52,republican,"","",1,0,1604459431237
48353,Nolan,5280,3512,9,10,Released as a precinct as first report of the night,86,6121,86%,86% reported,edison,2,unknown,3284,4180,1026,74,2730,749,33,2020-11-11T03:26:53Z,59.73485,R+60,Arrington +60,republican,TX-G-H-19-2020-11-03,tx-house-general-district-019-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-19.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 19,U.S. House,H,solid-rep,19,District 19,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",263935,219096,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,341,391,87% reporting,87%,89,295000,edison,89%,89% reported,edison,republican,FALSE,2020-11-11T03:26:42Z,TRUE,52.02379,137309,R+52,Arrington +52,republican,"","",1,0,1604459431237
48369,Parmer,2616,1295,8,10,Released as a precinct as first report of the night,82,3172,82%,82% reported,edison,2,unknown,1526,2138,433,45,1110,179,6,2020-11-11T03:26:53Z,65.17584,R+65,Arrington +65,republican,TX-G-H-19-2020-11-03,tx-house-general-district-019-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-19.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 19,U.S. House,H,solid-rep,19,District 19,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",263935,219096,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,341,391,87% reporting,87%,89,295000,edison,89%,89% reported,edison,republican,FALSE,2020-11-11T03:26:42Z,TRUE,52.02379,137309,R+52,Arrington +52,republican,"","",1,0,1604459431237
