fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_gonzalest,results_ortiz_jonesg,results_villelab,results_absentee_gonzalest,results_absentee_ortiz_jonesg,results_absentee_villelab,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,nyt_race_description_race,race_rating_race,nyt_key_race_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
48243,Jeff Davis,1282,1018,5,6,Released as a precinct as first report of the night,83,1541,83%,83% reported,edison,2,unknown,1320,768,489,25,601,400,17,2020-11-11T03:27:02Z,21.76287,R+22,Gonzales +22,republican,TX-G-H-23-2020-11-03,tx-house-general-district-023-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-23.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 23,U.S. House,H,"This majority-Hispanic congressional district has been a hard-fought battleground for Democrats and Republicans for decades, and <a href=""https://www.nytimes.com/2019/08/01/us/politics/will-hurd-retires.html"">the incumbent Will Hurd</a>, the only Black Republican in the House, is retiring. Gina Ortiz Jones, a former Air Force intelligence officer, is back on the Democratic ticket after losing a tight race to Mr. Hurd in 2018. She now faces Tony Gonzales, a Navy veteran. ",lean-dem,TRUE,23,District 23,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",305826,257432,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,336,367,92% reporting,92%,99,304000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-11T03:26:47Z,FALSE,3.04487,9312,R+3,Gonzales +3,republican,"","",1,0,1604477644793
48271,Kinney,1549,1294,3,4,Released as a precinct as first report of the night,83,1867,83%,83% reported,edison,2,unknown,1498,1088,420,41,904,361,29,2020-11-11T03:27:03Z,43.1246,R+43,Gonzales +43,republican,TX-G-H-23-2020-11-03,tx-house-general-district-023-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-23.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 23,U.S. House,H,"This majority-Hispanic congressional district has been a hard-fought battleground for Democrats and Republicans for decades, and <a href=""https://www.nytimes.com/2019/08/01/us/politics/will-hurd-retires.html"">the incumbent Will Hurd</a>, the only Black Republican in the House, is retiring. Gina Ortiz Jones, a former Air Force intelligence officer, is back on the Democratic ticket after losing a tight race to Mr. Hurd in 2018. She now faces Tony Gonzales, a Navy veteran. ",lean-dem,TRUE,23,District 23,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",305826,257432,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,336,367,92% reporting,92%,99,304000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-11T03:26:47Z,FALSE,3.04487,9312,R+3,Gonzales +3,republican,"","",1,0,1604477644793
48283,La Salle,1955,1441,3,4,Released as a precinct as first report of the night,83,2368,83%,83% reported,edison,2,unknown,1195,942,964,49,697,716,28,2020-11-11T03:27:04Z,1.12532,D+1.1,Ortiz Jones +1.1,democrat,TX-G-H-23-2020-11-03,tx-house-general-district-023-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-23.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 23,U.S. House,H,"This majority-Hispanic congressional district has been a hard-fought battleground for Democrats and Republicans for decades, and <a href=""https://www.nytimes.com/2019/08/01/us/politics/will-hurd-retires.html"">the incumbent Will Hurd</a>, the only Black Republican in the House, is retiring. Gina Ortiz Jones, a former Air Force intelligence officer, is back on the Democratic ticket after losing a tight race to Mr. Hurd in 2018. She now faces Tony Gonzales, a Navy veteran. ",lean-dem,TRUE,23,District 23,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",305826,257432,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,336,367,92% reporting,92%,99,304000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-11T03:26:47Z,FALSE,3.04487,9312,R+3,Gonzales +3,republican,"","",1,0,1604477644793
48301,Loving,62,41,4,5,Released as a precinct as first report of the night,73,85,73%,73% reported,edison,2,unknown,56,53,6,3,36,4,1,2020-11-11T03:27:03Z,75.80645,R+76,Gonzales +76,republican,TX-G-H-23-2020-11-03,tx-house-general-district-023-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-23.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 23,U.S. House,H,"This majority-Hispanic congressional district has been a hard-fought battleground for Democrats and Republicans for decades, and <a href=""https://www.nytimes.com/2019/08/01/us/politics/will-hurd-retires.html"">the incumbent Will Hurd</a>, the only Black Republican in the House, is retiring. Gina Ortiz Jones, a former Air Force intelligence officer, is back on the Democratic ticket after losing a tight race to Mr. Hurd in 2018. She now faces Tony Gonzales, a Navy veteran. ",lean-dem,TRUE,23,District 23,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",305826,257432,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,336,367,92% reporting,92%,99,304000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-11T03:26:47Z,FALSE,3.04487,9312,R+3,Gonzales +3,republican,"","",1,0,1604477644793
48323,Maverick,29324,21888,14,14,Released as a precinct as first report of the night,100,17800,>98%,>98% reported,edison,2,unknown,9456,11538,17088,698,8130,13276,482,2020-11-11T03:27:03Z,18.92648,D+19,Ortiz Jones +19,democrat,TX-G-H-23-2020-11-03,tx-house-general-district-023-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-23.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 23,U.S. House,H,"This majority-Hispanic congressional district has been a hard-fought battleground for Democrats and Republicans for decades, and <a href=""https://www.nytimes.com/2019/08/01/us/politics/will-hurd-retires.html"">the incumbent Will Hurd</a>, the only Black Republican in the House, is retiring. Gina Ortiz Jones, a former Air Force intelligence officer, is back on the Democratic ticket after losing a tight race to Mr. Hurd in 2018. She now faces Tony Gonzales, a Navy veteran. ",lean-dem,TRUE,23,District 23,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",305826,257432,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,336,367,92% reporting,92%,99,304000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-11T03:26:47Z,FALSE,3.04487,9312,R+3,Gonzales +3,republican,"","",1,0,1604477644793
48325,Medina,22150,19577,8,8,Released as a precinct as first report of the night,98,22569,98%,98% reported,edison,2,unknown,18044,15592,6093,465,13837,5381,359,2020-11-11T03:27:03Z,42.88488,R+43,Gonzales +43,republican,TX-G-H-23-2020-11-03,tx-house-general-district-023-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-23.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 23,U.S. House,H,"This majority-Hispanic congressional district has been a hard-fought battleground for Democrats and Republicans for decades, and <a href=""https://www.nytimes.com/2019/08/01/us/politics/will-hurd-retires.html"">the incumbent Will Hurd</a>, the only Black Republican in the House, is retiring. Gina Ortiz Jones, a former Air Force intelligence officer, is back on the Democratic ticket after losing a tight race to Mr. Hurd in 2018. She now faces Tony Gonzales, a Navy veteran. ",lean-dem,TRUE,23,District 23,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",305826,257432,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,336,367,92% reporting,92%,99,304000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-11T03:26:47Z,FALSE,3.04487,9312,R+3,Gonzales +3,republican,"","",1,0,1604477644793
48371,Pecos,4615,3829,8,10,Released as a precinct as first report of the night,84,5469,84%,84% reported,edison,2,some,4379,2934,1538,143,2454,1280,95,2020-11-11T03:26:59Z,30.24919,R+30,Gonzales +30,republican,TX-G-H-23-2020-11-03,tx-house-general-district-023-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-23.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 23,U.S. House,H,"This majority-Hispanic congressional district has been a hard-fought battleground for Democrats and Republicans for decades, and <a href=""https://www.nytimes.com/2019/08/01/us/politics/will-hurd-retires.html"">the incumbent Will Hurd</a>, the only Black Republican in the House, is retiring. Gina Ortiz Jones, a former Air Force intelligence officer, is back on the Democratic ticket after losing a tight race to Mr. Hurd in 2018. She now faces Tony Gonzales, a Navy veteran. ",lean-dem,TRUE,23,District 23,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",305826,257432,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,336,367,92% reporting,92%,99,304000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-11T03:26:47Z,FALSE,3.04487,9312,R+3,Gonzales +3,republican,"","",1,0,1604477644793
48377,Presidio,2074,1673,6,8,Released as a precinct as first report of the night,72,2886,72%,72% reported,edison,2,unknown,1723,603,1412,59,455,1176,42,2020-11-11T03:27:00Z,39.00675,D+39,Ortiz Jones +39,democrat,TX-G-H-23-2020-11-03,tx-house-general-district-023-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-23.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 23,U.S. House,H,"This majority-Hispanic congressional district has been a hard-fought battleground for Democrats and Republicans for decades, and <a href=""https://www.nytimes.com/2019/08/01/us/politics/will-hurd-retires.html"">the incumbent Will Hurd</a>, the only Black Republican in the House, is retiring. Gina Ortiz Jones, a former Air Force intelligence officer, is back on the Democratic ticket after losing a tight race to Mr. Hurd in 2018. She now faces Tony Gonzales, a Navy veteran. ",lean-dem,TRUE,23,District 23,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",305826,257432,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,336,367,92% reporting,92%,99,304000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-11T03:26:47Z,FALSE,3.04487,9312,R+3,Gonzales +3,republican,"","",1,0,1604477644793
48383,Reagan,1075,859,5,5,Released as a precinct as first report of the night,91,1179,91%,91% reported,edison,2,unknown,756,878,173,24,705,139,15,2020-11-11T03:27:02Z,65.5814,R+66,Gonzales +66,republican,TX-G-H-23-2020-11-03,tx-house-general-district-023-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-23.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 23,U.S. House,H,"This majority-Hispanic congressional district has been a hard-fought battleground for Democrats and Republicans for decades, and <a href=""https://www.nytimes.com/2019/08/01/us/politics/will-hurd-retires.html"">the incumbent Will Hurd</a>, the only Black Republican in the House, is retiring. Gina Ortiz Jones, a former Air Force intelligence officer, is back on the Democratic ticket after losing a tight race to Mr. Hurd in 2018. She now faces Tony Gonzales, a Navy veteran. ",lean-dem,TRUE,23,District 23,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",305826,257432,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,336,367,92% reporting,92%,99,304000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-11T03:26:47Z,FALSE,3.04487,9312,R+3,Gonzales +3,republican,"","",1,0,1604477644793
48389,Reeves,3471,2567,10,12,Released as a precinct as first report of the night,83,4171,83%,83% reported,edison,2,unknown,2241,1841,1502,128,1289,1191,87,2020-11-11T03:27:00Z,9.76664,R+10,Gonzales +10,republican,TX-G-H-23-2020-11-03,tx-house-general-district-023-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-23.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 23,U.S. House,H,"This majority-Hispanic congressional district has been a hard-fought battleground for Democrats and Republicans for decades, and <a href=""https://www.nytimes.com/2019/08/01/us/politics/will-hurd-retires.html"">the incumbent Will Hurd</a>, the only Black Republican in the House, is retiring. Gina Ortiz Jones, a former Air Force intelligence officer, is back on the Democratic ticket after losing a tight race to Mr. Hurd in 2018. She now faces Tony Gonzales, a Navy veteran. ",lean-dem,TRUE,23,District 23,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",305826,257432,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,336,367,92% reporting,92%,99,304000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-11T03:26:47Z,FALSE,3.04487,9312,R+3,Gonzales +3,republican,"","",1,0,1604477644793
48413,Schleicher,1128,885,4,5,Released as a precinct as first report of the night,82,1383,82%,82% reported,edison,2,unknown,1035,915,200,13,719,156,10,2020-11-11T03:27:04Z,63.38652,R+63,Gonzales +63,republican,TX-G-H-23-2020-11-03,tx-house-general-district-023-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-23.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 23,U.S. House,H,"This majority-Hispanic congressional district has been a hard-fought battleground for Democrats and Republicans for decades, and <a href=""https://www.nytimes.com/2019/08/01/us/politics/will-hurd-retires.html"">the incumbent Will Hurd</a>, the only Black Republican in the House, is retiring. Gina Ortiz Jones, a former Air Force intelligence officer, is back on the Democratic ticket after losing a tight race to Mr. Hurd in 2018. She now faces Tony Gonzales, a Navy veteran. ",lean-dem,TRUE,23,District 23,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",305826,257432,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,336,367,92% reporting,92%,99,304000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-11T03:26:47Z,FALSE,3.04487,9312,R+3,Gonzales +3,republican,"","",1,0,1604477644793
48435,Sutton,1543,1316,4,5,Released as a precinct as first report of the night,83,1854,83%,83% reported,edison,2,unknown,1807,1221,303,19,1049,255,12,2020-11-11T03:27:00Z,59.49449,R+59,Gonzales +59,republican,TX-G-H-23-2020-11-03,tx-house-general-district-023-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-23.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 23,U.S. House,H,"This majority-Hispanic congressional district has been a hard-fought battleground for Democrats and Republicans for decades, and <a href=""https://www.nytimes.com/2019/08/01/us/politics/will-hurd-retires.html"">the incumbent Will Hurd</a>, the only Black Republican in the House, is retiring. Gina Ortiz Jones, a former Air Force intelligence officer, is back on the Democratic ticket after losing a tight race to Mr. Hurd in 2018. She now faces Tony Gonzales, a Navy veteran. ",lean-dem,TRUE,23,District 23,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",305826,257432,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,336,367,92% reporting,92%,99,304000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-11T03:26:47Z,FALSE,3.04487,9312,R+3,Gonzales +3,republican,"","",1,0,1604477644793
48443,Terrell,454,356,4,5,Released as a precinct as first report of the night,79,574,79%,79% reported,edison,2,unknown,648,323,126,5,247,105,4,2020-11-11T03:27:01Z,43.39207,R+43,Gonzales +43,republican,TX-G-H-23-2020-11-03,tx-house-general-district-023-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-23.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 23,U.S. House,H,"This majority-Hispanic congressional district has been a hard-fought battleground for Democrats and Republicans for decades, and <a href=""https://www.nytimes.com/2019/08/01/us/politics/will-hurd-retires.html"">the incumbent Will Hurd</a>, the only Black Republican in the House, is retiring. Gina Ortiz Jones, a former Air Force intelligence officer, is back on the Democratic ticket after losing a tight race to Mr. Hurd in 2018. She now faces Tony Gonzales, a Navy veteran. ",lean-dem,TRUE,23,District 23,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",305826,257432,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,336,367,92% reporting,92%,99,304000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-11T03:26:47Z,FALSE,3.04487,9312,R+3,Gonzales +3,republican,"","",1,0,1604477644793
48461,Upton,1342,1044,4,5,Released as a precinct as first report of the night,76,1762,76%,76% reported,edison,2,unknown,1421,1119,192,31,875,141,28,2020-11-11T03:27:01Z,69.07601,R+69,Gonzales +69,republican,TX-G-H-23-2020-11-03,tx-house-general-district-023-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-23.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 23,U.S. House,H,"This majority-Hispanic congressional district has been a hard-fought battleground for Democrats and Republicans for decades, and <a href=""https://www.nytimes.com/2019/08/01/us/politics/will-hurd-retires.html"">the incumbent Will Hurd</a>, the only Black Republican in the House, is retiring. Gina Ortiz Jones, a former Air Force intelligence officer, is back on the Democratic ticket after losing a tight race to Mr. Hurd in 2018. She now faces Tony Gonzales, a Navy veteran. ",lean-dem,TRUE,23,District 23,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",305826,257432,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,336,367,92% reporting,92%,99,304000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-11T03:26:47Z,FALSE,3.04487,9312,R+3,Gonzales +3,republican,"","",1,0,1604477644793
48463,Uvalde,10154,8082,12,14,Released as a precinct as first report of the night,87,11721,87%,87% reported,edison,2,unknown,10291,6026,3900,228,4596,3324,162,2020-11-11T03:27:01Z,20.93756,R+21,Gonzales +21,republican,TX-G-H-23-2020-11-03,tx-house-general-district-023-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-23.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 23,U.S. House,H,"This majority-Hispanic congressional district has been a hard-fought battleground for Democrats and Republicans for decades, and <a href=""https://www.nytimes.com/2019/08/01/us/politics/will-hurd-retires.html"">the incumbent Will Hurd</a>, the only Black Republican in the House, is retiring. Gina Ortiz Jones, a former Air Force intelligence officer, is back on the Democratic ticket after losing a tight race to Mr. Hurd in 2018. She now faces Tony Gonzales, a Navy veteran. ",lean-dem,TRUE,23,District 23,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",305826,257432,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,336,367,92% reporting,92%,99,304000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-11T03:26:47Z,FALSE,3.04487,9312,R+3,Gonzales +3,republican,"","",1,0,1604477644793
48465,Val Verde,14237,11897,14,17,Released as a precinct as first report of the night,80,17761,80%,80% reported,edison,4,some,12685,7504,6394,339,6241,5398,258,2020-11-11T03:27:01Z,7.79659,R+8,Gonzales +8,republican,TX-G-H-23-2020-11-03,tx-house-general-district-023-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-23.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 23,U.S. House,H,"This majority-Hispanic congressional district has been a hard-fought battleground for Democrats and Republicans for decades, and <a href=""https://www.nytimes.com/2019/08/01/us/politics/will-hurd-retires.html"">the incumbent Will Hurd</a>, the only Black Republican in the House, is retiring. Gina Ortiz Jones, a former Air Force intelligence officer, is back on the Democratic ticket after losing a tight race to Mr. Hurd in 2018. She now faces Tony Gonzales, a Navy veteran. ",lean-dem,TRUE,23,District 23,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",305826,257432,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,336,367,92% reporting,92%,99,304000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-11T03:26:47Z,FALSE,3.04487,9312,R+3,Gonzales +3,republican,"","",1,0,1604477644793
48475,Ward,3957,3052,8,9,Released as a precinct as first report of the night,88,4483,88%,88% reported,edison,2,unknown,3020,3035,833,89,2359,624,69,2020-11-11T03:27:02Z,55.64822,R+56,Gonzales +56,republican,TX-G-H-23-2020-11-03,tx-house-general-district-023-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-23.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 23,U.S. House,H,"This majority-Hispanic congressional district has been a hard-fought battleground for Democrats and Republicans for decades, and <a href=""https://www.nytimes.com/2019/08/01/us/politics/will-hurd-retires.html"">the incumbent Will Hurd</a>, the only Black Republican in the House, is retiring. Gina Ortiz Jones, a former Air Force intelligence officer, is back on the Democratic ticket after losing a tight race to Mr. Hurd in 2018. She now faces Tony Gonzales, a Navy veteran. ",lean-dem,TRUE,23,District 23,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",305826,257432,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,336,367,92% reporting,92%,99,304000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-11T03:26:47Z,FALSE,3.04487,9312,R+3,Gonzales +3,republican,"","",1,0,1604477644793
