fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,results_brindisia,results_tenneyc,results_pricek,results_write_ins,results_absentee_brindisia,results_absentee_tenneyc,results_absentee_pricek,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,nyt_race_description_race,race_rating_race,nyt_key_race_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race
36007,Broome,69934,0,104,139,Merged into voters' home precincts AFTER election night,75,93217,75%,75% reported,edison,4,unknown,35593,32301,1998,42,0,0,0,0,2020-11-11T03:25:02Z,4.7073,D+5,Brindisi +5,democrat,NY-G-H-22-2020-11-03,ny-house-general-district-022-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york-house-district-22.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-new-york.html,house,general,2020-11-03,FALSE,U.S. House District 22,U.S. House,H,"In a rematch of a neck-and-neck race in 2018, Representative Anthony Brindisi, the incumbent Democrat, aims fend off a challenge from Claudia Tenney, the Republican who had held the seat before losing it to Mr. Brindisi <a href=""https://www.nytimes.com/elections/results/new-york-house-district-22"">by less than 5,000 votes</a>. ",tossup,TRUE,22,District 22,NY,new-york,New York,N.Y.,horizontal,"",FALSE,TRUE,"",FALSE,"",256986,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,456,568,80% reporting,80%,80,322000,edison,80%,80% reported,edison,democrat,FALSE,2020-11-11T03:25:07Z,TRUE,11.04613,28387,R+11,Tenney +11,republican,"Only unofficial results from in-person early and Election Day voting were released on election night. Mail ballots, which have until Nov. 10 to arrive if postmarked by Election Day, will be reported in the following days and weeks. It took weeks to finish counting ballots during the state's June primary.",Only unofficial results from in-person early and Election Day voting were released on election night. Mail ballots will be reported in the following days and weeks.,7,0
36017,Chenango,16902,0,24,31,Merged into voters' home precincts AFTER election night,76,22167,76%,76% reported,edison,2,unknown,5958,10420,524,0,0,0,0,0,2020-11-11T03:25:04Z,26.39924,R+26,Tenney +26,republican,NY-G-H-22-2020-11-03,ny-house-general-district-022-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york-house-district-22.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-new-york.html,house,general,2020-11-03,FALSE,U.S. House District 22,U.S. House,H,"In a rematch of a neck-and-neck race in 2018, Representative Anthony Brindisi, the incumbent Democrat, aims fend off a challenge from Claudia Tenney, the Republican who had held the seat before losing it to Mr. Brindisi <a href=""https://www.nytimes.com/elections/results/new-york-house-district-22"">by less than 5,000 votes</a>. ",tossup,TRUE,22,District 22,NY,new-york,New York,N.Y.,horizontal,"",FALSE,TRUE,"",FALSE,"",256986,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,456,568,80% reporting,80%,80,322000,edison,80%,80% reported,edison,democrat,FALSE,2020-11-11T03:25:07Z,TRUE,11.04613,28387,R+11,Tenney +11,republican,"Only unofficial results from in-person early and Election Day voting were released on election night. Mail ballots, which have until Nov. 10 to arrive if postmarked by Election Day, will be reported in the following days and weeks. It took weeks to finish counting ballots during the state's June primary.",Only unofficial results from in-person early and Election Day voting were released on election night. Mail ballots will be reported in the following days and weeks.,7,0
36023,Cortland,16373,0,38,51,Merged into voters' home precincts AFTER election night,74,22202,74%,74% reported,edison,2,unknown,7460,8434,479,0,0,0,0,0,2020-11-11T03:25:04Z,5.94882,R+6,Tenney +6,republican,NY-G-H-22-2020-11-03,ny-house-general-district-022-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york-house-district-22.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-new-york.html,house,general,2020-11-03,FALSE,U.S. House District 22,U.S. House,H,"In a rematch of a neck-and-neck race in 2018, Representative Anthony Brindisi, the incumbent Democrat, aims fend off a challenge from Claudia Tenney, the Republican who had held the seat before losing it to Mr. Brindisi <a href=""https://www.nytimes.com/elections/results/new-york-house-district-22"">by less than 5,000 votes</a>. ",tossup,TRUE,22,District 22,NY,new-york,New York,N.Y.,horizontal,"",FALSE,TRUE,"",FALSE,"",256986,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,456,568,80% reporting,80%,80,322000,edison,80%,80% reported,edison,democrat,FALSE,2020-11-11T03:25:07Z,TRUE,11.04613,28387,R+11,Tenney +11,republican,"Only unofficial results from in-person early and Election Day voting were released on election night. Mail ballots, which have until Nov. 10 to arrive if postmarked by Election Day, will be reported in the following days and weeks. It took weeks to finish counting ballots during the state's June primary.",Only unofficial results from in-person early and Election Day voting were released on election night. Mail ballots will be reported in the following days and weeks.,7,0
36043,Herkimer,20408,0,41,49,Merged into voters' home precincts AFTER election night,84,24349,84%,84% reported,edison,2,unknown,7637,12467,297,7,0,0,0,0,2020-11-11T03:25:05Z,23.66719,R+24,Tenney +24,republican,NY-G-H-22-2020-11-03,ny-house-general-district-022-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york-house-district-22.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-new-york.html,house,general,2020-11-03,FALSE,U.S. House District 22,U.S. House,H,"In a rematch of a neck-and-neck race in 2018, Representative Anthony Brindisi, the incumbent Democrat, aims fend off a challenge from Claudia Tenney, the Republican who had held the seat before losing it to Mr. Brindisi <a href=""https://www.nytimes.com/elections/results/new-york-house-district-22"">by less than 5,000 votes</a>. ",tossup,TRUE,22,District 22,NY,new-york,New York,N.Y.,horizontal,"",FALSE,TRUE,"",FALSE,"",256986,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,456,568,80% reporting,80%,80,322000,edison,80%,80% reported,edison,democrat,FALSE,2020-11-11T03:25:07Z,TRUE,11.04613,28387,R+11,Tenney +11,republican,"Only unofficial results from in-person early and Election Day voting were released on election night. Mail ballots, which have until Nov. 10 to arrive if postmarked by Election Day, will be reported in the following days and weeks. It took weeks to finish counting ballots during the state's June primary.",Only unofficial results from in-person early and Election Day voting were released on election night. Mail ballots will be reported in the following days and weeks.,7,0
36053,Madison,27151,0,43,52,Merged into voters' home precincts AFTER election night,82,32968,82%,82% reported,edison,4,unknown,11226,15360,561,4,0,0,0,0,2020-11-11T03:25:06Z,15.22596,R+15,Tenney +15,republican,NY-G-H-22-2020-11-03,ny-house-general-district-022-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york-house-district-22.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-new-york.html,house,general,2020-11-03,FALSE,U.S. House District 22,U.S. House,H,"In a rematch of a neck-and-neck race in 2018, Representative Anthony Brindisi, the incumbent Democrat, aims fend off a challenge from Claudia Tenney, the Republican who had held the seat before losing it to Mr. Brindisi <a href=""https://www.nytimes.com/elections/results/new-york-house-district-22"">by less than 5,000 votes</a>. ",tossup,TRUE,22,District 22,NY,new-york,New York,N.Y.,horizontal,"",FALSE,TRUE,"",FALSE,"",256986,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,456,568,80% reporting,80%,80,322000,edison,80%,80% reported,edison,democrat,FALSE,2020-11-11T03:25:07Z,TRUE,11.04613,28387,R+11,Tenney +11,republican,"Only unofficial results from in-person early and Election Day voting were released on election night. Mail ballots, which have until Nov. 10 to arrive if postmarked by Election Day, will be reported in the following days and weeks. It took weeks to finish counting ballots during the state's June primary.",Only unofficial results from in-person early and Election Day voting were released on election night. Mail ballots will be reported in the following days and weeks.,7,0
36065,Oneida,83380,0,160,192,Merged into voters' home precincts AFTER election night,83,100088,83%,83% reported,edison,2,unknown,36425,45851,1104,0,0,0,0,0,2020-11-11T03:25:07Z,11.30487,R+11,Tenney +11,republican,NY-G-H-22-2020-11-03,ny-house-general-district-022-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york-house-district-22.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-new-york.html,house,general,2020-11-03,FALSE,U.S. House District 22,U.S. House,H,"In a rematch of a neck-and-neck race in 2018, Representative Anthony Brindisi, the incumbent Democrat, aims fend off a challenge from Claudia Tenney, the Republican who had held the seat before losing it to Mr. Brindisi <a href=""https://www.nytimes.com/elections/results/new-york-house-district-22"">by less than 5,000 votes</a>. ",tossup,TRUE,22,District 22,NY,new-york,New York,N.Y.,horizontal,"",FALSE,TRUE,"",FALSE,"",256986,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,456,568,80% reporting,80%,80,322000,edison,80%,80% reported,edison,democrat,FALSE,2020-11-11T03:25:07Z,TRUE,11.04613,28387,R+11,Tenney +11,republican,"Only unofficial results from in-person early and Election Day voting were released on election night. Mail ballots, which have until Nov. 10 to arrive if postmarked by Election Day, will be reported in the following days and weeks. It took weeks to finish counting ballots during the state's June primary.",Only unofficial results from in-person early and Election Day voting were released on election night. Mail ballots will be reported in the following days and weeks.,7,0
36075,Oswego,18002,0,38,44,Merged into voters' home precincts AFTER election night,86,20915,86%,86% reported,edison,2,unknown,5305,12348,349,0,0,0,0,0,2020-11-11T03:25:08Z,39.12343,R+39,Tenney +39,republican,NY-G-H-22-2020-11-03,ny-house-general-district-022-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york-house-district-22.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-new-york.html,house,general,2020-11-03,FALSE,U.S. House District 22,U.S. House,H,"In a rematch of a neck-and-neck race in 2018, Representative Anthony Brindisi, the incumbent Democrat, aims fend off a challenge from Claudia Tenney, the Republican who had held the seat before losing it to Mr. Brindisi <a href=""https://www.nytimes.com/elections/results/new-york-house-district-22"">by less than 5,000 votes</a>. ",tossup,TRUE,22,District 22,NY,new-york,New York,N.Y.,horizontal,"",FALSE,TRUE,"",FALSE,"",256986,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,456,568,80% reporting,80%,80,322000,edison,80%,80% reported,edison,democrat,FALSE,2020-11-11T03:25:07Z,TRUE,11.04613,28387,R+11,Tenney +11,republican,"Only unofficial results from in-person early and Election Day voting were released on election night. Mail ballots, which have until Nov. 10 to arrive if postmarked by Election Day, will be reported in the following days and weeks. It took weeks to finish counting ballots during the state's June primary.",Only unofficial results from in-person early and Election Day voting were released on election night. Mail ballots will be reported in the following days and weeks.,7,0
36107,Tioga,4840,0,8,10,Merged into voters' home precincts AFTER election night,81,5944,81%,81% reported,edison,2,unknown,1935,2745,159,1,0,0,0,0,2020-11-11T03:25:03Z,16.73554,R+17,Tenney +17,republican,NY-G-H-22-2020-11-03,ny-house-general-district-022-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york-house-district-22.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-new-york.html,house,general,2020-11-03,FALSE,U.S. House District 22,U.S. House,H,"In a rematch of a neck-and-neck race in 2018, Representative Anthony Brindisi, the incumbent Democrat, aims fend off a challenge from Claudia Tenney, the Republican who had held the seat before losing it to Mr. Brindisi <a href=""https://www.nytimes.com/elections/results/new-york-house-district-22"">by less than 5,000 votes</a>. ",tossup,TRUE,22,District 22,NY,new-york,New York,N.Y.,horizontal,"",FALSE,TRUE,"",FALSE,"",256986,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,456,568,80% reporting,80%,80,322000,edison,80%,80% reported,edison,democrat,FALSE,2020-11-11T03:25:07Z,TRUE,11.04613,28387,R+11,Tenney +11,republican,"Only unofficial results from in-person early and Election Day voting were released on election night. Mail ballots, which have until Nov. 10 to arrive if postmarked by Election Day, will be reported in the following days and weeks. It took weeks to finish counting ballots during the state's June primary.",Only unofficial results from in-person early and Election Day voting were released on election night. Mail ballots will be reported in the following days and weeks.,7,0
