fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_letlowl,results_harrisl,results_christophec,results_lemellem,results_guillorya,results_robinsons,results_hastym,results_snowdenp,results_lagardej,results_absentee_letlowl,results_absentee_harrisl,results_absentee_christophec,results_absentee_lemellem,results_absentee_guillorya,results_absentee_robinsons,results_absentee_hastym,results_absentee_snowdenp,results_absentee_lagardej,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
22009,Avoyelles,15556,0,41,49,Released as a separate subtotal as first report of the night,83,18742,83%,83% reported,edison,2,unknown,3747,5483,3466,2406,1187,1098,689,557,347,323,0,0,0,0,0,0,0,0,0,2020-11-11T03:25:54Z,12.96606,R+13,Letlow +13,republican,LA-G-H-5-2020-11-03,la-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-louisiana.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,solid-rep,5,District 5,LA,louisiana,Louisiana,La.,horizontal,"",FALSE,TRUE,runoff,AP,FALSE,"",309556,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,698,824,85% reporting,85%,85,366000,edison,85%,85% reported,edison,republican,FALSE,2020-11-11T03:26:33Z,FALSE,16.56986,51293,R+17,Letlow +17,republican,-1,-1,1604465006357
22021,Caldwell,4441,0,16,19,Released as a separate subtotal as first report of the night,84,5302,84%,84% reported,edison,2,unknown,2117,2550,408,306,196,360,323,159,85,54,0,0,0,0,0,0,0,0,0,2020-11-11T03:25:55Z,48.23238,R+48,Letlow +48,republican,LA-G-H-5-2020-11-03,la-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-louisiana.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,solid-rep,5,District 5,LA,louisiana,Louisiana,La.,horizontal,"",FALSE,TRUE,runoff,AP,FALSE,"",309556,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,698,824,85% reporting,85%,85,366000,edison,85%,85% reported,edison,republican,FALSE,2020-11-11T03:26:33Z,FALSE,16.56986,51293,R+17,Letlow +17,republican,-1,-1,1604465006357
22025,Catahoula,4540,0,21,25,Released as a separate subtotal as first report of the night,83,5487,83%,83% reported,edison,2,unknown,1659,2314,505,720,258,288,145,166,61,83,0,0,0,0,0,0,0,0,0,2020-11-11T03:25:55Z,35.11013,R+35,Letlow +35,republican,LA-G-H-5-2020-11-03,la-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-louisiana.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,solid-rep,5,District 5,LA,louisiana,Louisiana,La.,horizontal,"",FALSE,TRUE,runoff,AP,FALSE,"",309556,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,698,824,85% reporting,85%,85,366000,edison,85%,85% reported,edison,republican,FALSE,2020-11-11T03:26:33Z,FALSE,16.56986,51293,R+17,Letlow +17,republican,-1,-1,1604465006357
22029,Concordia,8067,0,16,20,Released as a separate subtotal as first report of the night,80,10025,80%,80% reported,edison,2,unknown,2875,3611,640,1236,981,598,277,228,306,190,0,0,0,0,0,0,0,0,0,2020-11-11T03:25:56Z,29.44093,R+29,Letlow +29,republican,LA-G-H-5-2020-11-03,la-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-louisiana.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,solid-rep,5,District 5,LA,louisiana,Louisiana,La.,horizontal,"",FALSE,TRUE,runoff,AP,FALSE,"",309556,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,698,824,85% reporting,85%,85,366000,edison,85%,85% reported,edison,republican,FALSE,2020-11-11T03:26:33Z,FALSE,16.56986,51293,R+17,Letlow +17,republican,-1,-1,1604465006357
22035,East Carroll,2724,0,14,17,Released as a separate subtotal as first report of the night,82,3321,82%,82% reported,edison,2,unknown,1030,819,152,707,567,68,78,41,168,124,0,0,0,0,0,0,0,0,0,2020-11-11T03:25:56Z,4.1116,R+4,Letlow +4,republican,LA-G-H-5-2020-11-03,la-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-louisiana.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,solid-rep,5,District 5,LA,louisiana,Louisiana,La.,horizontal,"",FALSE,TRUE,runoff,AP,FALSE,"",309556,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,698,824,85% reporting,85%,85,366000,edison,85%,85% reported,edison,republican,FALSE,2020-11-11T03:26:33Z,FALSE,16.56986,51293,R+17,Letlow +17,republican,-1,-1,1604465006357
22037,East Feliciana,4667,0,10,12,Released as a separate subtotal as first report of the night,83,5600,83%,83% reported,edison,2,unknown,3672,903,399,1705,274,618,202,218,184,164,0,0,0,0,0,0,0,0,0,2020-11-11T03:25:47Z,,–,–,"",LA-G-H-5-2020-11-03,la-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-louisiana.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,solid-rep,5,District 5,LA,louisiana,Louisiana,La.,horizontal,"",FALSE,TRUE,runoff,AP,FALSE,"",309556,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,698,824,85% reporting,85%,85,366000,edison,85%,85% reported,edison,republican,FALSE,2020-11-11T03:26:33Z,FALSE,16.56986,51293,R+17,Letlow +17,republican,-1,-1,1604465006357
22041,Franklin,9122,0,21,24,Released as a separate subtotal as first report of the night,88,10353,88%,88% reported,edison,2,unknown,4117,5435,654,1111,704,334,357,163,190,174,0,0,0,0,0,0,0,0,0,2020-11-11T03:25:57Z,47.40189,R+47,Letlow +47,republican,LA-G-H-5-2020-11-03,la-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-louisiana.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,solid-rep,5,District 5,LA,louisiana,Louisiana,La.,horizontal,"",FALSE,TRUE,runoff,AP,FALSE,"",309556,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,698,824,85% reporting,85%,85,366000,edison,85%,85% reported,edison,republican,FALSE,2020-11-11T03:26:33Z,FALSE,16.56986,51293,R+17,Letlow +17,republican,-1,-1,1604465006357
22043,Grant,8787,0,30,34,Released as a separate subtotal as first report of the night,88,9968,88%,88% reported,edison,2,unknown,2424,2513,3482,695,165,803,318,611,117,83,0,0,0,0,0,0,0,0,0,2020-11-11T03:25:55Z,11.02765,R+11,Harris +11,republican,LA-G-H-5-2020-11-03,la-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-louisiana.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,solid-rep,5,District 5,LA,louisiana,Louisiana,La.,horizontal,"",FALSE,TRUE,runoff,AP,FALSE,"",309556,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,698,824,85% reporting,85%,85,366000,edison,85%,85% reported,edison,republican,FALSE,2020-11-11T03:26:33Z,FALSE,16.56986,51293,R+17,Letlow +17,republican,-1,-1,1604465006357
22049,Jackson,7203,0,26,31,Released as a separate subtotal as first report of the night,85,8434,85%,85% reported,edison,2,unknown,2581,2791,830,819,973,532,667,372,127,92,0,0,0,0,0,0,0,0,0,2020-11-11T03:25:58Z,25.23948,R+25,Letlow +25,republican,LA-G-H-5-2020-11-03,la-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-louisiana.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,solid-rep,5,District 5,LA,louisiana,Louisiana,La.,horizontal,"",FALSE,TRUE,runoff,AP,FALSE,"",309556,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,698,824,85% reporting,85%,85,366000,edison,85%,85% reported,edison,republican,FALSE,2020-11-11T03:26:33Z,FALSE,16.56986,51293,R+17,Letlow +17,republican,-1,-1,1604465006357
22059,LaSalle,6664,0,22,24,Released as a separate subtotal as first report of the night,90,7423,90%,90% reported,edison,2,unknown,2909,3761,1265,387,98,518,247,275,57,56,0,0,0,0,0,0,0,0,0,2020-11-11T03:25:58Z,37.45498,R+37,Letlow +37,republican,LA-G-H-5-2020-11-03,la-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-louisiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-louisiana.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,solid-rep,5,District 5,LA,louisiana,Louisiana,La.,horizontal,"",FALSE,TRUE,runoff,AP,FALSE,"",309556,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,698,824,85% reporting,85%,85,366000,edison,85%,85% reported,edison,republican,FALSE,2020-11-11T03:26:33Z,FALSE,16.56986,51293,R+17,Letlow +17,republican,-1,-1,1604465006357
