fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_de_la_fuenter,results_carrollb,results_la_rivag,results_write_ins,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_de_la_fuenter,results_absentee_carrollb,results_absentee_la_rivag,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
44001,Bristol,28210,0,17,17,,,,,"",edison,,,,,,,18014,9739,326,41,39,38,13,0,0,0,0,0,0,0,2020-11-11T03:25:36Z,29.33357,D+29,Biden +29,democrat,-29.33357,25475,-22.2,24676,-23.27,rhode-island,2020-11-11T12:18:49.663760Z
44003,Kent,92564,0,70,70,,,,,"",edison,,,,,,,49108,41996,1065,164,131,100,0,0,0,0,0,0,0,0,2020-11-11T03:25:58Z,7.68333,D+8,Biden +8,democrat,-7.68333,82053,0.7,78923,-17.74,rhode-island,2020-11-11T12:18:49.663760Z
44005,Newport,45893,0,31,31,,,,,"",edison,,,,,,,29480,15720,504,71,61,57,0,0,0,0,0,0,0,0,2020-11-11T03:25:46Z,29.98279,D+30,Biden +30,democrat,-29.98279,41045,-18.9,39452,-20.94,rhode-island,2020-11-11T12:18:49.663760Z
44007,Providence,271268,0,250,259,,,,,"",edison,,,,,,,164968,102537,2291,497,422,553,0,0,0,0,0,0,0,0,2020-11-11T03:25:43Z,23.01451,D+23,Biden +23,democrat,-23.01451,248474,-20.9,239786,-34.92,rhode-island,2020-11-11T12:18:49.663760Z
44009,Washington,75581,0,44,44,,,,,"",edison,,,,,,,44543,29818,861,150,114,95,0,0,0,0,0,0,0,0,2020-11-11T03:25:44Z,19.48241,D+19,Biden +19,democrat,-19.48241,66369,-9.8,62879,-16.73,rhode-island,2020-11-11T12:18:49.663760Z
