fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_hawkinsh,results_la_rivag,results_kennedya,results_write_ins,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_la_rivag,results_absentee_kennedya,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
53001,Adams,5109,0,30,31,None,93,5512,93%,93% reported,edison,4,all,,,,,1562,3449,71,15,8,4,0,0,0,0,0,0,0,0,2020-11-11T03:26:42Z,36.93482,R+37,Trump +37,republican,36.93482,4782,37.3,4793,34.03,washington,2020-11-11T12:17:38.505774Z
53003,Asotin,11847,0,26,26,None,100,11386,>98%,>98% reported,edison,4,all,,,,,4233,7259,254,35,9,5,52,0,0,0,0,0,0,0,2020-11-11T03:26:42Z,25.54233,R+26,Trump +26,republican,25.54233,9974,26.1,9901,16.68,washington,2020-11-11T12:17:38.505774Z
53005,Benton,101478,0,245,245,None,100,92031,>98%,>98% reported,edison,4,unknown,,,,,38081,59746,2655,344,116,55,481,0,0,0,0,0,0,0,2020-11-11T03:26:42Z,21.34946,R+21,Trump +21,republican,21.34946,83592,24.9,79559,26.79,washington,2020-11-11T12:17:38.505774Z
53007,Chelan,42548,0,91,91,None,100,38387,>98%,>98% reported,edison,4,unknown,,,,,19005,22476,697,145,43,21,161,0,0,0,0,0,0,0,2020-11-11T03:26:42Z,8.15785,R+8,Trump +8,republican,8.15785,34433,14.8,32250,16.4,washington,2020-11-11T12:17:38.505774Z
53009,Clallam,48419,0,67,67,None,100,45376,>98%,>98% reported,edison,4,unknown,,,,,24335,22732,870,230,59,41,152,0,0,0,0,0,0,0,2020-11-11T03:26:42Z,3.31068,D+3,Biden +3,democrat,-3.31068,40533,2.8,38066,-0.38,washington,2020-11-11T12:17:38.505774Z
53011,Clark,272477,0,314,314,None,100,230184,>98%,>98% reported,edison,2,unknown,,,,,139863,125833,5290,1116,236,139,0,0,0,0,0,0,0,0,2020-11-11T03:25:39Z,5.14906,D+5,Biden +5,democrat,-5.14906,208485,-0.2,190805,-0.23,washington,2020-11-11T12:17:38.505774Z
53013,Columbia,2397,0,12,13,None,92,2598,92%,92% reported,edison,2,unknown,,,,,644,1699,46,4,1,3,0,0,0,0,0,0,0,0,2020-11-11T03:25:40Z,44.01335,R+44,Trump +44,republican,44.01335,2229,43.6,2259,40.86,washington,2020-11-11T12:17:38.505774Z
53015,Cowlitz,59608,0,78,78,None,100,52546,>98%,>98% reported,edison,2,unknown,,,,,23802,34215,1261,240,45,45,0,0,0,0,0,0,0,0,2020-11-11T03:25:41Z,17.46913,R+17,Trump +17,republican,17.46913,47142,13.3,44620,-4.44,washington,2020-11-11T12:17:38.505774Z
53017,Douglas,20567,0,47,47,None,100,18500,>98%,>98% reported,edison,2,unknown,,,,,7554,12619,315,55,13,11,0,0,0,0,0,0,0,0,2020-11-11T03:25:43Z,24.62683,R+25,Trump +25,republican,24.62683,15901,29.5,14942,28.5,washington,2020-11-11T12:17:38.505774Z
53019,Ferry,4308,0,19,19,None,100,4141,>98%,>98% reported,edison,4,some,,,,,1465,2735,74,10,5,3,16,0,0,0,0,0,0,0,2020-11-11T03:25:44Z,29.48004,R+29,Trump +29,republican,29.48004,3644,30.3,3440,20.38,washington,2020-11-11T12:17:38.505774Z
53021,Franklin,31972,0,105,105,None,100,27278,>98%,>98% reported,edison,4,some,,,,,13148,17849,673,109,32,22,139,0,0,0,0,0,0,0,2020-11-11T03:25:44Z,14.70349,R+15,Trump +15,republican,14.70349,24614,17.6,22643,23.63,washington,2020-11-11T12:17:38.505774Z
53023,Garfield,1478,0,12,12,None,100,1470,>98%,>98% reported,edison,4,all,,,,,362,1062,42,2,1,1,8,0,0,0,0,0,0,0,2020-11-11T03:25:36Z,47.3613,R+47,Trump +47,republican,47.3613,1266,45.2,1278,45.15,washington,2020-11-11T12:17:38.505774Z
53025,Grant,36951,0,75,75,None,100,32598,>98%,>98% reported,edison,4,unknown,,,,,11572,24442,691,106,42,25,73,0,0,0,0,0,0,0,2020-11-11T03:25:37Z,34.82991,R+35,Trump +35,republican,34.82991,29258,36.6,27558,32.3,washington,2020-11-11T12:17:38.505774Z
53027,Grays Harbor,36652,0,77,77,None,100,32987,>98%,>98% reported,edison,4,all,,,,,16623,18960,721,193,24,30,101,0,0,0,0,0,0,0,2020-11-11T03:25:37Z,6.37619,R+6,Trump +6,republican,6.37619,29301,7,28684,-14.11,washington,2020-11-11T12:17:38.505774Z
53029,Island,53089,0,48,48,None,100,49307,>98%,>98% reported,edison,2,unknown,,,,,29003,22535,1261,214,51,25,0,0,0,0,0,0,0,0,2020-11-11T03:25:37Z,12.18331,D+12,Biden +12,democrat,-12.18331,44273,-5.6,42099,-4.45,washington,2020-11-11T12:17:38.505774Z
