fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_hawkinsh,results_segalj,results_write_ins,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_segalj,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
24001,Allegany,29130,0,22,26,"As a subtotal in the FIRST cumulative report, along with regular precincts",85,34332,85%,85% reported,edison,2,unknown,,4312,,,8464,20213,300,114,39,0,0,0,0,0,0,0,2020-11-11T03:26:24Z,40.33299,R+40,Trump +40,republican,40.33299,30654,43.7,29850,31.57,maryland,2020-11-11T12:17:45.663814Z
24003,Anne Arundel,273064,0,182,202,Released as a precinct as first report of the night,90,302491,90%,90% reported,edison,2,none,,61018,,,150244,117544,3903,1051,322,0,0,0,0,0,0,0,2020-11-11T03:26:24Z,11.97521,D+12,Biden +12,democrat,-11.97521,270081,-2.2,260155,0.08,maryland,2020-11-11T12:17:45.663814Z
24005,Baltimore,326441,0,176,236,Released separately AFTER election night,75,437564,75%,75% reported,edison,2,none,,89978,,,195505,125463,3697,1345,431,0,0,0,0,0,0,0,2020-11-11T03:26:24Z,21.45625,D+21,Biden +21,democrat,-21.45625,390682,-17.6,384782,-17,maryland,2020-11-11T12:17:45.663814Z
24510,Baltimore City,221181,0,243,296,Other,79,279607,79%,79% reported,edison,2,none,,72816,,,193130,23872,1628,1247,419,885,0,0,0,0,0,0,2020-11-11T03:26:25Z,76.52466,D+77,Biden +77,democrat,-76.52466,239402,-74.1,254005,-76.1,maryland,2020-11-11T12:17:45.663814Z
24009,Calvert,48023,0,22,24,"As a precinct in the FIRST cumulative report, along with regular precincts",90,53097,90%,90% reported,edison,2,unknown,,11262,,,22185,24957,719,124,38,0,0,0,0,0,0,0,2020-11-11T03:26:25Z,5.77223,R+6,Trump +6,republican,5.77223,47408,16.8,45518,7.52,maryland,2020-11-11T12:17:45.663814Z
24011,Caroline,14940,0,8,8,Released as a precinct as first report of the night,95,15807,95%,95% reported,edison,2,unknown,,3784,,,4704,9899,219,86,32,0,0,0,0,0,0,0,2020-11-11T03:26:25Z,34.77242,R+35,Trump +35,republican,34.77242,14113,38,13357,23.42,maryland,2020-11-11T12:17:45.663814Z
24013,Carroll,97527,58627,34,36,Released separately AFTER election night,94,102870,94%,94% reported,edison,4,some,,16653,,,35316,58883,1961,522,166,679,24488,32426,898,283,90,442,2020-11-11T03:26:26Z,24.16459,R+24,Trump +24,republican,24.16459,91848,34.5,87536,32.93,maryland,2020-11-11T12:17:45.663814Z
24015,Cecil,45853,0,25,28,Other,90,50701,90%,90% reported,edison,2,none,,9424,,,16053,28797,690,224,89,0,0,0,0,0,0,0,2020-11-11T03:26:26Z,27.79317,R+28,Trump +28,republican,27.79317,45269,33.6,42480,19.42,maryland,2020-11-11T12:17:45.663814Z
24017,Charles,81617,0,44,44,Released as a precinct as first report of the night,93,87699,93%,93% reported,edison,2,unknown,,19179,,,56204,24227,681,375,130,0,0,0,0,0,0,0,2020-11-11T03:26:26Z,39.17934,D+39,Biden +39,democrat,-39.17934,78303,-30.3,75222,-31.37,maryland,2020-11-11T12:17:45.663814Z
24019,Dorchester,13371,0,31,39,Other,78,17061,78%,78% reported,edison,2,none,,3944,,,5295,7804,143,90,39,0,0,0,0,0,0,0,2020-11-11T03:26:26Z,18.76449,R+19,Trump +19,republican,18.76449,15225,14.2,15444,4.66,maryland,2020-11-11T12:17:45.663814Z
24021,Frederick,140529,52812,78,79,Released as a precinct as first report of the night,99,140758,>98%,>98% reported,edison,4,some,,22179,,,74622,62043,2192,659,238,775,20063,31486,681,208,92,282,2020-11-11T03:26:27Z,8.95118,D+9,Biden +9,democrat,-8.95118,125677,2.4,117115,3.12,maryland,2020-11-11T12:17:45.663814Z
24023,Garrett,15045,0,19,20,Released separately AFTER election night,96,15692,96%,96% reported,edison,2,none,,2480,,,3098,11654,209,64,20,0,0,0,0,0,0,0,2020-11-11T03:26:27Z,56.86939,R+57,Trump +57,republican,56.86939,14011,58.6,13157,50.31,maryland,2020-11-11T12:17:45.663814Z
24025,Harford,138449,69273,79,86,Released as a separate subtotal as first report of the night,92,149713,92%,92% reported,edison,4,some,,26224,,,57749,77238,2193,522,127,620,22216,45623,899,200,38,297,2020-11-11T03:26:28Z,14.07666,R+14,Trump +14,republican,14.07666,133672,23,125954,18.41,maryland,2020-11-11T12:17:45.663814Z
24027,Howard,174773,60929,114,119,Released separately AFTER election night,96,181656,96%,96% reported,edison,2,some,,48738,,,123629,46779,2361,750,231,1023,35872,23430,810,248,70,499,2020-11-11T03:26:28Z,43.97132,D+44,Biden +44,democrat,-43.97132,162193,-34,153108,-21.97,maryland,2020-11-11T12:17:45.663814Z
24029,Kent,10015,0,10,11,None,89,11224,89%,89% reported,edison,2,none,,3816,,,4914,4900,107,63,31,0,0,0,0,0,0,0,2020-11-11T03:26:28Z,0.13979,D+0.14,Biden +0.14,democrat,-0.13979,10021,3,9904,0.28,maryland,2020-11-11T12:17:45.663814Z
24031,Montgomery,396446,0,198,269,Released as a precinct as first report of the night,74,536338,74%,74% reported,edison,2,unknown,,124702,,,309170,79233,2881,2265,1142,1755,0,0,0,0,0,0,2020-11-11T03:26:28Z,57.99958,D+58,Biden +58,democrat,-57.99958,478873,-55.4,455992,-43.87,maryland,2020-11-11T12:17:45.663814Z
24033,Prince George's,395799,307461,260,288,None,100,312395,>98%,>98% reported,edison,6,some,,111886,,,353732,34812,1649,3147,1324,1135,278000,24509,982,2015,857,1098,2020-11-11T03:26:28Z,80.57625,D+81,Biden +81,democrat,-80.57625,390385,-79.7,387744,-80.52,maryland,2020-11-11T12:17:45.663814Z
24035,Queen Anne's,28990,0,12,12,Other,98,29706,98%,98% reported,edison,2,unknown,,6419,,,10209,18179,388,161,53,0,0,0,0,0,0,0,2020-11-11T03:26:29Z,27.49224,R+27,Trump +27,republican,27.49224,26523,34,24888,29.2,maryland,2020-11-11T12:17:45.663814Z
24039,Somerset,9075,0,19,23,None,79,11516,79%,79% reported,edison,2,unknown,,2648,,,3542,5407,74,35,17,0,0,0,0,0,0,0,2020-11-11T03:26:21Z,20.55096,R+21,Trump +21,republican,20.55096,9900,11.6,10399,-1.9,maryland,2020-11-11T12:17:45.663814Z
24037,St. Mary's,54097,0,36,37,"As a precinct in the FIRST cumulative report, along with regular precincts",97,55823,97%,97% reported,edison,2,none,,11354,,,22511,30245,1086,192,63,0,0,0,0,0,0,0,2020-11-11T03:26:20Z,14.29654,R+14,Trump +14,republican,14.29654,49842,22.3,47824,14.82,maryland,2020-11-11T12:17:45.663814Z
24041,Talbot,21305,0,11,12,Released as a separate subtotal as first report of the night,93,23019,93%,93% reported,edison,2,unknown,,9517,,,10408,10524,259,79,35,0,0,0,0,0,0,0,2020-11-11T03:26:21Z,0.54447,R+0.54,Trump +0.54,republican,0.54447,20553,10.1,20459,12.37,maryland,2020-11-11T12:17:45.663814Z
24043,Washington,65400,32693,48,54,Released as a precinct as first report of the night,88,73910,88%,88% reported,edison,4,some,,11758,,,24869,39148,802,297,93,191,15952,16156,271,140,54,120,2020-11-11T03:26:22Z,21.83333,R+22,Trump +22,republican,21.83333,65991,30.1,62755,17.58,maryland,2020-11-11T12:17:45.663814Z
24045,Wicomico,42947,0,49,54,Released as a precinct as first report of the night,90,47653,90%,90% reported,edison,2,unknown,,10264,,,20150,21881,496,277,143,0,0,0,0,0,0,0,2020-11-11T03:26:22Z,4.03055,R+4,Trump +4,republican,4.03055,42547,9.7,42259,5.04,maryland,2020-11-11T12:17:45.663814Z
24047,Worcester,26511,0,13,16,Released as a precinct as first report of the night,84,31666,84%,84% reported,edison,2,unknown,,4518,,,9795,16380,262,60,14,0,0,0,0,0,0,0,2020-11-11T03:26:19Z,24.83875,R+25,Trump +25,republican,24.83875,28273,26.4,27420,18.01,maryland,2020-11-11T12:17:45.663814Z
