fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_venturaj,results_blankenshipd,results_pierceb,results_de_la_fuenter,results_write_ins,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_venturaj,results_absentee_blankenshipd,results_absentee_pierceb,results_absentee_de_la_fuenter,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,state,retrieved_time
02901,ED 1,6716,3420,8,9,Released as a separate subtotal as first report of the night,88,7634,88%,88% reported,edison,2,unknown,,4000,,,3234,3194,185,49,29,23,2,0,1290,2024,59,26,16,5,0,0,2020-11-11T03:25:52Z,0.59559,R+0.60,Trump +0.60,republican,0.59559,alaska,2020-11-11T12:16:58.940656Z
02910,ED 10,9911,4778,10,11,Released as a separate subtotal as first report of the night,95,10396,95%,95% reported,edison,2,unknown,,4000,,,7106,2462,252,53,20,15,3,0,2941,1707,99,17,9,5,0,0,2020-11-11T03:25:58Z,46.85703,R+47,Trump +47,republican,46.85703,alaska,2020-11-11T12:16:58.940656Z
02911,ED 11,8312,3997,7,9,Released as a separate subtotal as first report of the night,75,11142,75%,75% reported,edison,2,unknown,,4000,,,5817,2210,192,64,15,10,4,0,2483,1393,79,32,6,2,2,0,2020-11-11T03:25:59Z,43.39509,R+43,Trump +43,republican,43.39509,alaska,2020-11-11T12:16:58.940656Z
02912,ED 12,10131,4899,6,7,Released as a separate subtotal as first report of the night,92,10974,92%,92% reported,edison,2,unknown,,4000,,,7119,2680,246,44,27,12,3,0,2898,1872,96,15,14,4,0,0,2020-11-11T03:25:44Z,43.81601,R+44,Trump +44,republican,43.81601,alaska,2020-11-11T12:16:58.940656Z
02913,ED 13,3230,282,3,6,Released as a separate subtotal as first report of the night,43,7513,43%,43% reported,edison,2,unknown,,4000,,,2300,752,137,18,10,10,3,0,147,128,6,1,0,0,0,0,2020-11-11T03:25:45Z,47.9257,R+48,Trump +48,republican,47.9257,alaska,2020-11-11T12:16:58.940656Z
02914,ED 14,4470,420,3,7,Released as a separate subtotal as first report of the night,37,11983,37%,37% reported,edison,2,unknown,,4000,,,3206,1073,150,18,16,5,2,0,222,191,7,0,0,0,0,0,2020-11-11T03:25:46Z,47.71812,R+48,Trump +48,republican,47.71812,alaska,2020-11-11T12:16:58.940656Z
02915,ED 15,4404,2396,4,5,Released as a separate subtotal as first report of the night,77,5729,77%,77% reported,edison,2,unknown,,4000,,,2142,2074,134,29,8,10,7,0,980,1336,60,11,4,2,3,0,2020-11-11T03:25:48Z,1.54405,R+1.5,Trump +1.5,republican,1.54405,alaska,2020-11-11T12:16:58.940656Z
02916,ED 16,6876,3687,6,7,Released as a separate subtotal as first report of the night,80,8551,80%,80% reported,edison,2,unknown,,4000,,,2981,3637,164,52,22,11,9,0,1110,2470,61,24,12,4,6,0,2020-11-11T03:25:50Z,9.54043,D+10,Biden +10,democrat,-9.54043,alaska,2020-11-11T12:16:58.940656Z
02917,ED 17,3353,956,3,7,Released as a separate subtotal as first report of the night,43,7806,43%,43% reported,edison,2,unknown,,4000,,,1617,1588,92,37,9,8,2,0,312,618,18,5,2,0,1,0,2020-11-11T03:25:52Z,0.8649,R+0.86,Trump +0.86,republican,0.8649,alaska,2020-11-11T12:16:58.940656Z
02918,ED 18,3807,1547,4,10,Released as a separate subtotal as first report of the night,45,8512,45%,45% reported,edison,2,unknown,,4000,,,1724,1946,72,39,15,9,2,0,562,947,20,11,5,1,1,0,2020-11-11T03:25:31Z,5.83136,D+6,Biden +6,democrat,-5.83136,alaska,2020-11-11T12:16:58.940656Z
02919,ED 19,3124,974,3,6,Released as a separate subtotal as first report of the night,57,5511,57%,57% reported,edison,2,unknown,,4000,,,1325,1676,61,29,17,4,12,0,240,713,7,6,3,2,3,0,2020-11-11T03:25:34Z,11.2356,D+11,Biden +11,democrat,-11.2356,alaska,2020-11-11T12:16:58.940656Z
02902,ED 2,5322,2536,3,4,Released as a separate subtotal as first report of the night,84,6316,84%,84% reported,edison,2,unknown,,4000,,,3154,1897,208,27,15,14,7,0,1213,1223,78,10,6,4,2,0,2020-11-11T03:25:53Z,23.61894,R+24,Trump +24,republican,23.61894,alaska,2020-11-11T12:16:58.940656Z
02920,ED 20,6237,4240,7,9,Released as a separate subtotal as first report of the night,76,8211,76%,76% reported,edison,2,unknown,,4000,,,1884,4190,111,35,6,11,0,0,950,3219,47,19,2,3,0,0,2020-11-11T03:25:36Z,36.9729,D+37,Biden +37,democrat,-36.9729,alaska,2020-11-11T12:16:58.940656Z
02921,ED 21,8597,5171,7,8,Released as a separate subtotal as first report of the night,86,9944,86%,86% reported,edison,2,unknown,,4000,,,3349,4971,175,59,25,16,2,0,1446,3607,71,31,9,5,2,0,2020-11-11T03:25:37Z,18.86705,D+19,Biden +19,democrat,-18.86705,alaska,2020-11-11T12:16:58.940656Z
