fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_write_ins,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
13163,Jefferson,7652,5461,8,8,Merged into voters' home precincts and released with cumulative results,100,7642,>98%,>98% reported,edison,10,all,,4930,,,3537,4061,44,10,2438,2997,26,0,2020-11-11T03:26:57Z,6.84788,D+7,Biden +7,democrat,-6.84788,6968,-10.9,7298,-17.29,georgia,2020-11-11T12:17:47.978392Z
13165,Jenkins,3455,2565,4,5,Other,100,3455,>98%,>98% reported,edison,10,unknown,,2806,,,2161,1266,28,0,1579,973,13,0,2020-11-11T03:26:58Z,25.90449,R+26,Trump +26,republican,25.90449,3056,25.3,3390,11.77,georgia,2020-11-11T12:17:47.978392Z
13167,Johnson,4100,3111,3,4,Released as a precinct as first report of the night,100,4100,>98%,>98% reported,edison,10,unknown,,3190,,,2850,1222,28,0,2079,1013,19,0,2020-11-11T03:26:58Z,39.70732,R+40,Trump +40,republican,39.70732,3686,37.5,3772,30.09,georgia,2020-11-11T12:17:47.978392Z
13169,Jones,14966,11048,10,10,Merged into voters' home precincts AFTER election night,100,14966,>98%,>98% reported,edison,6,some,,10683,,,9965,4888,113,0,6938,4045,65,0,2020-11-11T03:26:58Z,33.92356,R+34,Trump +34,republican,33.92356,12551,34.6,12105,28.67,georgia,2020-11-11T12:17:47.978392Z
13171,Lamar,9056,6773,6,6,None,100,9039,>98%,>98% reported,edison,6,all,,6784,,,6330,2615,94,17,4579,2140,54,0,2020-11-11T03:26:59Z,41.02253,R+41,Trump +41,republican,41.02253,7612,38.4,7592,30.26,georgia,2020-11-11T12:17:47.978392Z
13173,Lanier,3576,2878,1,1,Released separately AFTER election night,100,3576,>98%,>98% reported,edison,10,unknown,,2618,,,2509,1019,48,0,2028,815,35,0,2020-11-11T03:26:49Z,41.66667,R+42,Trump +42,republican,41.66667,2871,41,2972,23.76,georgia,2020-11-11T12:17:47.978392Z
13175,Laurens,22729,15117,16,16,Released as a precinct at the end of tabulation,100,22729,>98%,>98% reported,edison,10,unknown,,14083,,,14493,8073,163,0,8830,6186,101,0,2020-11-11T03:26:50Z,28.24585,R+28,Trump +28,republican,28.24585,19530,29,19604,22.63,georgia,2020-11-11T12:17:47.978392Z
13177,Lee,16714,12697,10,10,Merged into voters' home precincts and released with cumulative results,100,16714,>98%,>98% reported,edison,10,none,,10498,,,12007,4558,149,0,8949,3661,87,0,2020-11-11T03:26:50Z,44.56743,R+45,Trump +45,republican,44.56743,14143,52.9,13628,52.23,georgia,2020-11-11T12:17:47.978392Z
13179,Liberty,21326,17854,13,13,Released as a precinct as first report of the night,100,21326,>98%,>98% reported,edison,6,unknown,,15842,,,7944,13051,331,0,6240,11385,229,0,2020-11-11T03:26:51Z,23.94729,D+24,Biden +24,democrat,-23.94729,16143,-21.2,16170,-30.25,georgia,2020-11-11T12:17:47.978392Z
13181,Lincoln,4650,3465,6,7,Released as a precinct as first report of the night,100,4650,>98%,>98% reported,edison,6,unknown,,4384,,,3179,1435,36,0,2274,1168,23,0,2020-11-11T03:26:51Z,37.50538,R+38,Trump +38,republican,37.50538,4102,36.2,4426,27.59,georgia,2020-11-11T12:17:47.978392Z
